Function,Dimension,Run,Error,Evals,Time
1,10,1,7.55465e-15,2850,0.223
2,10,1,2.27766e-15,11090,0.828
3,10,1,6.05868e-12,7750,0.562
4,10,1,1.78746e-15,7110,0.493
5,10,1,2.72992e-12,12490,0.831
6,10,1,1.58898e-15,4350,0.267
7,10,1,7.93015,13110,0.881
8,10,1,20.4485,27730,1.759
9,10,1,4.54056,5700,0.532
10,10,1,2.22045e-15,3560,0.214
11,10,1,14.9244,3520,0.228
12,10,1,11.9395,3690,0.261
13,10,1,13.236,4490,0.294
14,10,1,1057.61,3260,0.206
15,10,1,759.977,12430,0.867
16,10,1,0.379701,27730,2.313
17,10,1,19.4191,5460,0.373
18,10,1,25.2209,7820,0.516
19,10,1,0.999996,4500,0.426
20,10,1,3.82081,9320,0.95
21,10,1,400.194,2630,0.247
22,10,1,2499.17,9100,0.808
23,10,1,1661.48,20370,1.687
24,10,1,207.973,11170,1.187
25,10,1,201.974,7900,0.943
26,10,1,400.075,5680,0.691
27,10,1,400,4870,0.513
28,10,1,400,6020,0.547
1,10,2,7.56872e-15,2840,0.205
2,10,2,9.65405e-16,7090,0.609
3,10,2,2.81802e-14,14310,1.295
4,10,2,3.78876e-15,10280,0.687
5,10,2,1.0962e-12,14390,0.92
6,10,2,9.81242,3120,0.22
7,10,2,0.0474308,21720,1.365
8,10,2,20.5399,27730,1.829
9,10,2,4.20437,5690,0.57
10,10,2,0.0271008,3840,0.334
11,10,2,7.95967,4200,0.316
12,10,2,12.9345,3500,0.277
13,10,2,41.5265,4530,0.299
14,10,2,758.61,3790,0.277
15,10,2,653.854,13850,1.047
16,10,2,0.498922,27730,2.308
17,10,2,21.7982,4450,0.316
18,10,2,16.4609,6070,0.47
19,10,2,1.7043,5370,0.341
20,10,2,3.79193,13740,0.925
21,10,2,400.194,2680,0.17
22,10,2,1563.87,4160,0.246
23,10,2,1039.44,4450,0.277
24,10,2,207.554,10720,1.056
25,10,2,213.801,19200,1.81
26,10,2,400,4260,0.392
27,10,2,400,4630,0.504
28,10,2,590.872,3790,0.29
1,10,3,4.95308e-16,2730,0.178
2,10,3,2.39658e-15,13600,0.967
3,10,3,6.31503,17440,1.141
4,10,3,4.3455e-15,6740,0.407
5,10,3,6.35762e-12,14080,0.84
6,10,3,9.81242,5610,0.335
7,10,3,2.41647,12570,0.742
8,10,3,20.344,27730,1.674
9,10,3,4.10266,6250,0.571
10,10,3,0.012321,4020,0.237
11,10,3,22.884,3450,0.203
12,10,3,4.9748,3710,0.227
13,10,3,22.0198,3590,0.227
14,10,3,1161.76,3520,0.208
15,10,3,321.654,4120,0.249
16,10,3,0.258276,27730,1.728
17,10,3,21.6091,7600,0.459
18,10,3,17.6515,6420,0.45
19,10,3,0.76251,4960,0.287
20,10,3,3.73049,13760,0.842
21,10,3,400.194,2680,0.172
22,10,3,818.688,5860,0.365
23,10,3,804.37,11240,0.683
24,10,3,210.838,7390,0.715
25,10,3,206.566,16590,1.52
26,10,3,400.443,5510,0.503
27,10,3,400,4810,0.453
28,10,3,742.618,4100,0.267
1,10,4,2.10345e-15,3030,0.177
2,10,4,1.59404e-15,7470,0.435
3,10,4,3.95225e-14,14090,0.879
4,10,4,1.61265e-15,7170,0.48
5,10,4,2.74865e-13,13580,0.782
6,10,4,2.11086e-15,8090,0.462
7,10,4,12.1083,16770,1.007
8,10,4,20.4085,27730,1.743
9,10,4,1.38671,6090,0.533
10,10,4,0.00986467,3770,0.205
11,10,4,19.8992,3140,0.177
12,10,4,5.96975,3790,0.228
13,10,4,31.3799,4430,0.246
14,10,4,1050.46,3230,0.19
15,10,4,537.946,3870,0.234
16,10,4,0.282153,27730,1.796
17,10,4,24.9496,5690,0.319
18,10,4,34.946,4940,0.296
19,10,4,1.01912,5740,0.353
20,10,4,3.44462,15760,0.917
21,10,4,400.194,2790,0.171
22,10,4,828.579,9660,0.636
23,10,4,887.06,4990,0.293
24,10,4,218.753,11730,1.024
25,10,4,208.003,5970,0.531
26,10,4,400,4490,0.406
27,10,4,400,4650,0.434
28,10,4,300,5070,0.332
1,10,5,1.62646e-15,2920,0.229
2,10,5,5.86734e-15,7210,0.429
3,10,5,2.26509e-14,12620,0.773
4,10,5,2.84274e-15,6700,0.414
5,10,5,6.98807e-13,14230,0.901
6,10,5,6.12939e-15,4520,0.266
7,10,5,1.70994,17380,1.036
8,10,5,20.5934,27730,1.675
9,10,5,1.88547,5820,0.5
10,10,5,0.0221857,3740,0.209
11,10,5,4.9748,3450,0.189
12,10,5,11.9395,4330,0.27
13,10,5,48.1497,4130,0.257
14,10,5,717.995,3710,0.245
15,10,5,560.804,13920,0.874
16,10,5,1.0786,27730,1.917
17,10,5,33.0015,5040,0.313
18,10,5,25.5462,5980,0.37
19,10,5,0.920991,5000,0.308
20,10,5,3.5725,9980,0.623
21,10,5,400.194,2520,0.155
22,10,5,1325.68,27420,1.765
23,10,5,1361.49,27730,1.742
24,10,5,215.297,15000,1.284
25,10,5,206.159,9710,0.85
26,10,5,400.075,6240,0.589
27,10,5,400,4840,0.426
28,10,5,400,6780,0.413
1,10,6,1.02833e-15,3100,0.182
2,10,6,2.84288e-15,8000,0.583
3,10,6,2.92703e-14,18320,1.108
4,10,6,1.38336e-15,6690,0.444
5,10,6,1.27474e-12,14090,0.819
6,10,6,3.65182e-16,4290,0.258
7,10,6,1.89422,5690,0.315
8,10,6,20.4101,27730,1.67
9,10,6,5.36245,5790,0.491
10,10,6,2.66454e-15,3690,0.202
11,10,6,7.95967,3310,0.186
12,10,6,5.96975,4730,0.282
13,10,6,3.63455,3600,0.206
14,10,6,1243.05,4180,0.245
15,10,6,1034.83,3730,0.206
16,10,6,0.153999,7470,0.462
17,10,6,24.3558,6470,0.358
18,10,6,16.7635,5200,0.314
19,10,6,1.41498,5140,0.295
20,10,6,3.51271,15380,0.904
21,10,6,400.194,2750,0.165
22,10,6,999.255,4260,0.258
23,10,6,1434.18,12490,0.792
24,10,6,210.831,6970,0.674
25,10,6,212.431,9450,0.867
26,10,6,400.346,4950,0.454
27,10,6,400,4630,0.421
28,10,6,595.549,4040,0.256
1,10,7,3.13673e-15,2910,0.165
2,10,7,3.0313e-15,8910,0.502
3,10,7,2.1242e-14,11070,0.635
4,10,7,1.22255e-15,19220,1.174
5,10,7,5.91573e-12,13700,0.766
6,10,7,9.81242,3800,0.264
7,10,7,0.08049,27730,1.657
8,10,7,20.3533,27730,1.759
9,10,7,4.08334,19000,1.592
10,10,7,0.0590922,3560,0.221
11,10,7,13.9294,4170,0.259
12,10,7,22.3935,3990,0.253
13,10,7,19.5705,3530,0.2
14,10,7,1195.65,4600,0.273
15,10,7,455.64,4860,0.343
16,10,7,0.267513,27730,1.803
17,10,7,18.9617,5360,0.338
18,10,7,27.3797,6770,0.42
19,10,7,1.18476,5870,0.338
20,10,7,3.67091,13560,0.797
21,10,7,400.194,2700,0.198
22,10,7,1965.75,9130,0.553
23,10,7,1162.11,27730,1.626
24,10,7,211.094,11650,1.068
25,10,7,201.759,11850,1.103
26,10,7,400,4180,0.44
27,10,7,400,4970,0.468
28,10,7,806.9,10570,0.635
1,10,8,2.46288e-15,2900,0.163
2,10,8,2.3963e-15,7130,0.399
3,10,8,6.6928e-14,22480,1.37
4,10,8,2.87678e-15,7280,0.424
5,10,8,1.27414e-12,14190,0.803
6,10,8,1.01331e-15,5680,0.34
7,10,8,9.65917,21080,1.221
8,10,8,20.3964,27730,1.666
9,10,8,4.12741,5680,0.463
10,10,8,0.0147724,3610,0.224
11,10,8,8.95462,3270,0.196
12,10,8,24.8739,3470,0.202
13,10,8,35.466,3820,0.23
14,10,8,629.019,12960,0.761
15,10,8,529.922,4160,0.248
16,10,8,1.5656,27730,1.914
17,10,8,22.7917,5070,0.29
18,10,8,22.3802,6830,0.431
19,10,8,0.743538,6860,0.396
20,10,8,4.14638,20180,1.235
21,10,8,400.194,2790,0.182
22,10,8,1924.43,12860,0.875
23,10,8,1190.42,14960,0.97
24,10,8,216.174,8440,0.808
25,10,8,210.716,6410,0.587
26,10,8,400.099,6350,0.583
27,10,8,400,4790,0.492
28,10,8,300,5370,0.373
1,10,9,8.84745e-16,2780,0.16
2,10,9,2.15817e-15,8270,0.482
3,10,9,6.53274e-14,12670,0.76
4,10,9,3.40919e-15,6920,0.413
5,10,9,2.90326e-12,13550,0.744
6,10,9,9.81242,4190,0.266
7,10,9,0.157082,14330,0.851
8,10,9,20.3511,27730,1.67
9,10,9,2.7218,6130,0.525
10,10,9,0.00739604,3900,0.236
11,10,9,8.95463,4080,0.237
12,10,9,8.95463,3910,0.219
13,10,9,6.66704,4190,0.252
14,10,9,773.897,5920,0.333
