Function,Dimension,Run,Error,Evals,Time
1,10,1,7.55465e-15,2850,0.203
2,10,1,2.27766e-15,11090,0.818
3,10,1,6.05868e-12,7750,0.572
4,10,1,1.78746e-15,7110,0.493
5,10,1,2.72992e-12,12490,0.765
6,10,1,1.58898e-15,4350,0.259
7,10,1,7.93015,13110,0.873
8,10,1,20.4485,27730,1.814
9,10,1,4.54056,5700,0.508
10,10,1,2.22045e-15,3560,0.207
11,10,1,14.9244,3520,0.207
12,10,1,11.9395,3690,0.281
13,10,1,13.236,4490,0.328
14,10,1,1057.61,3260,0.23
15,10,1,759.977,12430,0.909
16,10,1,0.379701,27730,1.989
17,10,1,19.4191,5460,0.328
18,10,1,25.2209,7820,0.492
19,10,1,0.999996,4500,0.27
20,10,1,3.82081,9320,0.584
21,10,1,400.194,2630,0.16
22,10,1,2499.17,9100,0.548
23,10,1,1661.48,20370,1.288
24,10,1,207.973,11170,0.977
25,10,1,201.974,7900,0.729
26,10,1,400.075,5680,0.491
27,10,1,400,4870,0.424
28,10,1,400,6020,0.39
1,10,2,7.56872e-15,2840,0.166
2,10,2,1.74959e-15,7140,0.39
3,10,2,2.60618e-14,14160,0.907
4,10,2,4.29638e-16,6750,0.395
5,10,2,1.75913e-12,13060,0.769
6,10,2,3.3405e-15,4690,0.313
7,10,2,10.7213,7420,0.446
8,10,2,20.4374,27730,1.766
9,10,2,4.39393,5710,0.515
10,10,2,1.77636e-15,3720,0.215
11,10,2,12.9345,4400,0.271
12,10,2,19.8991,3640,0.244
13,10,2,11.3817,5710,0.369
14,10,2,1074.91,3670,0.212
15,10,2,975.009,3430,0.219
16,10,2,0.129785,22640,1.502
17,10,2,23.9145,6020,0.391
18,10,2,17.4683,7340,0.446
19,10,2,1.0114,5210,0.281
20,10,2,3.59514,22920,1.369
21,10,2,400.194,2650,0.166
22,10,2,1795.02,13490,0.884
23,10,2,1532.94,6070,0.415
24,10,2,209.375,11800,1.106
25,10,2,209.698,6770,0.599
26,10,2,400.37,5660,0.501
27,10,2,400,4920,0.44
28,10,2,300,5080,0.333
1,10,3,1.1524e-15,2980,0.178
2,10,3,1.09614e-15,7300,0.412
3,10,3,2.56253e-14,8100,0.476
4,10,3,4.26755e-16,7140,0.438
5,10,3,5.32018e-13,14090,0.828
6,10,3,1.26922e-15,4240,0.26
7,10,3,1.02369,15030,0.917
8,10,3,20.4355,27730,1.673
9,10,3,4.2375,5760,0.495
10,10,3,0.012321,3850,0.227
11,10,3,12.9345,3910,0.242
12,10,3,9.94959,4080,0.246
13,10,3,27.5714,3420,0.213
14,10,3,1391.35,5250,0.371
15,10,3,524.886,3350,0.199
16,10,3,0.415502,27730,1.879
17,10,3,19.076,6690,0.384
18,10,3,25.6889,7110,0.456
19,10,3,2.37182,4780,0.284
20,10,3,3.42839,9930,0.615
21,10,3,400.194,2870,0.177
22,10,3,1230.37,13920,0.888
23,10,3,2114.54,13720,0.892
24,10,3,218.688,6040,0.534
25,10,3,211.727,5960,0.538
26,10,3,400,4370,0.426
27,10,3,400,4610,0.45
28,10,3,400,6290,0.443
1,10,4,5.27714e-15,2920,0.179
2,10,4,4.56252e-15,6900,0.462
3,10,4,1.09022e-14,19190,1.149
4,10,4,5.50534e-16,6930,0.448
5,10,4,2.2403e-12,13260,0.783
6,10,4,9.81242,3710,0.213
7,10,4,0.957244,19790,1.169
8,10,4,20.5014,27730,1.649
9,10,4,2.79227,5690,0.467
10,10,4,0.0320454,3580,0.205
11,10,4,33.8285,4030,0.253
12,10,4,10.9445,4050,0.247
13,10,4,59.3583,4870,0.281
14,10,4,775.877,4130,0.247
15,10,4,428.346,4380,0.239
16,10,4,1.04453,27730,1.887
17,10,4,28.7654,5490,0.315
18,10,4,19.9772,10050,0.586
19,10,4,0.82197,4170,0.278
20,10,4,5,200,0.013
21,10,4,400.194,2620,0.175
22,10,4,1911.05,27730,1.748
23,10,4,1988.76,27730,1.693
24,10,4,220.217,11940,1.018
25,10,4,203.074,10190,0.886
26,10,4,400.124,5450,0.502
27,10,4,400,4750,0.441
28,10,4,611.491,3720,0.226
1,10,5,1.10674e-15,2870,0.163
2,10,5,1.44876e-15,7570,0.437
3,10,5,3.22601e-14,20880,1.221
4,10,5,1.5101e-15,6600,0.404
5,10,5,6.27547e-13,14160,0.808
6,10,5,9.81242,3670,0.208
7,10,5,33.9669,21460,1.345
8,10,5,20.4213,27730,1.706
9,10,5,4.42674,6790,0.565
10,10,5,0.00985728,3440,0.198
11,10,5,25.8689,3830,0.219
12,10,5,9.94959,3340,0.182
13,10,5,32.765,3800,0.211
14,10,5,547.968,4240,0.246
15,10,5,907.238,3860,0.229
16,10,5,0.503582,27730,1.882
17,10,5,20.0007,5700,0.394
18,10,5,22.8538,6560,0.435
19,10,5,0.535934,5540,0.314
20,10,5,5,200,0.01
21,10,5,400.194,2630,0.165
22,10,5,1688.75,7630,0.489
23,10,5,1376.29,5140,0.368
24,10,5,217.305,6440,0.61
25,10,5,211.001,6790,0.643
26,10,5,400.075,5510,0.546
27,10,5,400,5110,0.477
28,10,5,300,5180,0.359
1,10,6,6.33594e-15,2830,0.175
2,10,6,1.97214e-15,7190,0.431
3,10,6,6.31503,14250,0.89
4,10,6,1.16639e-15,7020,0.452
5,10,6,2.90867e-12,13030,0.728
6,10,6,9.81242,4240,0.246
7,10,6,10.9176,20100,1.143
8,10,6,20.5666,27730,1.703
9,10,6,3.58476,5480,0.448
10,10,6,0.0147724,3620,0.209
11,10,6,11.9395,3730,0.213
12,10,6,15.9193,3780,0.219
13,10,6,26.3398,3450,0.21
14,10,6,930.496,3940,0.232
15,10,6,646.271,3240,0.18
16,10,6,0.11394,14400,0.972
17,10,6,14.6713,5020,0.314
18,10,6,14.9774,6230,0.419
19,10,6,1.56998,5110,0.309
20,10,6,3.98265,8980,0.6
21,10,6,400.194,2680,0.171
22,10,6,741.514,4230,0.272
23,10,6,1091.1,6060,0.378
24,10,6,212.452,11900,1.038
25,10,6,206.541,10780,0.961
26,10,6,400.075,6180,0.528
27,10,6,400,4550,0.411
28,10,6,605.431,3780,0.231
1,10,7,2.13087e-15,2720,0.154
2,10,7,1.03137e-15,12420,0.738
3,10,7,1.32872e-13,13900,0.825
4,10,7,1.18977e-15,7140,0.434
5,10,7,4.80998e-13,13980,0.775
6,10,7,2.26309e-15,4530,0.256
7,10,7,1.42569,26180,1.621
8,10,7,20.2555,27730,1.753
9,10,7,2.6113,5930,0.508
10,10,7,0.00985728,4030,0.249
11,10,7,7.95967,4220,0.255
12,10,7,16.9143,3290,0.212
13,10,7,15.3783,3780,0.219
14,10,7,1587.51,7590,0.472
15,10,7,681.074,3230,0.2
16,10,7,1.50088,27730,1.975
17,10,7,17.1604,4800,0.35
18,10,7,21.6004,5440,0.365
19,10,7,0.820848,5490,0.32
20,10,7,5,200,0.01
21,10,7,400.194,2690,0.164
22,10,7,1830.98,27730,1.742
23,10,7,1238.73,27730,1.801
24,10,7,212.344,6180,0.579
25,10,7,201.074,9530,0.833
26,10,7,400.099,5790,0.485
27,10,7,400,4860,0.442
28,10,7,693.651,3440,0.218
1,10,8,6.31555e-16,3170,0.183
2,10,8,2.50007e-15,7340,0.458
3,10,8,3.46106e-14,17050,1.064
4,10,8,1.34979e-15,6780,0.401
5,10,8,1.95101e-12,14430,0.799
6,10,8,9.81242,5280,0.327
7,10,8,8.52521,19040,1.109
8,10,8,20.5109,27730,1.665
9,10,8,1.81756,6310,0.568
10,10,8,0.0147724,4060,0.26
11,10,8,16.9143,3520,0.227
12,10,8,10.9445,3480,0.214
13,10,8,26.9979,3690,0.244
14,10,8,1115.7,6410,0.382
15,10,8,539.111,5270,0.311
16,10,8,1.38704,27730,1.855
17,10,8,30.0842,5990,0.355
18,10,8,30.3266,7020,0.425
19,10,8,1.91014,4940,0.286
20,10,8,3.90295,12150,0.717
21,10,8,400.194,2630,0.174
22,10,8,2450.09,27730,1.743
23,10,8,1127.58,13230,0.783
24,10,8,212.471,9330,0.848
25,10,8,201.512,12140,1.029
26,10,8,400.445,5880,0.513
27,10,8,400,4670,0.419
28,10,8,673.606,5080,0.351
1,10,9,5.79129e-16,2920,0.165
2,10,9,5.82496e-16,9440,0.538
3,10,9,9.40702e-11,20830,1.278
4,10,9,2.36516e-15,7320,0.446
5,10,9,6.22647e-13,14130,0.872
6,10,9,9.81242,3810,0.234
7,10,9,1.54502,11350,0.713
8,10,9,20.4881,27730,1.657
9,10,9,5.15468,5760,0.588
10,10,9,0.0123161,3760,0.225
11,10,9,12.9345,3360,0.218
12,10,9,9.94959,3730,0.232
13,10,9,42.1283,3620,0.215
14,10,9,841.054,16080,1.046
15,10,9,800.058,4390,0.26
16,10,9,0.274436,27730,1.923
17,10,9,17.472,5900,0.36
18,10,9,14.6385,7840,0.497
19,10,9,0.984095,4420,0.261
20,10,9,4.12361,10620,0.648
21,10,9,400.194,2630,0.167
22,10,9,811.057,4820,0.318
23,10,9,1413.44,14060,0.885
24,10,9,200.789,10110,0.92
25,10,9,213.853,8390,0.786
26,10,9,400.124,4650,0.399
27,10,9,400,4750,0.436
28,10,9,580.657,3850,0.244
1,10,10,3.3606e-15,2780,0.161
2,10,10,1.3455e-15,7180,0.411
3,10,10,1.92712e-14,13420,0.776
4,10,10,5.46844e-15,11000,0.666
5,10,10,9.68377e-13,14300,0.885
6,10,10,9.81242,3910,0.262
7,10,10,0.402216,27730,1.644
8,10,10,20.3462,27730,1.678
9,10,10,2.01929,5800,0.482
10,10,10,0.00739604,3560,0.202
11,10,10,7.95967,3470,0.199
12,10,10,4.9748,3310,0.211
