Function,Dimension,Run,Error,Evals,Time
1,10,1,5.09254e-16,2770,0.226
2,10,1,2809.36,22110,1.725
3,10,1,3.9523e+07,21530,1.613
4,10,1,1.3057e-13,19180,1.677
5,10,1,0.00143792,22990,1.721
6,10,1,0.14146,27730,2.185
7,10,1,7.67964,23730,1.832
8,10,1,20.3787,26230,2.193
9,10,1,3.92744,27730,3.094
10,10,1,0.0221267,4310,0.26
11,10,1,17.9092,7320,0.573
12,10,1,8.95462,4310,0.35
13,10,1,41.0243,3550,0.299
14,10,1,600.551,6020,0.483
15,10,1,531.251,4760,0.407
16,10,1,1.65499,26530,2.324
17,10,1,18.0814,24980,1.926
18,10,1,20.9032,11610,0.823
19,10,1,0.680682,20190,1.447
20,10,1,3.90488,20570,1.487
21,10,1,400.194,2470,0.157
22,10,1,1351.29,6480,0.466
23,10,1,2059.43,14320,1.041
24,10,1,220.693,27730,2.87
25,10,1,210.098,27730,2.677
26,10,1,400.667,10190,0.876
27,10,1,400,4290,0.412
28,10,1,740.97,5150,0.37
1,10,2,4.77777e-13,7700,0.466
2,10,2,210651,8900,0.611
3,10,2,4.79519e+08,5870,0.365
4,10,2,25141.2,1170,0.058
5,10,2,0.000186332,27730,1.804
6,10,2,9.81242,20280,1.375
7,10,2,115.422,27730,1.868
8,10,2,20.2905,10460,0.676
9,10,2,6.94384,22590,1.908
10,10,2,0.381754,13240,0.813
11,10,2,37.8084,10940,0.712
12,10,2,60.6915,24530,1.35
13,10,2,51.5486,3900,0.212
14,10,2,1392.86,10010,0.532
15,10,2,1119.97,21490,1.281
16,10,2,1.05871,9740,0.702
17,10,2,72.8807,27730,1.659
18,10,2,83.5535,2010,0.124
19,10,2,1.54773,18020,1.126
20,10,2,4.99994,200,0.012
21,10,2,400.194,5550,0.323
22,10,2,1768.76,9770,0.586
23,10,2,1210.48,14650,0.971
24,10,2,227.28,19010,1.796
25,10,2,228.333,5860,0.532
26,10,2,401.678,27730,2.328
27,10,2,400,12800,1.023
28,10,2,733.957,15170,0.892
1,10,3,7.6623e-16,3300,0.167
2,10,3,129.948,27730,1.438
3,10,3,1553.04,27730,1.505
4,10,3,1.14096e-14,8460,0.438
5,10,3,2.03066e-05,27730,1.388
6,10,3,9.81242,24440,1.303
7,10,3,72.9098,1960,0.099
8,10,3,20.5521,4950,0.274
9,10,3,6.9648,27730,2.05
10,10,3,0.345047,6450,0.342
11,10,3,53.7475,2530,0.134
12,10,3,51.7376,13330,0.753
13,10,3,46.0366,3080,0.193
14,10,3,1856.38,6840,0.389
15,10,3,2055.16,5600,0.311
16,10,3,1.80108,6260,0.381
17,10,3,69.8777,3090,0.154
18,10,3,70.01,5100,0.273
19,10,3,3.53345,3310,0.174
20,10,3,4.7409,790,0.041
21,10,3,400.194,3330,0.193
22,10,3,2137.91,5600,0.319
23,10,3,2059.19,5880,0.363
24,10,3,219.365,25960,2.143
25,10,3,222.146,27050,2.283
26,10,3,402.94,13820,1.22
27,10,3,400,5660,0.501
28,10,3,595.549,27730,1.778
1,10,4,3376.5,300,0.015
2,10,4,3.07041e+07,420,0.027
3,10,4,1.37106e+10,460,0.026
4,10,4,41103.9,3460,0.232
5,10,4,1743.88,380,0.024
6,10,4,283.219,480,0.031
7,10,4,181.173,410,0.024
8,10,4,20.6145,3760,0.253
9,10,4,9.6197,2980,0.278
10,10,4,451.743,310,0.019
11,10,4,83.192,440,0.029
12,10,4,130.534,400,0.025
13,10,4,121.916,350,0.019
14,10,4,2089.41,2240,0.143
15,10,4,1846.29,3610,0.23
16,10,4,1.91736,3680,0.283
17,10,4,113.269,800,0.045
18,10,4,114.079,250,0.012
19,10,4,422.832,350,0.017
20,10,4,4.84275,570,0.028
21,10,4,447.276,240,0.014
22,10,4,2548.01,3810,0.247
23,10,4,2202.84,2990,0.181
24,10,4,238.004,1170,0.114
25,10,4,237.699,3250,0.321
26,10,4,207.139,2910,0.276
27,10,4,601.899,480,0.043
28,10,4,1117,770,0.056
1,10,5,2.05432e-14,4090,0.235
2,10,5,1.99822e+07,1040,0.062
3,10,5,688.219,18610,1.105
4,10,5,24114.9,1980,0.118
5,10,5,338.121,2370,0.151
6,10,5,9.81242,8630,0.509
7,10,5,2.52886,18830,1.12
8,10,5,20.6597,5590,0.336
9,10,5,5.40165,15970,1.347
10,10,5,0.0393874,7260,0.396
11,10,5,53.1155,3600,0.179
12,10,5,41.3313,3650,0.189
13,10,5,46.3354,6750,0.35
14,10,5,2093.22,6040,0.344
15,10,5,1764.83,5850,0.317
16,10,5,2.04877,5340,0.314
17,10,5,65.229,3410,0.164
18,10,5,58.7147,16390,0.905
19,10,5,1.17283,27730,1.477
20,10,5,4.73851,1980,0.103
21,10,5,400.194,3430,0.172
22,10,5,2008.01,6870,0.382
23,10,5,2444.14,5510,0.334
24,10,5,214.081,27730,2.151
25,10,5,232.919,1150,0.093
26,10,5,404.926,8320,0.664
27,10,5,400,6910,0.525
28,10,5,300,7310,0.401
1,10,6,3848.15,620,0.033
2,10,6,1.73819e+07,750,0.035
3,10,6,4.53189e+09,1990,0.096
4,10,6,25470.4,1250,0.065
5,10,6,198.089,1120,0.051
6,10,6,10.3369,27730,1.395
7,10,6,169.274,480,0.025
8,10,6,20.5136,5890,0.315
9,10,6,9.60466,880,0.06
10,10,6,129.207,860,0.045
11,10,6,127.695,530,0.027
12,10,6,76.7528,540,0.031
13,10,6,115.388,760,0.039
14,10,6,2164.94,5580,0.293
15,10,6,2071.03,6570,0.351
16,10,6,2.42825,6290,0.375
17,10,6,68.2062,3580,0.174
18,10,6,73.7502,3120,0.159
19,10,6,5.78282,4560,0.231
20,10,6,4.36417,1540,0.074
21,10,6,400.194,26360,1.451
22,10,6,2315.84,6010,0.332
23,10,6,2444.63,1980,0.11
24,10,6,239.661,540,0.044
25,10,6,227.604,1220,0.108
26,10,6,225.678,5350,0.453
27,10,6,400,27730,2.178
28,10,6,300,27730,1.609
1,10,7,7.53327e-15,4490,0.238
2,10,7,282982,3480,0.188
3,10,7,7.04501e+07,7510,0.444
4,10,7,3.42919e-14,6320,0.329
5,10,7,0.0394161,15710,0.797
6,10,7,9.81242,9960,0.539
7,10,7,35.7422,19240,1.068
8,10,7,20.4735,15370,0.854
9,10,7,6.19344,27730,2.047
10,10,7,0.115591,8040,0.441
11,10,7,20.8941,9950,0.514
12,10,7,24.8739,27540,1.357
13,10,7,43.6336,5700,0.279
14,10,7,1387.57,7330,0.354
15,10,7,1023.19,15050,0.737
16,10,7,0.0692276,14750,0.77
17,10,7,36.0181,13580,0.655
18,10,7,82.4163,13590,0.65
19,10,7,1.81644,12320,0.58
20,10,7,4.46696,5800,0.279
21,10,7,400.194,4080,0.197
22,10,7,1466,12990,0.644
23,10,7,1467.46,10080,0.505
24,10,7,222.504,26630,1.925
25,10,7,209.305,26660,1.918
26,10,7,400.37,7370,0.551
27,10,7,400,8060,0.626
28,10,7,617.749,12650,0.659
1,10,8,4.07453e-14,7970,0.367
2,10,8,1.09687e+07,1290,0.062
3,10,8,5.9104e+09,2140,0.1
4,10,8,21606,1660,0.083
5,10,8,40.2167,8120,0.387
6,10,8,4.42616,24480,1.157
7,10,8,65.0466,3230,0.158
8,10,8,20.5205,22630,1.083
9,10,8,7.04194,7940,0.561
10,10,8,1.65388,7230,0.347
11,10,8,68.8537,1330,0.063
12,10,8,66.5756,2000,0.096
13,10,8,69.109,1890,0.088
14,10,8,1470.63,22470,1.109
15,10,8,1707.75,21150,1.053
16,10,8,1.53626,21480,1.121
17,10,8,95.7596,810,0.036
18,10,8,75.6264,870,0.041
19,10,8,4.82613,2660,0.141
20,10,8,5,200,0.009
21,10,8,400.194,9750,0.491
22,10,8,1924.71,23430,1.197
23,10,8,824.108,9220,0.454
24,10,8,217.177,10980,0.81
25,10,8,220.671,10490,0.767
26,10,8,208.497,8290,0.631
27,10,8,400,13930,1.051
28,10,8,810.128,2110,0.11
1,10,9,2.72481e-15,3480,0.16
2,10,9,1.19386e+07,770,0.035
3,10,9,1.11612e+07,16470,0.795
4,10,9,16212.1,750,0.036
5,10,9,464.707,470,0.021
6,10,9,0.00158293,27730,1.388
7,10,9,88.2422,4580,0.238
8,10,9,20.3218,9040,0.46
9,10,9,6.65028,27730,1.961
10,10,9,141.2,680,0.032
11,10,9,77.6054,440,0.021
12,10,9,36.5446,4890,0.24
13,10,9,62.3504,8060,0.388
14,10,9,1946.12,8370,0.427
15,10,9,1169.52,10360,0.519
16,10,9,1.58604,10230,0.567
17,10,9,52.291,8900,0.426
18,10,9,55.7237,4890,0.241
19,10,9,3.93767,9830,0.465
20,10,9,4.34362,1420,0.069
21,10,9,400.194,3330,0.165
22,10,9,1719.33,7020,0.364
23,10,9,1915.16,8980,0.487
24,10,9,221.156,11940,0.877
25,10,9,227.385,10640,0.777
26,10,9,401.975,19110,1.418
27,10,9,400,5830,0.423
28,10,9,698.927,10840,0.556
1,10,10,9.62939e-14,4710,0.222
2,10,10,1.11393e+07,820,0.039
3,10,10,4.49681e+09,940,0.043
4,10,10,13559.9,7490,0.34
5,10,10,669.602,950,0.043
6,10,10,55.9724,10350,0.506
7,10,10,60.4993,2740,0.132
8,10,10,20.7311,5340,0.262
9,10,10,6.3752,690,0.047
