Function,Dimension,Run,Error,Evals,Time
1,10,1,1.66736e-15,2830,0.132
2,10,1,1.13442e-15,6920,0.316
3,10,1,1.10348e-14,14290,0.691
4,10,1,1.17908e-15,6580,0.313
5,10,1,1.73536e-12,13570,0.651
6,10,1,9.81242,5240,0.263
7,10,1,18.7847,11980,0.611
8,10,1,20.4048,27730,1.372
9,10,1,4.49489,8070,0.62
10,10,1,0.0172361,3950,0.202
11,10,1,12.9345,3240,0.177
12,10,1,7.95967,3770,0.195
13,10,1,19.1751,3430,0.181
14,10,1,1286.14,14440,0.817
15,10,1,706.649,4590,0.218
16,10,1,0.0677391,17700,0.95
17,10,1,16.7634,6980,0.327
18,10,1,17.3345,5670,0.269
19,10,1,1.13122,4550,0.215
20,10,1,4.99997,200,0.009
21,10,1,400.194,2750,0.135
22,10,1,2679.89,16040,0.792
23,10,1,1406.48,27730,1.407
24,10,1,216.212,5890,0.432
25,10,1,214.203,10460,0.76
26,10,1,400,4000,0.296
27,10,1,400,4620,0.35
28,10,1,731.931,3550,0.188
1,10,2,1.9057e-15,2950,0.139
2,10,2,1.09803e-14,6520,0.305
3,10,2,1.03606e-14,12050,0.58
4,10,2,1.16474e-15,6530,0.307
5,10,2,1.97343e-12,13560,0.632
6,10,2,1.75986e-15,5240,0.243
7,10,2,5.1957,6540,0.315
8,10,2,20.4854,27730,1.373
9,10,2,1.51164,6080,0.426
10,10,2,2.44249e-15,3900,0.185
11,10,2,8.95463,3600,0.176
12,10,2,6.96471,4850,0.231
13,10,2,44.9913,3800,0.187
14,10,2,1623.3,6030,0.292
15,10,2,294.296,20540,0.994
16,10,2,0.855975,27730,1.505
17,10,2,28.4473,6910,0.336
18,10,2,17.7916,6370,0.313
19,10,2,0.988631,5020,0.238
20,10,2,5,200,0.013
21,10,2,400.194,2720,0.143
22,10,2,1632.98,5240,0.255
23,10,2,1228.8,17520,0.88
24,10,2,215.566,8420,0.595
25,10,2,203.266,8360,0.591
26,10,2,400.345,5290,0.391
27,10,2,400,4910,0.354
28,10,2,610.882,3690,0.191
1,10,3,1.12769e-15,2670,0.124
2,10,3,2.16477e-15,8880,0.407
3,10,3,1.95367e-14,11600,0.572
4,10,3,8.01767e-16,6630,0.31
5,10,3,1.95007e-10,11520,0.524
6,10,3,7.25445e-16,4420,0.202
7,10,3,9.6427,27730,1.319
8,10,3,20.4481,27730,1.333
9,10,3,2.89644,5990,0.414
10,10,3,0.0147724,3710,0.175
11,10,3,19.8992,3780,0.177
12,10,3,25.8689,3730,0.177
13,10,3,40.7259,3450,0.165
14,10,3,572.128,3960,0.187
15,10,3,870.676,3640,0.192
16,10,3,0.0471005,12810,0.673
17,10,3,27.535,4560,0.216
18,10,3,16.309,10290,0.492
19,10,3,0.88718,5970,0.284
20,10,3,5,200,0.009
21,10,3,400.194,2710,0.134
22,10,3,797.422,5280,0.26
23,10,3,1368.76,27730,1.379
24,10,3,212.788,13280,0.932
