Function,Dimension,Run,Error,Evals,Time
1,10,1,1.25736e-15,2790,0.217
2,10,1,1.11254e-15,7550,0.557
3,10,1,3.18922e-13,8510,0.598
4,10,1,1.13437e-15,7480,0.528
5,10,1,1.35657e-12,14810,0.963
6,10,1,1.48126e-15,7290,0.523
7,10,1,16.27,8110,0.592
8,10,1,20,24970,1.658
9,10,1,3.00073,5120,0.474
10,10,1,0.0591266,3320,0.219
11,10,1,9.94958,3470,0.269
12,10,1,9.94959,3060,0.23
13,10,1,52.8263,3670,0.309
14,10,1,770.782,3190,0.206
15,10,1,487.322,3330,0.225
16,10,1,0.035625,10830,0.824
17,10,1,16.9951,5020,0.323
18,10,1,20.7555,4660,0.341
19,10,1,0.605564,4340,0.27
20,10,1,3.99201,22910,1.625
21,10,1,400.194,2500,0.168
22,10,1,1986.03,27730,1.937
23,10,1,1692.75,22110,1.677
24,10,1,202.571,7300,0.718
25,10,1,206.045,5930,0.638
26,10,1,400,3990,0.517
27,10,1,400,4360,0.475
28,10,1,754.398,3700,0.288
1,10,2,6.49555e-15,3390,0.222
2,10,2,6.25707e-15,7590,0.555
3,10,2,3.23492e-11,14160,0.922
4,10,2,2.11561e-15,7490,0.553
5,10,2,5.94359e-13,14040,0.967
6,10,2,9.81242,3920,0.272
7,10,2,0.0510588,23800,1.817
8,10,2,20.5131,19730,1.459
9,10,2,1.84243,7130,0.666
10,10,2,1.04361e-14,4400,0.228
11,10,2,8.95463,9710,0.763
12,10,2,16.9143,6350,0.485
13,10,2,10.5671,7300,0.496
14,10,2,1628.59,21120,1.506
15,10,2,693.631,4550,0.312
16,10,2,1.79176,18240,1.481
17,10,2,22.1285,19280,1.286
18,10,2,27.6017,27730,1.846
19,10,2,0.514482,15490,1.206
20,10,2,4.03661,4260,0.29
21,10,2,400.194,3130,0.221
22,10,2,1229.58,5020,0.375
23,10,2,614.049,5940,0.439
24,10,2,208.83,25680,2.62
25,10,2,201.808,8560,0.839
26,10,2,400.222,6690,0.648
27,10,2,400,5560,0.604
28,10,2,400,8270,0.653
1,10,3,9.0076e-15,3370,0.228
2,10,3,4.97662e-15,10060,0.674
3,10,3,1.78665e-14,19290,1.351
4,10,3,1.88271e-14,6990,0.503
5,10,3,6.1303e-13,13660,0.943
6,10,3,9.81242,4580,0.323
7,10,3,7.50135,9770,0.707
8,10,3,20.5444,10930,0.79
9,10,3,3.01959,6950,0.705
10,10,3,1.21014e-14,4240,0.338
11,10,3,17.9092,5440,0.38
12,10,3,15.9193,10060,0.734
13,10,3,26.398,22580,1.581
14,10,3,1599.78,13890,0.911
15,10,3,1675.67,15720,1.301
16,10,3,1.44839,14020,1.333
17,10,3,42.8396,27730,2.428
18,10,3,46.8267,27730,2.292
19,10,3,1.89788,8080,0.625
20,10,3,3.46199,3190,0.219
21,10,3,400.194,2980,0.253
22,10,3,2379.83,12330,1.098
23,10,3,2212.85,13950,1.187
24,10,3,217.788,9420,1.243
25,10,3,203.02,26290,3.496
26,10,3,400.124,5420,0.678
27,10,3,400,5600,0.711
28,10,3,400,8820,0.925
1,10,4,1.21052e-15,2850,0.266
2,10,4,3.22293e-15,7680,0.583
3,10,4,2.83892e-14,10800,1.133
4,10,4,2.47334e-15,6860,0.639
5,10,4,4.22774e-12,13490,1.163
6,10,4,9.81242,3530,0.353
7,10,4,37.8363,7940,0.715
8,10,4,20.5568,24310,2.077
9,10,4,2.63874,5880,0.703
10,10,4,0.0172263,3770,0.294
11,10,4,3.97984,3850,0.288
12,10,4,7.95967,4140,0.32
13,10,4,20.1942,4170,0.334
14,10,4,1068.3,5050,0.427
15,10,4,782.854,3860,0.288
16,10,4,1.37967,22920,2.168
17,10,4,38.4151,15020,1.219
18,10,4,56.9243,4880,0.447
19,10,4,1.55824,5620,0.448
20,10,4,3.93952,12130,1.041
21,10,4,400.194,2660,0.318
22,10,4,1467.8,4360,0.491
23,10,4,1880.22,16470,1.536
24,10,4,209.23,10240,1.336
25,10,4,215.512,9350,1.162
26,10,4,400.149,6430,0.815
27,10,4,400,4730,0.7
28,10,4,767.046,3680,0.335
1,10,5,2.14947e-15,2750,0.226
2,10,5,1.41877e-15,9670,0.863
3,10,5,6.31503,16880,1.464
4,10,5,1.888e-15,7050,0.677
5,10,5,1.53372e-12,14720,1.221
6,10,5,5.62677e-15,4980,0.354
7,10,5,8.47217,23680,1.986
8,10,5,20.4839,23810,1.967
9,10,5,2.26593,6240,0.717
10,10,5,0.0123161,4080,0.339
11,10,5,10.9445,3540,0.342
12,10,5,32.8335,3620,0.304
13,10,5,57.8865,5310,0.453
14,10,5,1141.88,16210,1.325
15,10,5,370.778,3550,0.281
16,10,5,0.924413,26980,2.356
17,10,5,42.1469,4420,0.344
18,10,5,38.6724,9610,0.798
19,10,5,1.76132,10220,0.826
20,10,5,3.79656,27730,2.168
21,10,5,400.194,2500,0.18
22,10,5,1976.46,12950,1.155
23,10,5,505.423,8330,0.702
24,10,5,213.595,10250,1.132
25,10,5,220.724,9250,1.062
26,10,5,400.099,6070,0.679
27,10,5,400,4650,0.582
28,10,5,610.965,3460,0.346
1,10,6,3.36232e-15,2560,0.21
2,10,6,9.10146e-16,7250,0.543
3,10,6,2.75064e-08,13150,0.991
4,10,6,3.4853e-16,7230,0.508
5,10,6,5.39295e-13,14570,1.055
6,10,6,1.94698e-15,5500,0.404
7,10,6,15.3043,5630,0.425
8,10,6,20.3079,18630,1.478
9,10,6,4.84902,4870,0.593
10,10,6,0.00739604,3440,0.26
11,10,6,14.9244,2720,0.218
12,10,6,8.95463,3380,0.274
13,10,6,52.9469,3730,0.328
14,10,6,861.329,3010,0.286
15,10,6,477.687,2990,0.257
16,10,6,0.360681,7220,0.695
17,10,6,18.4885,3920,0.326
18,10,6,23.7628,4130,0.359
19,10,6,1.1897,3970,0.314
20,10,6,4.99985,13660,1.156
21,10,6,400.194,2330,0.194
22,10,6,1096.17,3420,0.307
23,10,6,1512.31,23190,1.972
24,10,6,219.294,8850,1.049
25,10,6,217.572,9630,1.286
26,10,6,401.01,6090,0.719
27,10,6,400,4070,0.478
