Function,Dimension,Run,Error,Evals,Time
1,10,1,3.52443e-15,3270,0.305
2,10,1,1.89104e-13,13370,1.124
3,10,1,2.62474e-11,23870,2.123
4,10,1,1.37114e-15,8040,0.653
5,10,1,1.72807e-12,18570,1.479
6,10,1,9.81242,6230,0.551
7,10,1,29.5841,21210,1.644
8,10,1,20.3225,23300,1.926
9,10,1,6.49576,6290,0.732
10,10,1,0.00739604,4170,0.349
11,10,1,9.94959,3780,0.303
12,10,1,6.96471,3790,0.306
13,10,1,49.6773,4450,0.412
14,10,1,915.637,4050,0.31
15,10,1,597.14,14710,1.201
16,10,1,0.254509,15840,1.374
17,10,1,19.0601,5720,0.45
18,10,1,29.0128,5050,0.446
19,10,1,1.79557,4960,0.385
20,10,1,4.06711,27730,2.174
21,10,1,400.194,3170,0.297
22,10,1,2340.22,4190,0.383
23,10,1,1621.88,4460,0.336
24,10,1,204.73,10730,1.19
25,10,1,206.016,6920,0.814
26,10,1,400.173,6140,0.713
27,10,1,400,5480,0.652
28,10,1,734.467,4610,0.397
1,10,2,3.19146e-14,6100,0.457
2,10,2,1.67939e+07,990,0.104
3,10,2,5.57968e+08,3940,0.307
4,10,2,29898.7,540,0.066
5,10,2,1665.41,420,0.037
6,10,2,1.51072e-13,11930,0.906
7,10,2,201.116,730,0.04
8,10,2,20.6397,5230,0.459
9,10,2,10.0636,5810,0.68
10,10,2,0.0517034,10910,0.917
11,10,2,78.4131,410,0.035
12,10,2,52.3926,3850,0.296
13,10,2,65.68,2890,0.223
14,10,2,2029.11,4750,0.363
15,10,2,1340.07,1110,0.109
16,10,2,1.59121,4770,0.467
17,10,2,56.9248,2990,0.243
18,10,2,78.8693,1510,0.105
19,10,2,3.91348,5760,0.466
20,10,2,4.19162,980,0.079
21,10,2,400.194,5840,0.534
22,10,2,2444.89,5340,0.48
23,10,2,2115.73,5300,0.461
24,10,2,228.792,1280,0.172
25,10,2,237.627,1970,0.254
26,10,2,400.69,27730,3.372
27,10,2,400,10190,1.105
28,10,2,300,12580,1.17
1,10,3,2.4141e-15,2720,0.183
2,10,3,1.89167e-14,8670,0.675
3,10,3,1.23292e-13,7720,0.642
4,10,3,4.8209e-16,7690,0.625
5,10,3,1.08773e-12,14570,1.153
6,10,3,9.81242,3590,0.279
7,10,3,0.13975,23330,1.849
8,10,3,20.1291,23780,1.831
9,10,3,4.71238,5720,0.651
10,10,3,0.00739604,3470,0.269
11,10,3,19.8991,3320,0.273
12,10,3,20.8941,3000,0.248
13,10,3,23.0137,3310,0.269
14,10,3,1163.18,3400,0.277
15,10,3,378.143,3060,0.225
16,10,3,0.132776,11180,1.024
17,10,3,29.341,4590,0.33
18,10,3,25.6158,4960,0.401
19,10,3,0.961123,5050,0.385
20,10,3,4.46474,8890,0.656
21,10,3,400.194,2370,0.182
22,10,3,2115.34,21980,1.984
23,10,3,1504.02,18560,1.504
24,10,3,216.186,13030,1.422
25,10,3,204.045,7880,0.981
26,10,3,400.198,5410,0.585
27,10,3,400,4220,0.506
28,10,3,640.133,3030,0.278
1,10,4,1.23202e-14,3460,0.3
2,10,4,2.40154e-13,14510,1.172
3,10,4,8.65921e-10,10910,0.843
4,10,4,17045.7,14880,1.256
5,10,4,1.20327e-12,16630,1.417
6,10,4,9.81242,6210,0.695
7,10,4,0.841279,25470,2.307
8,10,4,20.6127,12010,1.094
9,10,4,4.36947,10070,1.099
10,10,4,3.55271e-15,4580,0.405
11,10,4,13.9294,6710,0.573
12,10,4,6.96471,4610,0.398
13,10,4,17.3704,6590,0.545
14,10,4,1964.82,11970,1.014
15,10,4,1920.84,11920,1.041
16,10,4,1.48528,11530,1.092
17,10,4,42.7847,9800,0.753
18,10,4,49.609,18470,1.548
19,10,4,0.931125,9550,0.761
20,10,4,4.06087,3790,0.282
21,10,4,400.194,3210,0.257
22,10,4,2263.63,12460,1.157
23,10,4,1813.65,8580,0.788
24,10,4,200.236,13180,1.746
25,10,4,206.959,15230,2.493
26,10,4,400.394,7490,1.049
27,10,4,400,5780,0.756
28,10,4,611.491,4250,0.427
1,10,5,6.93787e-16,3340,0.299
2,10,5,5.6353e-13,18910,1.575
3,10,5,3.87472e-14,19250,1.518
4,10,5,23020.3,1430,0.112
5,10,5,1.56905e-12,16500,1.383
6,10,5,9.81242,4100,0.356
7,10,5,0.581576,20500,1.77
8,10,5,20.3314,7990,0.734
9,10,5,2.39099,24590,2.737
10,10,5,0.0221857,4110,0.334
11,10,5,23.879,5630,0.425
12,10,5,24.8739,5440,0.419
13,10,5,42.4636,7790,0.588
14,10,5,1828.61,8140,0.697
15,10,5,1874.55,9830,0.807
16,10,5,1.7011,7230,0.684
17,10,5,27.5265,27730,2.099
18,10,5,50.4245,21910,1.8
19,10,5,1.01619,7540,0.603
20,10,5,3.98967,2500,0.224
21,10,5,400.194,3160,0.305
22,10,5,2275.88,6640,0.6
23,10,5,2209.45,8510,0.721
24,10,5,213.491,12060,1.405
25,10,5,202.135,17780,2.173
26,10,5,400.518,6060,0.789
27,10,5,400,5260,0.615
28,10,5,614.962,4320,0.395
1,10,6,4.42633e-15,3490,0.294
2,10,6,6.04054e-14,18010,1.505
3,10,6,2.49933e-14,16060,1.345
4,10,6,1.06734e-15,6630,0.51
5,10,6,1.53007e-12,14890,1.092
6,10,6,9.81242,4680,0.377
7,10,6,0.0799939,27730,2.313
8,10,6,20.4983,12930,1.039
9,10,6,2.27851,6350,0.705
10,10,6,0.0123161,4270,0.384
11,10,6,5.96975,5390,0.544
12,10,6,23.879,3870,0.381
13,10,6,15.7537,4620,0.478
14,10,6,1854.03,13140,1.14
15,10,6,1716.13,800,0.053
16,10,6,1.2301,15580,1.51
17,10,6,31.7912,10010,0.799
18,10,6,42.4491,27730,2.229
19,10,6,1.1852,5980,0.48
20,10,6,3.48624,2660,0.21
21,10,6,400.194,3070,0.258
22,10,6,1890.22,14530,1.318
23,10,6,1997.57,16660,1.399
24,10,6,200.341,6910,0.774
25,10,6,204.923,6840,0.812
26,10,6,400.124,6340,0.716
27,10,6,400,5230,0.577
