Function,Dimension,Run,Error,Evals,Time
1,10,1,9.95037e-16,3000,0.144
2,10,1,6.88721e-16,11740,0.511
3,10,1,2.18235e-14,20670,0.881
4,10,1,9.09846e-16,6520,0.343
5,10,1,1.58632e-12,13790,0.673
6,10,1,9.81242,3610,0.187
7,10,1,2.91381,18700,0.847
8,10,1,20.5772,27730,1.255
9,10,1,2.92177,5890,0.386
10,10,1,0.0221512,4500,0.208
11,10,1,10.9445,4280,0.195
12,10,1,12.9345,3740,0.17
13,10,1,30.0066,5340,0.251
14,10,1,1049.4,12920,0.576
15,10,1,664.25,3390,0.155
16,10,1,1.01093,27730,1.431
17,10,1,48.0159,5310,0.244
18,10,1,18.316,7860,0.386
19,10,1,0.545261,5770,0.278
20,10,1,3.71106,8360,0.404
21,10,1,400.194,2690,0.127
22,10,1,1318.98,5140,0.273
23,10,1,1702.96,18520,0.894
24,10,1,214.326,10600,0.77
25,10,1,209.163,6700,0.475
26,10,1,400.198,5840,0.445
27,10,1,400,4660,0.327
28,10,1,690.271,3300,0.171
1,10,2,1.97624e-15,2860,0.132
2,10,2,2.14476e-15,6920,0.328
3,10,2,8.23829e-15,14810,0.692
4,10,2,9.04633e-16,6870,0.325
5,10,2,3.59927e-12,13520,0.605
6,10,2,9.81242,3630,0.176
7,10,2,17.5284,15200,0.702
8,10,2,20.524,27730,1.374
9,10,2,2.22649,6190,0.419
10,10,2,0.00739604,3890,0.206
11,10,2,23.879,3640,0.172
12,10,2,12.9345,3740,0.172
13,10,2,53.8597,4280,0.195
14,10,2,738.184,13760,0.615
15,10,2,756.8,4180,0.193
16,10,2,0.446129,27730,1.487
17,10,2,23.5731,4520,0.208
18,10,2,15.1257,5960,0.27
19,10,2,1.07288,5850,0.257
20,10,2,5,200,0.008
21,10,2,400.194,2660,0.123
22,10,2,2180.56,27730,1.343
23,10,2,1743.63,27730,1.416
24,10,2,211.288,7960,0.56
25,10,2,202.287,12400,0.855
26,10,2,400,4230,0.325
27,10,2,400,4900,0.356
28,10,2,675.945,3450,0.203
1,10,3,8.28335e-16,2750,0.145
2,10,3,7.7152e-16,7710,0.365
3,10,3,3.01805e-14,17130,0.835
4,10,3,3.57969e-15,7970,0.415
5,10,3,5.85195e-13,13920,0.617
6,10,3,1.25008e-15,4160,0.186
7,10,3,1.57491,13180,0.595
8,10,3,20.3805,27730,1.311
9,10,3,4.03107,5560,0.394
10,10,3,0.0344674,3620,0.165
11,10,3,19.8992,4310,0.194
12,10,3,11.9395,3730,0.172
13,10,3,11.2745,3770,0.177
14,10,3,808.882,12590,0.562
15,10,3,870.067,3310,0.154
16,10,3,0.0539526,10730,0.538
17,10,3,27.3702,6870,0.305
18,10,3,15.7197,6150,0.275
19,10,3,1.93123,5410,0.253
20,10,3,3.53155,5810,0.267
21,10,3,400.194,2690,0.141
22,10,3,1497.5,23280,1.141
23,10,3,710.921,4850,0.236
24,10,3,208.307,12260,0.856
25,10,3,217.177,9330,0.644
26,10,3,400,4700,0.336
27,10,3,400,4560,0.323
28,10,3,707.412,3600,0.18
1,10,4,1.45493e-15,2930,0.13
2,10,4,1.74908e-15,8410,0.371
3,10,4,1.72875e-14,13660,0.612
4,10,4,3.74712e-15,6620,0.304
5,10,4,8.66131e-13,13370,0.571
6,10,4,2.0591e-15,8100,0.352
7,10,4,7.9803,16010,0.722
8,10,4,20.488,27730,1.269
9,10,4,3.12488,7930,0.535
10,10,4,0.00739604,3680,0.165
11,10,4,9.94959,3680,0.165
12,10,4,13.9294,3890,0.192
13,10,4,8.7295,3420,0.159
14,10,4,1822.69,11750,0.528
15,10,4,291.791,4080,0.19
16,10,4,0.922788,18500,0.983
17,10,4,31.3677,5780,0.27
18,10,4,18.594,5050,0.24
19,10,4,0.554977,5530,0.25
20,10,4,5,200,0.008
21,10,4,400.194,2670,0.126
22,10,4,2526.43,15490,0.729
23,10,4,1482.32,27730,1.381
