Function,Dimension,Run,Error,Evals,Time
1,10,1,2.03571e-15,2890,0.226
2,10,1,2.50286e-15,7630,0.564
3,10,1,1.7295e-10,8680,0.74
4,10,1,2.20985e-15,7000,0.611
5,10,1,4.00457e-12,12980,0.833
6,10,1,9.81242,4960,0.407
7,10,1,11.6325,20050,1.439
8,10,1,20.209,27730,2.191
9,10,1,2.8339,6230,0.686
10,10,1,0.0196777,3720,0.33
11,10,1,9.94958,3690,0.292
12,10,1,9.94959,4220,0.345
13,10,1,35.152,4780,0.342
14,10,1,1068.54,4840,0.409
15,10,1,975.773,4160,0.365
16,10,1,0.403319,27730,2.58
17,10,1,15.5828,8190,0.637
18,10,1,14.8571,11670,0.952
19,10,1,0.922789,7000,0.597
20,10,1,3.48165,27730,2.133
21,10,1,400.194,2650,0.239
22,10,1,1051.55,5280,0.425
23,10,1,1610.82,27730,2.314
24,10,1,203.852,10000,1.176
25,10,1,202.357,6240,0.745
26,10,1,400.148,5480,0.639
27,10,1,400,4760,0.595
28,10,1,773.47,3710,0.322
1,10,2,1.10305e-15,2830,0.242
2,10,2,1.8161e-15,9260,0.747
3,10,2,1.52789e-14,10960,0.862
4,10,2,1.1637e-15,6770,0.555
5,10,2,5.87391e-13,13810,1.057
6,10,2,9.81242,4690,0.366
7,10,2,0.0614857,26140,1.9
8,10,2,20.4859,27730,2.189
9,10,2,3.40175,5750,0.705
10,10,2,0.00739604,3950,0.272
11,10,2,13.9294,3610,0.235
12,10,2,28.8537,3890,0.288
13,10,2,43.7332,4410,0.333
14,10,2,454.596,5020,0.403
15,10,2,707.94,4710,0.369
16,10,2,0.491429,27730,2.326
17,10,2,20.4913,6020,0.471
18,10,2,32.3966,5250,0.437
19,10,2,1.10195,5540,0.39
20,10,2,3.37294,11330,0.9
21,10,2,400.194,2790,0.247
22,10,2,713.558,4820,0.417
23,10,2,875.049,6490,0.554
24,10,2,210.05,14860,1.703
25,10,2,200.204,11100,1.367
26,10,2,400.37,6060,0.669
27,10,2,400,4980,0.591
28,10,2,300,4920,0.494
1,10,3,1.69786e-15,2880,0.199
2,10,3,2.39505e-15,12200,0.974
3,10,3,1.96938e-11,16650,1.359
4,10,3,2.44641e-15,6760,0.564
5,10,3,6.50481e-13,14400,1.204
6,10,3,9.81242,5740,0.406
7,10,3,0.204047,13900,1.357
8,10,3,20.4538,27730,2.529
9,10,3,1.62578,5840,0.615
10,10,3,1.55431e-15,3720,0.324
11,10,3,11.9395,4140,0.312
12,10,3,19.8991,4850,0.386
13,10,3,2.13532,5390,0.463
14,10,3,481.017,13600,1.121
15,10,3,745.502,3320,0.257
16,10,3,1.54491,27730,2.549
17,10,3,12.6512,5970,0.46
18,10,3,22.6909,5470,0.442
19,10,3,1.26381,4560,0.407
20,10,3,3.58969,22840,1.888
21,10,3,400.194,2680,0.24
22,10,3,1922.76,27730,2.323
23,10,3,1935.84,22850,2.041
24,10,3,219.492,10910,1.516
25,10,3,210.95,15220,2.283
26,10,3,400.173,5440,0.725
27,10,3,400,4960,0.621
28,10,3,607.77,3750,0.355
1,10,4,3.54304e-15,2910,0.212
2,10,4,5.40927e-15,7040,0.572
3,10,4,2.44018e-14,14130,1.054
4,10,4,1.89954e-15,7060,0.61
5,10,4,4.35164e-13,13640,1.079
6,10,4,1.03792e-15,5240,0.468
7,10,4,7.4517,7480,0.587
8,10,4,20.2869,27730,2.39
9,10,4,3.58376,5600,0.573
10,10,4,2.22045e-15,3830,0.284
11,10,4,8.95463,3600,0.308
12,10,4,7.95967,3740,0.318
13,10,4,46.6726,4020,0.321
14,10,4,1580.54,13250,0.993
15,10,4,738.82,3870,0.303
16,10,4,0.427568,20530,1.702
17,10,4,25.6761,5610,0.437
18,10,4,26.2794,7970,0.627
19,10,4,1.85892,5680,0.448
20,10,4,3.14636,16380,1.33
21,10,4,400.194,2630,0.215
22,10,4,1331.29,27730,2.204
23,10,4,1105.46,4260,0.332
24,10,4,213.518,10890,1.254
25,10,4,215.439,5930,0.636
26,10,4,400.371,5720,0.676
27,10,4,400,4790,0.539
28,10,4,400,7090,0.611
1,10,5,2.35475e-15,2850,0.202
2,10,5,1.70392e-15,7790,0.542
3,10,5,4.22949e-14,13650,1.035
4,10,5,1.24623e-15,6780,0.519
5,10,5,1.93964e-12,13420,1.083
6,10,5,9.81242,5160,0.408
7,10,5,21.2145,18170,1.591
8,10,5,20.0003,18020,1.421
9,10,5,4.6399,5460,0.637
10,10,5,0.00739604,3890,0.354
11,10,5,26.8638,3470,0.258
12,10,5,11.9395,4120,0.333
13,10,5,32.5518,4060,0.35
14,10,5,1340.06,3790,0.318
15,10,5,1264.62,4710,0.401
16,10,5,0.0298641,11250,0.951
17,10,5,14.5049,4790,0.392
18,10,5,23.2975,12610,1.091
19,10,5,1.10034,5550,0.453
20,10,5,3.82545,12940,1.034
21,10,5,400.194,2590,0.21
22,10,5,1359.37,3800,0.383
23,10,5,1308.32,18640,1.678
24,10,5,212.163,8960,1.154
