Function,Dimension,Run,Error,Evals,Time
1,10,1,3.70399e-15,2970,0.137
2,10,1,1.17964e-15,7970,0.361
3,10,1,8.54241e-13,19940,0.932
4,10,1,7.64055e-16,6980,0.328
5,10,1,3.7179e-12,12880,0.568
6,10,1,9.81242,5110,0.24
7,10,1,17.908,6530,0.308
8,10,1,20.5054,27730,1.994
9,10,1,3.22158,6620,0.446
10,10,1,1.44329e-15,3820,0.182
11,10,1,5.96975,3350,0.154
12,10,1,22.884,4710,0.226
13,10,1,44.1226,5540,0.267
14,10,1,636.542,3700,0.172
15,10,1,533.544,3510,0.176
16,10,1,0.117704,12250,0.623
17,10,1,18.2982,7790,0.356
18,10,1,18.8542,5580,0.258
19,10,1,1.13065,5570,0.254
20,10,1,4.05508,17430,0.815
21,10,1,400.194,2600,0.129
22,10,1,2349.26,24070,1.16
23,10,1,1100.15,5340,0.271
24,10,1,212.966,10430,0.726
25,10,1,206.01,13430,0.919
26,10,1,400.222,4940,0.357
27,10,1,400,4760,0.345
28,10,1,635.91,3500,0.186
1,10,2,1.10275e-15,3010,0.138
2,10,2,3.99282e-15,8610,0.389
3,10,2,1.12938e-14,11270,0.538
4,10,2,5.6292e-16,6500,0.3
5,10,2,4.99966e-13,13990,0.621
6,10,2,9.81242,3470,0.16
7,10,2,0.994049,14280,0.66
8,10,2,20.4763,27730,1.295
9,10,2,2.30169,5720,0.383
10,10,2,0.012321,3850,0.18
11,10,2,12.9345,3480,0.163
12,10,2,16.9143,3340,0.156
13,10,2,25.9896,4620,0.222
14,10,2,1631.85,13820,0.638
15,10,2,794.015,3960,0.185
16,10,2,0.104348,11380,0.576
17,10,2,20.46,7750,0.361
18,10,2,27.0469,5390,0.256
19,10,2,2.04926,4660,0.221
20,10,2,3.36807,22110,1.008
21,10,2,400.194,2700,0.131
22,10,2,1777.2,27730,1.329
23,10,2,346.539,5040,0.248
24,10,2,211.394,6120,0.428
25,10,2,214.117,12190,0.847
26,10,2,400.075,5450,0.389
27,10,2,400,4630,0.329
28,10,2,300,4920,0.251
1,10,3,1.26751e-15,2880,0.134
