Function,Dimension,Run,Error,Evals,Time
1,30,1,2.26266e-15,7728,2.731
2,30,1,2.12997e-15,50190,17.157
3,30,1,25.5609,205142,68.92
4,30,1,4.82065e-15,32172,11.404
5,30,1,1.25901e-10,94080,30.692
6,30,1,1.28594e-14,36218,12.623
7,30,1,33.5269,77784,27.644
8,30,1,20.9637,205142,72.678
9,30,1,17.782,32116,16.318
10,30,1,0.0123161,10990,3.965
11,30,1,35.8185,11284,4.009
12,30,1,43.7781,11802,4.288
13,30,1,107.412,12054,4.354
14,30,1,1637.82,76048,26.687
15,30,1,3012.71,205142,70.089
16,30,1,2.91604,205142,82.401
17,30,1,84.3836,18284,6.43
18,30,1,62.4018,25340,9.086
19,30,1,2.28092,27510,9.495
20,30,1,15,280,0.096
21,30,1,443.544,7812,2.906
22,30,1,3161.91,72632,26.344
23,30,1,4729.8,121786,43.774
24,30,1,246.229,36330,19.368
25,30,1,268.156,35588,18.907
26,30,1,320.094,41482,22.325
27,30,1,677.583,33824,18.197
28,30,1,100,33152,12.992
1,30,2,2.6426e-15,7756,2.732
2,30,2,4.14022e-15,43918,15.081
3,30,2,0.00141207,205142,69.167
4,30,2,1.05869e-14,32256,11.438
5,30,2,1.21199e-10,91294,29.787
6,30,2,1.11293e-14,39858,13.954
7,30,2,17.2811,107282,37.87
8,30,2,20.9492,205142,73.174
9,30,2,15.7363,35224,17.872
10,30,2,0.012321,11466,4.135
11,30,2,73.6268,10388,3.68
12,30,2,46.763,10724,3.902
13,30,2,140.932,15190,5.547
14,30,2,2560.97,205142,70.619
15,30,2,3615.19,205142,72.416
16,30,2,0.085902,123480,48.478
17,30,2,57.8505,15764,5.586
18,30,2,76.4911,20440,7.308
19,30,2,3.20666,24752,8.636
20,30,2,15,280,0.096
21,30,2,300,20328,7.622
22,30,2,3285.99,205142,72.09
23,30,2,2915.54,205142,73.594
24,30,2,156.871,22148,11.935
25,30,2,206.49,34566,18.43
26,30,2,313.834,29288,15.866
27,30,2,404.914,35546,19.087
28,30,2,300,18718,7.354
1,30,3,1.48674e-15,8092,2.858
2,30,3,1.61613e-15,47068,16.08
3,30,3,0.00106528,205142,69.613
4,30,3,5.42991e-15,34832,12.352
5,30,3,1.25408e-10,93604,30.624
6,30,3,8.99925e-15,41286,14.437
7,30,3,13.4856,131152,45.914
8,30,3,20.8742,205142,72.561
9,30,3,16.1481,39522,20.078
10,30,3,0.0123161,11368,4.056
11,30,3,42.7832,10416,3.697
12,30,3,43.7781,12404,4.551
13,30,3,152.934,13510,4.888
14,30,3,2241.86,95508,33.168
15,30,3,3259.18,205142,70.126
16,30,3,0.0545582,205142,80.758
17,30,3,66.6858,20790,7.323
18,30,3,72.7118,30688,10.925
19,30,3,3.41198,21672,7.577
20,30,3,15,280,0.096
21,30,3,300,20440,7.646
22,30,3,5090.49,77378,28.061
23,30,3,3305.43,77322,28.736
24,30,3,227.288,37730,20.063
25,30,3,267.887,42406,22.55
26,30,3,330.556,30576,16.684
27,30,3,664.194,32074,17.262
28,30,3,300,45122,17.68
1,30,4,4.21849e-15,7868,2.77
2,30,4,4.04613e-15,46018,15.762
3,30,4,2.14697e-06,205142,69.725
4,30,4,9.51021e-15,31724,11.231
5,30,4,1.81828e-12,98980,32.265
6,30,4,6.97586e-15,38458,13.442
7,30,4,31.4145,76328,26.963
8,30,4,20.9767,205142,71.912
