Function,Dimension,Run,Error,Evals,Time
1,30,1,1.35527e-15,7826,2.743
2,30,1,4.08311e-15,44450,15.112
3,30,1,3.22203,205142,68.955
4,30,1,1.28283e-14,64176,22.578
5,30,1,9.54618e-11,89012,28.811
6,30,1,9.30869e-15,38178,13.291
7,30,1,13.9761,83006,29.417
8,30,1,20.9961,205142,72.705
9,30,1,11.1937,35462,17.977
10,30,1,0.0147798,11256,3.974
11,30,1,37.8084,10136,3.587
12,30,1,47.758,11830,4.278
13,30,1,55.8409,11368,4.102
14,30,1,3037.56,205142,69.274
15,30,1,3282.13,193354,65.858
16,30,1,2.99425,205142,81.487
17,30,1,77.8538,16800,5.893
18,30,1,95.8643,21252,7.6
19,30,1,3.18718,21868,7.549
20,30,1,15,280,0.096
21,30,1,300,18508,6.905
22,30,1,4363.4,83146,29.946
23,30,1,4065.39,205142,73.233
24,30,1,222.767,47796,25.206
25,30,1,257.647,29540,15.773
26,30,1,327.601,50442,27.073
27,30,1,572.207,28532,15.381
28,30,1,300,46816,18.256
1,30,2,2.9413e-15,7714,2.705
2,30,2,3.31639e-15,44800,15.281
3,30,2,1.33582e-06,191730,65.946
4,30,2,2.94649e-15,44492,15.631
5,30,2,2.04215e-11,84742,27.508
6,30,2,4.99601e-15,39592,13.766
7,30,2,25.3914,130550,45.254
8,30,2,20.982,205142,72.255
9,30,2,11.8332,38178,19.367
10,30,2,0.0246444,11452,4.059
11,30,2,50.7429,10472,3.701
12,30,2,24.8739,13244,4.783
13,30,2,118.094,13720,4.932
14,30,2,2765.59,83104,28.668
15,30,2,3208.21,96040,33.532
16,30,2,2.67635,205142,81.885
17,30,2,60.5225,23044,8.068
18,30,2,81.2473,26852,9.565
19,30,2,3.72729,25130,8.669
20,30,2,15,280,0.096
21,30,2,443.544,7420,2.754
22,30,2,2498.22,205142,71.383
23,30,2,3929.51,205142,73.906
24,30,2,216.247,36974,19.568
25,30,2,277.949,44730,23.512
26,30,2,333.382,27356,14.88
27,30,2,744.86,35112,18.714
28,30,2,300,29414,11.43
1,30,3,2.13003e-15,7756,2.725
2,30,3,1.94387e-15,44128,15.015
3,30,3,4.38297e-06,205142,68.809
4,30,3,5.59376e-15,31738,11.165
5,30,3,2.36621e-10,90398,29.288
6,30,3,7.6395e-15,37548,13.042
7,30,3,16.6707,69734,24.616
8,30,3,21.0217,205142,72.315
9,30,3,14.3995,33054,16.792
10,30,3,1.66533e-15,11172,3.981
11,30,3,54.7226,10346,3.648
12,30,3,79.5964,11452,4.153
13,30,3,54.0862,12614,4.567
14,30,3,3622.49,62174,21.549
15,30,3,2532.6,87556,30.914
16,30,3,2.89219,205142,81.704
17,30,3,80.2461,14280,5.006
18,30,3,85.6148,28938,10.299
19,30,3,6.94132,30338,10.394
20,30,3,15,280,0.096
21,30,3,300,22764,8.482
22,30,3,3918.81,80444,29
23,30,3,5933.97,83832,30.916
24,30,3,229.653,35980,19.132
25,30,3,258.833,41776,22.346
26,30,3,341.465,35882,19.458
27,30,3,518.997,28868,15.539
28,30,3,300,41958,16.338
1,30,4,2.70074e-15,7588,2.662
2,30,4,3.59537e-15,46816,15.885
3,30,4,4.77333e-06,205142,70.276
4,30,4,7.38863e-15,30940,10.865
5,30,4,1.81528e-12,100254,32.461
6,30,4,26.4074,13090,4.629
7,30,4,10.4977,61026,21.698
8,30,4,21.0158,205142,72.291
9,30,4,13.8525,47530,23.946
10,30,4,0.0123161,10584,3.765
11,30,4,72.6317,9940,3.519
12,30,4,60.6924,12908,4.666
13,30,4,51.409,11564,4.179
14,30,4,3139.74,72632,25.556
15,30,4,1494.85,76160,26.914
16,30,4,2.36204,205142,81.66
17,30,4,75.0169,20356,7.11
18,30,4,88.6061,44674,15.83
19,30,4,3.64351,26138,9.031
20,30,4,15,280,0.096
21,30,4,300,19586,7.321
22,30,4,3649.08,205142,71.459
23,30,4,3970.38,114660,41.597
24,30,4,230.971,31892,16.926
25,30,4,271.949,33698,17.947
26,30,4,336.504,32256,17.385
27,30,4,645.614,37968,20.275
28,30,4,100,31024,12.088
1,30,5,2.2137e-15,7938,2.787
2,30,5,3.75246e-15,43274,14.708
3,30,5,0.0182172,205142,69.927
