Function,Dimension,Run,Error,Evals,Time
1,30,1,1.35527e-15,7826,2.761
2,30,1,3.36961e-15,44646,15.473
3,30,1,0.095992,205142,70.831
4,30,1,7.36756e-15,31108,10.999
5,30,1,2.51257e-10,92400,30.769
6,30,1,8.07917e-15,39242,13.955
7,30,1,9.8601,83762,30.191
8,30,1,20.9613,205142,73.966
9,30,1,12.3231,28896,14.832
10,30,1,0.01969,11438,4.084
11,30,1,66.6621,10150,3.827
12,30,1,44.7731,11354,4.127
13,30,1,124.183,12572,4.557
14,30,1,2515.9,89124,31.353
15,30,1,2730.36,72450,26.155
16,30,1,2.98805,205142,83.606
17,30,1,90.3745,16884,6.166
18,30,1,54.713,30310,10.858
19,30,1,4.0731,26082,9.306
20,30,1,15,280,0.096
21,30,1,300,21070,7.918
22,30,1,3511.85,93520,34.067
23,30,1,4166.72,80528,29.908
24,30,1,231.721,33712,17.93
25,30,1,260.072,37730,20.31
26,30,1,335.098,37982,20.743
27,30,1,461.014,37212,20.174
28,30,1,100,18312,7.402
1,30,2,1.66461e-15,7714,2.723
2,30,2,3.67445e-15,45738,15.84
3,30,2,3.46512e-13,166012,58.001
4,30,2,3.95339e-15,33390,11.984
5,30,2,4.19527e-11,96054,31.716
6,30,2,9.32809e-15,40278,14.308
7,30,2,4.43425,49154,17.804
8,30,2,20.9739,205142,73.392
9,30,2,17.5599,31696,16.361
10,30,2,0.00986467,10948,3.919
11,30,2,45.7681,11158,3.974
12,30,2,44.7731,11816,4.507
13,30,2,94.0907,13944,5.049
14,30,2,2680.74,91532,32.508
15,30,2,2832.28,116256,41.093
16,30,2,2.88527,205142,83.346
17,30,2,98.5446,19740,6.956
18,30,2,94.7991,23562,8.618
19,30,2,2.12719,87906,30.239
20,30,2,15,280,0.096
21,30,2,300,19880,7.452
22,30,2,3824.75,90594,33.191
23,30,2,5437.34,205142,74.477
24,30,2,215.229,34566,18.374
25,30,2,249.836,35966,19.332
26,30,2,328.245,37058,20.24
27,30,2,354.249,27930,15.316
28,30,2,300,36526,14.489
1,30,3,1.73797e-15,7630,2.699
2,30,3,3.64986e-15,42294,14.693
3,30,3,0.00974927,205142,71.061
4,30,3,4.06844e-15,32298,11.627
5,30,3,2.68282e-10,88550,29.363
6,30,3,3.81805e-15,39536,14.031
7,30,3,8.36432,94696,33.551
8,30,3,20.9321,205142,74.006
9,30,3,15.5037,32662,16.841
10,30,3,0.017241,11018,3.931
11,30,3,45.7036,13188,4.688
12,30,3,63.6772,11956,4.348
13,30,3,129.371,13916,5.25
14,30,3,3853.17,78260,27.936
15,30,3,3023.54,27398,9.792
16,30,3,0.776832,205142,82.813
17,30,3,80.1686,18634,6.757
18,30,3,78.1257,24724,8.846
19,30,3,3.17046,25242,8.98
20,30,3,15,280,0.096
21,30,3,300,23184,8.695
22,30,3,5248.31,205142,72.549
23,30,3,4476.17,98224,36.769
24,30,3,248.806,32760,17.675
25,30,3,263.207,41188,22.051
26,30,3,327.239,33264,18.094
27,30,3,650.225,30562,16.715
28,30,3,100,40586,16.13
1,30,4,2.67553e-15,7700,2.72
2,30,4,2.12251e-15,52010,17.989
3,30,4,1.18559e-06,205142,72
4,30,4,6.57325e-15,31906,11.495
5,30,4,7.84542e-12,100492,33.28
6,30,4,26.4074,12670,4.501
7,30,4,11.8884,126616,44.631
8,30,4,20.9913,205142,72.762
9,30,4,15.9856,33908,17.432
10,30,4,0.0123161,11396,4.072
11,30,4,103.475,9926,3.523
12,30,4,36.8135,11312,4.13
13,30,4,132.602,12796,4.848
14,30,4,2371.32,114366,39.954
15,30,4,2720.78,21504,7.888
16,30,4,2.83248,205142,83.192
17,30,4,93.2186,23282,8.181
18,30,4,81.2745,30772,11.185
19,30,4,2.27143,42182,14.667
20,30,4,15,280,0.096
21,30,4,300,23016,8.859
22,30,4,3852.03,77532,28.378
23,30,4,5493.99,114436,42.169
24,30,4,229.126,35126,18.88
25,30,4,274.516,36022,19.398
26,30,4,336.693,33684,18.479
27,30,4,694.717,35014,18.99
28,30,4,100,27748,10.877
1,30,5,1.58695e-15,7686,2.915
2,30,5,2.39732e-15,44128,15.31
3,30,5,0.0559501,205142,70.596
4,30,5,8.60137e-15,33418,11.799
5,30,5,5.1078e-12,94794,31.462
6,30,5,6.94492e-15,37772,13.395
7,30,5,28.6128,59388,21.508
8,30,5,20.918,205142,73.8
9,30,5,19.2041,33306,17.228
10,30,5,0.00985728,11998,4.291
11,30,5,55.6532,12082,4.296
12,30,5,59.6974,10878,4.171
13,30,5,180.382,12908,4.682
14,30,5,2947.45,205142,70.683
15,30,5,3139.59,103586,37.21
16,30,5,0.404653,205142,84.086
17,30,5,56.1885,19586,7.102
18,30,5,69.5963,26320,9.427
19,30,5,2.84875,24752,8.788
20,30,5,15,280,0.096
21,30,5,443.544,7924,2.962
22,30,5,2860.22,104538,37.989
23,30,5,4756.1,182112,67.129
24,30,5,230.981,34216,18.422
25,30,5,270.869,55328,29.515
26,30,5,161.701,19194,10.786
27,30,5,598.227,31416,16.885
28,30,5,300,44926,17.788
1,30,6,2.58539e-15,7840,2.977
2,30,6,1.94029e-15,45094,15.626
3,30,6,0.00495096,205142,70.985
4,30,6,3.34514e-15,34636,12.264
5,30,6,5.79908e-11,94052,31.327
6,30,6,1.11916e-14,39354,13.974
7,30,6,10.2898,42476,15.602
8,30,6,20.9515,205142,74.061
9,30,6,19.6007,46578,23.744
10,30,6,0.0172263,11088,3.97
11,30,6,44.7731,11774,4.197
12,30,6,31.8387,10220,3.724
13,30,6,141.352,14028,5.301
14,30,6,3131.78,205142,70.83
15,30,6,3267.63,110782,39.121
16,30,6,0.593072,205142,83.682
17,30,6,74.1324,17458,6.356
18,30,6,72.6502,21574,7.722
19,30,6,4.0588,27776,9.819
20,30,6,15,280,0.096
21,30,6,443.544,8078,3.032
22,30,6,2812.46,90034,33.12
23,30,6,3160.79,205142,74.995
24,30,6,172.205,24178,13.145
25,30,6,254.863,47474,25.382
26,30,6,325.645,33040,18.101
27,30,6,488.892,34440,18.7
28,30,6,100,35392,13.899
1,30,7,1.31114e-15,7952,3.018
2,30,7,1.32932e-15,46452,16.146
3,30,7,1.36823e-05,205142,71.017
4,30,7,9.93133e-15,33418,11.804
5,30,7,5.44344e-10,92386,30.659
6,30,7,1.35619e-14,38332,13.587
7,30,7,18.4702,165256,58.513
8,30,7,20.8956,205142,73.779
9,30,7,10.5007,33614,17.333
10,30,7,0.0123161,10486,3.953
11,30,7,45.768,9492,3.37
12,30,7,84.5713,11144,4.061
13,30,7,106.105,14280,5.18
14,30,7,3393.49,91406,32.351
15,30,7,2728.19,81522,29.364
16,30,7,2.75684,205142,83.163
17,30,7,65.6108,18228,6.634
18,30,7,89.3833,21196,7.602
19,30,7,3.80204,26796,9.553
20,30,7,15,280,0.096
21,30,7,300,18998,7.13
22,30,7,5987.71,93688,34.032
23,30,7,5035.78,111678,41.384
24,30,7,126.188,20202,11.071
25,30,7,219.296,31304,16.895
26,30,7,322.684,33180,18
27,30,7,502.745,33152,18.028
28,30,7,300,43162,17.131
1,30,8,3.21216e-15,7574,2.676
2,30,8,2.10397e-15,47726,16.767
3,30,8,2.31247e-05,205142,71.644
4,30,8,4.77273e-15,35476,12.562
5,30,8,3.7999e-12,96488,32.052
6,30,8,5.49621e-15,39368,13.977
7,30,8,5.063,98070,35.124
8,30,8,20.9756,205142,73.803
9,30,8,11.9469,33894,17.443
10,30,8,0.0295866,10990,3.932
11,30,8,52.7327,10920,3.885
12,30,8,40.7933,10822,4.166
13,30,8,109.208,15260,5.535
14,30,8,2954.96,88298,31.535
15,30,8,2464.09,151144,53.198
16,30,8,2.95987,205142,83.059
17,30,8,72.659,22694,8.019
18,30,8,72.52,42728,15.442
19,30,8,5.16368,21462,7.714
20,30,8,15,280,0.096
21,30,8,300,21980,8.251
22,30,8,4388.76,69846,25.691
23,30,8,4164.48,103810,38.421
24,30,8,224.737,32326,17.426
25,30,8,265.997,37786,20.333
26,30,8,135.819,14672,8.095
27,30,8,691.821,37772,20.426
28,30,8,300,37716,15.011
1,30,9,3.46743e-15,7798,2.758
2,30,9,2.45665e-15,44520,15.427
3,30,9,0.000539508,205142,70.563
4,30,9,5.9317e-15,44030,15.826
5,30,9,4.50161e-12,98868,32.884
6,30,9,4.88911e-15,40600,14.396
7,30,9,5.55144,190862,67.518
8,30,9,20.8748,205142,73.673
9,30,9,16.3617,32256,16.677
10,30,9,3.33067e-15,10962,3.934
11,30,9,48.7529,11410,4.277
12,30,9,46.763,11046,4.022
13,30,9,133.351,13804,4.994
14,30,9,2411.6,205142,70.655
15,30,9,2155.06,107786,38.2
16,30,9,0.279949,205142,83.666
17,30,9,71.5541,16940,5.984
18,30,9,78.0925,21168,7.794
19,30,9,3.46854,23646,8.274
20,30,9,15,280,0.097
21,30,9,300,22918,8.818
22,30,9,3161.44,81998,30.011
23,30,9,3137.64,89880,33.635
24,30,9,135.291,25060,13.443
25,30,9,283.514,51520,27.719
26,30,9,323.414,46270,25.176
27,30,9,667.038,32578,17.857
28,30,9,300,39844,15.609
1,30,10,2.12365e-15,7896,2.998
2,30,10,1.33815e-15,45794,15.92
3,30,10,0.00311873,205142,71.109
4,30,10,8.43024e-15,45738,16.333
5,30,10,4.54165e-12,97818,32.184
6,30,10,8.93617e-15,39928,14.186
7,30,10,16.5562,83860,30.191
8,30,10,20.9936,205142,74.086
9,30,10,17.3029,47698,24.228
10,30,10,0.0246444,11200,4.008
11,30,10,34.8235,11186,4.179
12,30,10,51.7378,11984,4.371
13,30,10,164.696,16058,5.852
14,30,10,3455.78,78176,27.883
15,30,10,2756.94,23520,8.633
16,30,10,0.0307141,142310,56.92
17,30,10,67.0907,16842,6.128
