Function,Dimension,Run,Error,Evals,Time
1,30,1,2.26266e-15,7728,2.739
2,30,1,3.09722e-15,50260,17.382
3,30,1,6.0901e-08,182448,64.201
4,30,1,3.69806e-15,47278,16.997
5,30,1,5.68657e-10,86548,28.723
6,30,1,8.57003e-15,38808,13.752
7,30,1,13.1007,56602,20.77
8,30,1,20.9748,205142,72.979
9,30,1,11.5743,35126,18.03
10,30,1,0.0123161,11718,4.192
11,30,1,47.758,10276,3.664
12,30,1,48.7529,11102,4.053
13,30,1,89.9549,16646,6.253
14,30,1,2546.67,205142,70.558
15,30,1,1592.72,146342,51.811
16,30,1,2.6396,205142,82.779
17,30,1,65.6382,19488,7.064
18,30,1,89.54,21196,7.567
19,30,1,4.09621,26628,9.435
20,30,1,15,280,0.097
21,30,1,300,22918,8.599
22,30,1,4477.11,79044,28.783
23,30,1,4284.7,97538,36.669
24,30,1,229.701,31892,16.98
25,30,1,251.225,35966,19.502
26,30,1,336.805,37828,20.687
27,30,1,451.46,34328,18.748
28,30,1,300,30898,12.308
1,30,2,2.60729e-15,7868,2.779
2,30,2,5.7499e-15,45920,15.918
3,30,2,7.78245e-06,205142,71.796
4,30,2,1.42275e-14,48314,17.338
5,30,2,1.94062e-12,97538,32.118
6,30,2,4.35241e-15,40488,14.368
7,30,2,10.032,90076,32.384
8,30,2,20.9543,205142,73.349
9,30,2,13.8603,30954,15.969
10,30,2,0.0493061,10724,3.847
11,30,2,42.7832,10010,3.778
12,30,2,32.8336,9996,3.649
13,30,2,199.185,14532,5.254
14,30,2,4133.25,143486,50.743
15,30,2,2380.14,202538,70.312
16,30,2,0.0614488,205142,82.586
17,30,2,74.9332,16394,5.979
18,30,2,64.6604,18648,6.693
19,30,2,2.91904,25228,9
20,30,2,15,280,0.096
21,30,2,300,18494,6.94
22,30,2,3234.51,205142,72.774
23,30,2,5442.93,85974,32.111
24,30,2,239.85,39606,21.137
25,30,2,262.605,48384,25.828
26,30,2,315.934,34230,18.722
27,30,2,634.356,38234,20.662
28,30,2,100,33474,13.367
1,30,3,3.2562e-15,7826,2.755
2,30,3,3.48598e-15,54362,18.829
3,30,3,1.85949e-06,205142,71.321
4,30,3,4.93031e-15,31794,11.422
5,30,3,5.89865e-12,95088,31.468
6,30,3,5.58019e-15,39340,13.931
7,30,3,6.37515,205142,72.505
8,30,3,20.9357,205142,73.661
9,30,3,15.1886,35630,18.353
10,30,3,0.00739604,11088,3.962
11,30,3,27.8588,10444,3.921
12,30,3,53.7277,12334,4.489
13,30,3,163.814,15806,5.713
14,30,3,2683.86,46382,16.563
15,30,3,2699.08,205142,72.095
16,30,3,0.191958,205142,83.287
17,30,3,79.7721,20734,7.499
18,30,3,95.8234,18270,6.558
19,30,3,3.13679,51128,17.705
20,30,3,15,280,0.097
21,30,3,300,19012,7.335
22,30,3,3668.14,205142,72.658
23,30,3,4791.56,100618,37.643
24,30,3,250.925,31808,17.311
25,30,3,263.671,29498,15.975
26,30,3,313.786,37128,20.247
27,30,3,669.518,33194,17.87
28,30,3,300,22708,9.082
1,30,4,2.89236e-15,7854,2.767
2,30,4,1.5131e-15,47488,16.484
3,30,4,69.3763,205142,70.097
4,30,4,2.69172e-15,35980,12.93
5,30,4,3.52376e-12,99218,32.762
6,30,4,26.4074,21728,7.884
7,30,4,12.2378,49322,17.993
8,30,4,20.9761,205142,73.779
9,30,4,13.4905,29484,15.283
10,30,4,0.0320356,10976,3.927
11,30,4,42.7832,10752,3.84
12,30,4,53.4735,13440,5.093
13,30,4,126.605,13650,4.95
14,30,4,2813.95,205142,70.745
15,30,4,3076.77,95256,33.9
16,30,4,0.105548,205142,83.206
17,30,4,98.9106,18368,6.465
18,30,4,68.153,22344,8.195
19,30,4,2.6545,24612,8.763
20,30,4,15,280,0.096
21,30,4,300,24360,9.149
22,30,4,4907.53,71176,26.143
23,30,4,5452.56,94038,34.945
24,30,4,135.039,21042,11.545
25,30,4,260.408,38304,20.628
26,30,4,324.877,36386,19.764
27,30,4,615.948,39676,21.485
28,30,4,300,41636,16.499
1,30,5,2.10118e-15,7994,3.028
2,30,5,1.6119e-15,45402,15.719
3,30,5,2.55132e-05,205142,71.742
4,30,5,2.08505e-15,61082,21.778
5,30,5,2.46903e-12,95228,31.362
6,30,5,7.42978e-15,40082,14.187
7,30,5,28.0206,135380,48.299
8,30,5,20.9874,205142,72.37
9,30,5,17.0622,31640,16.366
10,30,5,0.0271254,11424,4.284
