Function,Dimension,Run,Error,Evals,Time
1,30,1,6.78841e-15,9156,3.254
2,30,1,9.51535e-14,88312,30.436
3,30,1,0.00892281,205142,70.749
4,30,1,73643.1,50960,18.211
5,30,1,3.33065e-12,99064,32.832
6,30,1,26.4074,16002,5.692
7,30,1,5.3971,123466,43.499
8,30,1,21.0576,43960,16.077
9,30,1,6.84666,52822,26.814
10,30,1,0.00739604,13356,4.793
11,30,1,43.7137,22834,8.184
12,30,1,66.6622,161112,57.838
13,30,1,116.907,76986,27.837
14,30,1,2222.18,104776,36.628
15,30,1,7453.32,51898,18.858
16,30,1,2.80292,54782,22.542
17,30,1,221.048,147518,51.16
18,30,1,218.952,37982,13.569
19,30,1,2.3387,64302,22.06
20,30,1,15,280,0.096
21,30,1,300,23114,8.605
22,30,1,8481.24,59402,22.212
23,30,1,8298.23,46172,17.61
24,30,1,124.237,37338,20.092
25,30,1,256.203,67340,35.72
26,30,1,323.486,45808,24.702
27,30,1,621.345,75852,40.761
28,30,1,100,42938,16.707
1,30,2,3.72471e-15,7882,2.749
2,30,2,3.15583e-13,82054,27.933
3,30,2,61.3224,205142,69.693
4,30,2,5.04985e-15,39004,13.667
5,30,2,2.96455e-09,96138,31.28
6,30,2,26.4074,13916,4.877
7,30,2,24.7624,205142,72.158
8,30,2,21.0036,205142,71.298
9,30,2,18.7197,39032,19.725
10,30,2,0.012321,10906,3.844
11,30,2,38.8034,9086,3.209
12,30,2,29.8487,10276,3.704
13,30,2,89.6228,11690,4.194
14,30,2,2776.24,113386,38.672
15,30,2,3024.99,36050,12.748
16,30,2,0.0574663,33068,13.282
17,30,2,88.2262,19194,6.718
18,30,2,63.8838,15428,5.459
19,30,2,4.38519,26768,9.185
20,30,2,15,280,0.097
21,30,2,300,18032,6.672
22,30,2,4474.23,48622,17.601
23,30,2,6073.02,93996,34.314
24,30,2,213.986,27916,14.748
25,30,2,257.529,39914,21.136
26,30,2,333.508,35994,19.263
27,30,2,406.562,31626,16.866
28,30,2,1402.52,205142,76.516
1,30,3,9.31366e-16,6916,2.42
2,30,3,4.8157e-14,68068,23.19
3,30,3,1824.01,205142,69.152
4,30,3,2.46535e-15,51002,17.849
5,30,3,8.02992e-12,110852,35.821
6,30,3,1.05979e-14,32340,11.259
7,30,3,15.1964,205142,70.031
8,30,3,20.2535,91658,31.527
9,30,3,16.6717,38542,19.501
10,30,3,0.00986467,10640,3.774
11,30,3,68.652,9506,3.366
12,30,3,76.6117,8904,3.214
13,30,3,143.27,10584,3.818
14,30,3,3463.23,84098,29.322
15,30,3,2705.74,26068,9.305
16,30,3,0.0696077,31864,12.826
17,30,3,88.1857,14196,4.978
18,30,3,80.7889,15974,5.699
19,30,3,3.12323,25270,8.731
20,30,3,15,280,0.096
21,30,3,443.544,7280,2.692
22,30,3,3110.4,83482,29.766
23,30,3,5224.29,128016,46.074
24,30,3,229.808,31556,16.733
25,30,3,204.782,32746,17.415
26,30,3,328.755,29806,16.041
27,30,3,488.7,40838,21.772
28,30,3,100,16352,6.336
1,30,4,1.22575e-14,12796,4.564
2,30,4,2.3943e+08,1792,0.632
3,30,4,6.91596e+10,2954,1.063
4,30,4,70254,21994,7.955
5,30,4,2978.41,2044,0.721
6,30,4,1.30169e-13,47628,16.599
7,30,4,98.8964,9044,3.342
8,30,4,21.0739,21042,7.752
9,30,4,40.6358,21280,11.204
10,30,4,0.00739604,18382,6.596
11,30,4,246.826,11732,4.189
12,30,4,230.218,8582,3.13
13,30,4,223.474,14462,5.283
14,30,4,8041.8,19950,7.234
15,30,4,8492.54,20510,7.499
16,30,4,2.81851,20160,8.37
17,30,4,271.14,9128,3.235
18,30,4,272.203,6846,2.465
19,30,4,17.5474,28966,10.276
20,30,4,15,280,0.096
21,30,4,300,34132,12.796
22,30,4,9050.65,22582,8.496
23,30,4,8483.32,21672,8.33
24,30,4,313.419,3262,1.777
25,30,4,312.378,9114,4.978
26,30,4,217.136,3262,1.806
27,30,4,1275.02,1764,0.963
28,30,4,300,33740,13.195
1,30,5,3.00597e-14,14252,5.086
2,30,5,1.94943e+08,840,0.293
3,30,5,1.13712e+11,1204,0.427
4,30,5,65230.1,2422,0.858
5,30,5,6562.55,1358,0.473
6,30,5,1.21724e-13,89586,31.702
7,30,5,252.934,1694,0.619
8,30,5,21.1697,8666,3.196
9,30,5,43.2675,8946,4.705
10,30,5,2754.2,756,0.265
11,30,5,387.917,2240,0.797
12,30,5,271.564,4312,1.573
13,30,5,533.387,770,0.275
14,30,5,7971.73,8498,3.087
15,30,5,8073.18,8330,3.048
16,30,5,4.21092,9366,3.882
17,30,5,296.418,8148,2.899
18,30,5,303.539,8484,3.062
19,30,5,12805.1,2296,0.813
20,30,5,15,280,0.096
21,30,5,200,33474,12.671
22,30,5,8476.69,8624,3.247
23,30,5,8760.24,8372,3.21
24,30,5,321.607,2100,1.143
25,30,5,347.233,1764,0.957
26,30,5,406.681,1162,0.638
27,30,5,1288.75,1036,0.562
28,30,5,300,40432,15.993
1,30,6,3.87787e-15,9296,3.29
2,30,6,6.1899e-13,168882,57.413
3,30,6,8493.21,81326,28.746
