Function,Dimension,Run,Error,Evals,Time
1,30,1,1.47345e-15,7868,2.775
2,30,1,6.19395e-15,45458,15.512
3,30,1,1.86175e-10,124866,43.556
4,30,1,1.2875e-14,31528,11.083
5,30,1,3.45228e-10,90384,29.371
6,30,1,4.05859e-15,41902,14.552
7,30,1,9.40243,175588,60.745
8,30,1,20.9913,205142,71.91
9,30,1,19.3685,39228,19.83
10,30,1,0.0246371,10570,3.759
11,30,1,69.6468,9828,3.479
12,30,1,29.8488,11424,4.139
13,30,1,94.9438,12432,4.475
14,30,1,4298.77,78288,27.366
15,30,1,2751,112504,39.507
16,30,1,2.05237,205142,81.686
17,30,1,83.9807,18466,6.455
18,30,1,62.7217,49182,17.426
19,30,1,2.4926,27160,9.378
20,30,1,15,280,0.096
21,30,1,443.544,8036,2.976
22,30,1,2438.95,205142,71.669
23,30,1,4968.03,121002,43.918
24,30,1,237.761,38808,20.609
25,30,1,205.849,34202,18.154
26,30,1,336.709,32256,17.331
27,30,1,619.626,37562,20.063
28,30,1,300,44366,17.184
1,30,2,1.85177e-15,8008,2.812
2,30,2,3.68305e-15,51086,17.426
3,30,2,2.75789e-10,120442,41.63
4,30,2,1.31058e-14,36652,12.959
5,30,2,8.04653e-12,93646,30.391
6,30,2,5.22028e-15,38500,13.338
7,30,2,9.57423,205142,69.489
8,30,2,20.9137,145964,52.051
9,30,2,14.7872,49112,24.804
10,30,2,0.0271057,11648,4.128
11,30,2,39.7983,10948,3.876
12,30,2,45.768,10486,3.796
13,30,2,119.352,15554,5.596
14,30,2,3977.26,39788,13.992
15,30,2,3475.11,77644,27.428
16,30,2,2.67323,160972,64.554
17,30,2,74.1274,17710,6.211
18,30,2,71.3851,49938,17.66
19,30,2,3.32686,22806,7.954
20,30,2,15,280,0.096
21,30,2,300,18578,6.911
22,30,2,4279.23,121128,42.806
23,30,2,5073.76,78554,29.039
24,30,2,182.222,29652,15.851
25,30,2,252.229,34580,18.376
26,30,2,343.457,51786,27.708
27,30,2,508.039,39578,21.089
28,30,2,300,38374,14.884
1,30,3,1.77541e-15,7700,2.702
2,30,3,7.61171e-15,50498,17.252
3,30,3,7.37696e-12,172298,59.44
4,30,3,2.80271e-15,31878,11.2
5,30,3,2.91649e-11,90902,29.409
6,30,3,6.78638e-15,39914,13.9
7,30,3,19.0786,67256,23.625
8,30,3,20.9637,205142,72.547
9,30,3,16.7377,43316,21.855
10,30,3,2.77556e-15,11914,4.232
11,30,3,86.5611,11172,3.956
12,30,3,55.7176,11816,4.29
13,30,3,125.95,13202,4.761
14,30,3,4081.92,69944,24.29
15,30,3,2497.7,205142,69.906
16,30,3,2.5777,205142,82.121
17,30,3,80.9562,20202,7.077
18,30,3,89.3328,34244,12.163
19,30,3,3.32393,22442,7.75
20,30,3,15,280,0.096
21,30,3,300,21224,7.916
22,30,3,4226.24,87584,31.577
23,30,3,4343.83,205142,73.067
24,30,3,165.271,28182,15.082
25,30,3,259.558,36428,19.464
26,30,3,335.204,35224,18.957
27,30,3,644.749,38500,20.476
28,30,3,100,40376,15.681
1,30,4,1.87541e-15,8036,2.822
2,30,4,6.50241e-15,49252,16.778
3,30,4,0.00016561,205142,69.388
4,30,4,4.51977e-15,32872,11.563
5,30,4,3.20399e-12,100562,32.485
6,30,4,26.4074,12572,4.437
7,30,4,17.1371,151074,52.46
8,30,4,20.9129,205142,72.324
9,30,4,14.3738,64526,32.361
10,30,4,0.0246371,10598,3.771
11,30,4,52.7327,10374,3.684
12,30,4,39.7983,11760,4.237
13,30,4,81.3494,14336,5.157
14,30,4,3330.52,76664,27.045
15,30,4,2391.68,205142,69.667
16,30,4,0.113457,38976,15.746
17,30,4,86.9154,20804,7.303
18,30,4,58.7447,47866,16.9
19,30,4,2.17234,26726,9.228
20,30,4,15,280,0.095
21,30,4,300,21980,8.173
22,30,4,4886.92,98560,34.977
23,30,4,4971.59,105098,37.885
24,30,4,239.54,43302,22.92
25,30,4,258.958,40208,21.443
26,30,4,313.508,29834,16.033
27,30,4,613.989,33782,17.964
28,30,4,300,18662,7.238
1,30,5,2.51785e-15,7504,2.641
2,30,5,2.30785e-15,47614,16.281
3,30,5,3.81103e-12,193536,66.616
4,30,5,1.09604e-14,42798,15.121
5,30,5,3.40893e-12,96236,31.166
6,30,5,7.58964e-15,38010,13.218
7,30,5,23.8212,99036,34.326
8,30,5,20.9047,205142,72.068
9,30,5,18.63,38640,19.499
10,30,5,0.00986467,11592,4.105
11,30,5,35.8185,10458,3.707
12,30,5,30.8437,11312,4.094
13,30,5,166.648,15134,5.457
14,30,5,1828.29,57722,20.161
15,30,5,3446.51,69692,24.316
16,30,5,0.0614189,205142,82.205
17,30,5,90.9158,18004,6.323
18,30,5,86.5104,18368,6.535
19,30,5,5.18614,31920,11.052
20,30,5,15,280,0.096
21,30,5,300,18158,6.754
22,30,5,3044.55,69440,24.991
23,30,5,4154.21,205142,74.148
24,30,5,136.7,23058,12.408
25,30,5,271.82,42560,22.714
26,30,5,331.549,34734,18.653
27,30,5,467.504,29610,15.823
28,30,5,100,29890,11.614
1,30,6,2.80597e-15,7784,2.734
2,30,6,2.02095e-15,52752,18.014
3,30,6,7.53153e-05,205142,70.02
4,30,6,8.15042e-15,31234,10.995
5,30,6,2.17393e-12,99484,32.118
6,30,6,1.39542e-14,37198,12.941
7,30,6,9.1955,100170,35.104
8,30,6,20.9659,205142,71.667
9,30,6,13.1601,28084,14.333
10,30,6,3.9968e-15,10906,3.877
11,30,6,61.6874,10080,3.602
