Function,Dimension,Run,Error,Evals,Time
1,30,1,1.47775e-15,7742,2.721
2,30,1,2.62042e-15,44646,15.078
3,30,1,778.447,205142,67.935
4,30,1,2.80621e-15,32536,11.414
5,30,1,4.45294e-09,79898,25.904
6,30,1,3.59384e-15,38178,13.224
7,30,1,9.0014,88200,30.761
8,30,1,21.0042,133616,46.4
9,30,1,17.7935,31822,16.084
10,30,1,0.0517354,10794,3.83
11,30,1,57.7075,10346,3.657
12,30,1,50.7428,9758,3.528
13,30,1,148.823,14728,5.267
14,30,1,2413.57,87906,30.411
15,30,1,2768.77,44086,15.491
16,30,1,0.155299,171234,66.948
17,30,1,61.8468,16590,5.779
18,30,1,78.6433,16310,5.788
19,30,1,2.86576,37814,12.866
20,30,1,15,280,0.095
21,30,1,443.544,7630,2.827
22,30,1,2235.7,57582,20.669
23,30,1,3929.51,65226,23.978
24,30,1,240.636,28546,15.159
25,30,1,262.953,34314,18.099
26,30,1,318.479,33614,18.044
27,30,1,534.01,25564,13.669
28,30,1,300,37996,14.736
1,30,2,3.62216e-15,7630,2.664
2,30,2,4.59977e-15,48734,16.552
3,30,2,4.20984e-12,158564,54.494
4,30,2,8.35081e-15,32774,11.452
5,30,2,1.14583e-11,97230,31.392
6,30,2,26.4074,13132,4.614
7,30,2,3.02259,49378,17.549
8,30,2,21.0027,205142,71.329
9,30,2,14.1691,31150,15.796
10,30,2,0.00739604,10766,3.798
11,30,2,54.7227,9772,3.444
12,30,2,70.5463,10738,3.875
13,30,2,108.814,11424,4.106
14,30,2,3150.08,18270,6.425
15,30,2,3243.39,26054,9.234
16,30,2,0.0294702,54656,21.716
17,30,2,71.5618,17626,6.111
18,30,2,84.1649,27692,9.778
19,30,2,3.61244,27762,9.528
20,30,2,15,280,0.095
21,30,2,300,21784,8.098
22,30,2,4282.91,16324,5.922
23,30,2,6194.29,95466,34.883
24,30,2,211.302,33376,17.615
25,30,2,203.13,31374,16.543
26,30,2,323.318,34594,18.456
27,30,2,524.856,33838,18
28,30,2,300,33292,12.878
1,30,3,1.88951e-15,7854,2.744
2,30,3,3.34893e-15,45108,15.207
3,30,3,0.000403786,205142,69.906
4,30,3,6.80898e-15,31122,10.844
5,30,3,1.15778e-11,98070,31.514
6,30,3,5.47003e-15,38402,13.29
7,30,3,19.7269,131684,45.245
8,30,3,20.9423,205142,70.083
9,30,3,14.944,33264,16.789
10,30,3,0.0838251,11242,3.961
11,30,3,45.7681,10906,3.833
12,30,3,46.763,11060,3.98
13,30,3,113.21,12824,4.626
14,30,3,3859.05,50484,17.578
15,30,3,3886.68,26474,9.38
16,30,3,0.0707362,133056,52.331
17,30,3,74.8904,18802,6.558
18,30,3,79.6257,20230,7.177
19,30,3,3.96284,20804,7.196
20,30,3,15,280,0.096
21,30,3,300,17864,6.635
22,30,3,3257.04,81074,29.066
23,30,3,6181.87,98238,35.44
24,30,3,227.899,31374,16.586
25,30,3,254.824,36904,19.443
26,30,3,331.571,30366,16.312
27,30,3,591.599,31220,16.649
28,30,3,300,18214,7.035
1,30,4,1.16508e-15,7196,2.505
2,30,4,1.79614e-15,41048,13.9
3,30,4,0.119594,205142,69.095
4,30,4,4.56519e-15,34216,11.968
5,30,4,8.00886e-11,91924,29.568
6,30,4,5.30364e-15,40544,14.052
7,30,4,15.0296,79688,28.057
8,30,4,20.8854,100436,34.795
9,30,4,13.5315,29862,15.164
10,30,4,0.00739604,10472,3.683
11,30,4,58.7025,8890,3.129
12,30,4,50.7428,9114,3.294
13,30,4,175.455,12180,4.399
14,30,4,3562.33,37296,13.025
15,30,4,2885.7,32508,11.441
16,30,4,0.0760284,185668,71.528
17,30,4,81.826,16688,5.824
18,30,4,96.0785,20342,7.232
19,30,4,3.36538,18494,6.439
20,30,4,15,280,0.096
21,30,4,443.544,7392,2.725
22,30,4,3660.77,65744,23.506
23,30,4,3143.17,167776,60.708
24,30,4,231.874,34314,18.147
25,30,4,240.468,30436,16.054
26,30,4,328.631,28546,15.352
27,30,4,639.822,30044,16.043
28,30,4,100,16828,6.53
1,30,5,1.31725e-15,7756,2.706
2,30,5,4.13142e-15,53634,18.061
3,30,5,0.058401,205142,68.574
4,30,5,4.65528e-15,32928,11.58
5,30,5,1.03277e-11,93674,30.154
6,30,5,6.27113e-15,38290,13.222
7,30,5,15.5986,48244,17.22
8,30,5,21.0566,139454,48.444
9,30,5,15.1672,31668,15.961
10,30,5,0.0123161,10416,3.675
11,30,5,29.8488,9758,3.437
12,30,5,50.7429,10192,3.68
13,30,5,91.9357,10206,3.672
14,30,5,3594.03,35532,12.4
15,30,5,3415.35,81452,28.74
16,30,5,0.0450972,134176,52.946
17,30,5,66.7309,16240,5.673
18,30,5,78.6932,17080,6.047
19,30,5,3.58093,25676,8.827
20,30,5,15,280,0.096
21,30,5,300,18018,6.693
22,30,5,3224.37,82320,29.468
23,30,5,5327.03,76244,27.877
24,30,5,233.68,29064,15.371
25,30,5,265.735,33964,17.913
26,30,5,319.676,30226,16.292
27,30,5,582.057,28056,14.971
28,30,5,300,30842,11.932
1,30,6,2.21535e-15,7938,2.779
2,30,6,6.21283e-15,46046,15.518
3,30,6,5.63146e-08,109844,37.951
4,30,6,1.4996e-14,32522,11.401
5,30,6,4.60255e-12,93730,30.256
6,30,6,7.07072e-15,39452,13.696
7,30,6,7.34422,81018,28.276
8,30,6,20.9116,205142,70.641
9,30,6,14.1697,34104,17.237
10,30,6,0.0295522,11368,4.025
11,30,6,34.8235,10906,3.853
12,30,6,59.2146,14028,5.041
13,30,6,78.6307,11984,4.324
14,30,6,3116.67,150052,50.447
15,30,6,2161.93,205142,68.956
16,30,6,0.373937,205142,81.564
17,30,6,54.4032,18830,6.578
18,30,6,78.5202,26404,9.355
19,30,6,3.76958,24766,8.522
20,30,6,15,280,0.096
21,30,6,300,21364,7.942
22,30,6,2869.07,205142,71.574
23,30,6,4745.59,89726,32.838
24,30,6,214.615,37716,19.901
25,30,6,261.683,40964,21.713
26,30,6,339.43,34706,18.65
27,30,6,646.022,39270,20.857
28,30,6,100,33796,13.145
1,30,7,1.05779e-15,7490,2.612
2,30,7,7.61146e-16,45710,15.486
3,30,7,0.0023682,205142,68.52
4,30,7,5.33538e-15,30156,10.46
5,30,7,1.76935e-10,94780,30.432
6,30,7,4.64638e-15,37296,12.858
7,30,7,16.9028,53970,19.336
8,30,7,21.0188,205142,70.872
9,30,7,15.0377,29624,15.008
10,30,7,0.0369556,11816,4.17
11,30,7,81.5864,11354,3.982
12,30,7,51.7378,11536,4.163
13,30,7,142.275,11844,4.259
14,30,7,4332.55,70350,24.34
15,30,7,3332.01,50876,17.822
16,30,7,0.0326192,138152,54.619
17,30,7,92.3317,15288,5.327
18,30,7,91.0657,26236,9.298
19,30,7,6.52549,18634,6.503
20,30,7,15,280,0.095
21,30,7,300,17766,6.608
22,30,7,3072.73,95088,33.752
23,30,7,2630.62,160104,58.295
24,30,7,141.844,21434,11.442
25,30,7,269.964,30940,16.415
26,30,7,325.344,28476,15.354
27,30,7,649.92,33502,17.864
28,30,7,300,35476,13.768
1,30,8,5.37469e-15,7910,2.774
2,30,8,3.85234e-15,45486,15.414
3,30,8,3.0743e-07,205142,69.409
4,30,8,1.52764e-14,31920,11.185
