Function,Dimension,Run,Error,Evals,Time
1,30,1,6.3399e-15,7812,2.764
2,30,1,2.32774e-15,49504,16.992
3,30,1,66.5214,205142,69.364
4,30,1,1.34573e-14,49882,17.71
5,30,1,1.80157e-12,102102,33.241
6,30,1,2.9278e-15,40166,14.02
7,30,1,16.1342,77602,27.611
8,30,1,21.0254,205142,72.796
9,30,1,13.9897,30954,15.872
10,30,1,0.012321,10780,3.839
11,30,1,58.7025,10542,3.74
12,30,1,59.1477,12082,4.444
13,30,1,124.616,12124,4.349
14,30,1,2640.3,82292,28.814
15,30,1,3027.5,205142,69.998
16,30,1,0.129243,205142,81.025
17,30,1,67.6518,21812,7.629
18,30,1,89.5966,24542,8.763
19,30,1,3.9635,22974,8.052
20,30,1,15,280,0.096
21,30,1,300,18466,6.855
22,30,1,2304.02,205142,71.465
23,30,1,4420.86,70658,26.3
24,30,1,230.613,31794,16.977
25,30,1,260.691,34258,18.253
26,30,1,319.919,32606,17.706
27,30,1,616.064,32508,17.444
28,30,1,100,39382,15.336
1,30,2,1.49325e-15,7896,2.774
2,30,2,2.00408e-15,54838,18.705
3,30,2,6184.15,205142,69.255
4,30,2,1.25252e-14,31388,10.993
5,30,2,1.71991e-12,99610,32.389
6,30,2,5.83468e-15,40642,14.236
7,30,2,11.9364,91938,32.546
8,30,2,20.9107,205142,71.611
9,30,2,12.7587,37674,19.235
10,30,2,0.00985728,11396,4.033
11,30,2,33.8286,9506,3.356
12,30,2,47.7579,12558,4.613
13,30,2,120.536,11634,4.184
14,30,2,2818.11,127120,43.713
15,30,2,2510.2,95102,33.679
16,30,2,0.0962473,205142,80.661
17,30,2,66.8098,18452,6.476
18,30,2,89.6911,25690,9.206
19,30,2,4.96336,24892,8.629
20,30,2,15,280,0.096
21,30,2,300,18620,6.982
22,30,2,4436.5,66738,24.206
23,30,2,5184.43,140140,50.59
24,30,2,233.44,35686,19.04
25,30,2,271.511,32732,17.476
26,30,2,329.998,28336,15.408
