Function,Dimension,Run,Error,Evals,Time
1,30,1,1.62959e-15,7616,2.653
2,30,1,2.32129e-15,50008,16.972
3,30,1,6.3903e-10,205142,69.686
4,30,1,4.75338e-15,30856,10.741
5,30,1,1.68091e-10,85134,27.392
6,30,1,3.47427e-15,39956,13.786
7,30,1,23.5987,197512,67.803
8,30,1,21.0005,188902,65.021
9,30,1,12.0429,32676,16.556
10,30,1,0.017241,10332,3.663
11,30,1,54.7226,9184,3.235
12,30,1,63.6773,10542,3.813
13,30,1,155.29,14602,5.253
14,30,1,3488.92,119112,40.009
15,30,1,3129.38,77084,27.19
16,30,1,0.137778,205142,79.23
17,30,1,71.9599,14658,5.098
18,30,1,57.9545,20062,7.097
19,30,1,3.11407,30184,10.279
20,30,1,15,280,0.095
21,30,1,443.544,7798,2.889
22,30,1,6895.01,95816,33.754
23,30,1,4976.12,192514,68.952
24,30,1,135.927,18186,9.754
25,30,1,254.293,39004,20.678
26,30,1,335.858,30394,16.432
27,30,1,701.112,29302,15.699
28,30,1,300,52976,20.605
1,30,2,1.4532e-15,7700,2.687
2,30,2,3.24997e-15,44758,15.144
3,30,2,0.017188,205142,69.135
4,30,2,3.63416e-15,36834,12.81
5,30,2,9.80043e-12,100352,32.09
6,30,2,7.26438e-15,38640,13.353
7,30,2,20.3858,64148,22.655
8,30,2,21.0153,205142,70.291
9,30,2,14.7639,28686,14.535
10,30,2,3.10862e-15,10850,3.824
11,30,2,51.7378,12110,4.257
12,30,2,47.758,9282,3.345
13,30,2,124.955,13636,4.887
14,30,2,3196.14,150122,50.782
15,30,2,2707.44,198240,68.905
16,30,2,0.0518229,88088,34.32
17,30,2,88.0881,15204,5.262
18,30,2,66.0914,23422,8.285
19,30,2,3.25442,23156,7.982
20,30,2,15,280,0.095
21,30,2,300,18494,6.879
22,30,2,4579.21,104524,36.888
23,30,2,5185.46,205142,73.308
24,30,2,169.166,18144,9.755
25,30,2,202.485,32634,17.292
26,30,2,332.848,47026,25.256
27,30,2,672.723,35840,19.079
28,30,2,300,53284,20.69
1,30,3,2.10979e-15,7896,2.759
2,30,3,1.7403e-15,43918,14.871
3,30,3,0.000470809,205142,69.736
4,30,3,4.86869e-15,49014,17.105
5,30,3,4.11178e-12,98294,31.699
6,30,3,4.10433e-15,37884,13.077
7,30,3,15.0589,130942,45.312
8,30,3,21.0227,205142,71.436
9,30,3,16.4179,33936,17.148
10,30,3,0.0123161,11662,4.106
11,30,3,54.7227,11298,3.973
12,30,3,48.7529,11074,4.001
13,30,3,130.682,16422,5.898
14,30,3,2607.67,32732,11.48
15,30,3,2970.61,98140,34.364
16,30,3,0.0269453,33964,13.654
17,30,3,58.766,22162,7.693
18,30,3,61.0504,56504,19.91
19,30,3,4.22647,28560,9.833
20,30,3,15,280,0.095
21,30,3,300,22554,8.39
22,30,3,2956.54,73906,26.367
23,30,3,4976.59,205142,72.839
24,30,3,227.781,29316,15.643
25,30,3,252.896,47558,25.035
26,30,3,332.082,30492,16.531
27,30,3,686.645,30408,16.213
28,30,3,300,18788,7.29
1,30,4,2.39552e-15,7756,2.712
2,30,4,1.35655e-15,46410,15.714
3,30,4,2.0724e-06,205142,69.775
4,30,4,8.76213e-15,51898,18.281
5,30,4,4.66854e-12,100212,32.092
6,30,4,26.4074,12334,4.322
7,30,4,9.35419,65940,23.295
8,30,4,20.9884,205142,71.943
9,30,4,15.4721,39046,19.649
10,30,4,0.00739604,11130,3.931
11,30,4,46.763,10318,3.627
12,30,4,41.7882,11676,4.211
13,30,4,173.131,14224,5.12
14,30,4,2331.52,48902,16.942
15,30,4,1984.41,205142,69.457
16,30,4,2.68331,205142,81.383
17,30,4,71.746,25788,8.968
18,30,4,74.764,41804,14.674
19,30,4,2.55513,23030,7.926
20,30,4,15,280,0.095
21,30,4,300,21826,8.118
22,30,4,5123.52,80038,28.283
23,30,4,5664.09,87052,31.742
24,30,4,150.323,40306,21.331
25,30,4,266.407,36722,19.631
26,30,4,347.003,39760,21.43
27,30,4,709.14,30912,16.552
28,30,4,300,37786,14.699
1,30,5,2.18622e-15,7994,2.782
2,30,5,2.23884e-15,46004,15.489
3,30,5,2.64871e-06,205142,69.385
4,30,5,7.36402e-15,31570,11.024
5,30,5,2.08636e-10,93758,30.276
6,30,5,8.12352e-15,38990,13.448
7,30,5,3.52678,205142,69.504
8,30,5,20.8956,205142,70.254
9,30,5,15.3849,35784,18.025
10,30,5,0.00986467,10696,3.778
11,30,5,41.7882,10332,3.618
12,30,5,40.7933,10948,3.953
13,30,5,156.544,14644,5.243
14,30,5,2747.74,79660,27.585
15,30,5,3703.54,60970,21.206
16,30,5,0.0466598,39410,15.725
17,30,5,93.8754,17934,6.224
18,30,5,78.2248,21126,7.477
19,30,5,2.54865,26796,9.218
20,30,5,15,280,0.095
21,30,5,443.544,7798,2.881
22,30,5,5214.06,83398,29.423
23,30,5,5507.28,99778,36.057
24,30,5,226.528,29568,15.704
25,30,5,277.438,33474,17.851
26,30,5,336.032,34034,18.294
27,30,5,578.278,33418,17.858
28,30,5,100,35532,13.799
1,30,6,2.65689e-15,7812,2.726
2,30,6,2.44545e-15,69720,23.545
3,30,6,0.757953,205142,67.651
4,30,6,4.51663e-15,31556,10.992
5,30,6,2.99012e-12,97972,31.513
6,30,6,4.83253e-15,38262,13.182
7,30,6,23.8841,43680,15.64
8,30,6,20.9067,205142,70.639
9,30,6,16.8738,50610,25.442
