Function,Dimension,Run,Error,Evals,Time
1,30,1,14193.9,1050,0.357
2,30,1,2.9517e+08,672,0.228
3,30,1,5.91026e+11,868,0.299
4,30,1,71022.8,1736,0.604
5,30,1,12638.8,616,0.206
6,30,1,1252.96,1526,0.526
7,30,1,1228.31,1092,0.387
8,30,1,21.1646,6272,2.286
9,30,1,43.591,5572,2.898
10,30,1,2358.97,1400,0.484
11,30,1,351.016,1064,0.363
12,30,1,409.888,1246,0.441
13,30,1,594.853,518,0.179
14,30,1,8624.95,5922,2.122
15,30,1,8032.8,5810,2.093
16,30,1,3.44153,5992,2.447
17,30,1,512.208,882,0.299
18,30,1,608.254,490,0.167
19,30,1,32286.6,1428,0.493
20,30,1,15,280,0.095
21,30,1,1469.6,2506,0.916
22,30,1,9322.34,5264,1.958
23,30,1,9126.75,5824,2.206
24,30,1,335.058,1246,0.667
25,30,1,345.685,798,0.425
26,30,1,398.479,1036,0.566
27,30,1,1514.59,1120,0.605
28,30,1,2770.23,1610,0.616
1,30,2,20566.8,490,0.163
2,30,2,7.28371e+08,714,0.244
3,30,2,7.33839e+11,882,0.305
4,30,2,79301.8,2156,0.762
5,30,2,6153.45,574,0.193
6,30,2,1541.67,476,0.161
7,30,2,3750.54,686,0.242
8,30,2,21.1677,3374,1.23
9,30,2,42.4752,3584,1.871
10,30,2,5341.49,518,0.176
11,30,2,471.863,504,0.171
12,30,2,593.426,980,0.346
13,30,2,524.741,952,0.334
14,30,2,8975.37,3388,1.216
15,30,2,8549.63,4088,1.478
16,30,2,4.46858,3598,1.475
17,30,2,548.305,728,0.246
18,30,2,645.49,616,0.211
19,30,2,32293.6,532,0.18
20,30,2,15,280,0.095
21,30,2,2227.31,868,0.311
22,30,2,9083.28,3318,1.229
23,30,2,9009.62,3766,1.429
24,30,2,350.731,784,0.418
25,30,2,376.424,574,0.305
26,30,2,408.045,602,0.326
27,30,2,1610.07,588,0.316
28,30,2,4219.18,868,0.329
1,30,3,29112.4,448,0.15
2,30,3,6.41806e+08,504,0.171
3,30,3,6.4977e+12,490,0.167
4,30,3,108581,3808,1.354
5,30,3,7250.94,476,0.159
6,30,3,4313.09,476,0.161
7,30,3,20850.6,588,0.208
8,30,3,20.9372,3934,1.441
9,30,3,41.7442,3668,1.919
10,30,3,3920.59,448,0.152
11,30,3,600.481,434,0.147
12,30,3,519.956,476,0.166
13,30,3,573.162,448,0.156
