Function,Dimension,Run,Error,Evals,Time
1,30,1,3.35532e-15,7644,2.648
2,30,1,2.16494e-15,44422,14.955
3,30,1,0.866358,205142,68.682
4,30,1,5.82505e-15,34538,12.013
5,30,1,1.80833e-12,103390,33.019
6,30,1,8.42506e-15,39256,13.511
7,30,1,46.8341,65492,23.08
8,30,1,20.9614,205142,72.045
9,30,1,13.0487,38556,19.387
10,30,1,0.00986467,11578,4.065
11,30,1,62.6823,12138,4.248
12,30,1,54.242,11396,4.077
13,30,1,97.5815,13188,4.714
14,30,1,2976.86,78190,26.996
15,30,1,3484.33,75964,26.625
16,30,1,2.56659,205142,81.456
17,30,1,60.595,23254,8.053
18,30,1,73.0871,58660,20.917
19,30,1,2.52597,20916,7.352
20,30,1,15,280,0.097
21,30,1,300,17962,6.8
22,30,1,2348.08,46074,16.839
23,30,1,4120.05,150878,56.095
24,30,1,243.285,37982,20.284
25,30,1,253.796,37282,20.08
26,30,1,335.064,37310,20.367
27,30,1,647.455,30324,16.467
28,30,1,100,35560,14.078
1,30,2,9.47145e-16,7994,2.832
2,30,2,3.20632e-15,45878,15.899
3,30,2,0.00477842,205142,70.736
4,30,2,3.75634e-15,44422,15.817
5,30,2,4.81993e-11,94528,31.193
6,30,2,4.54769e-15,36666,12.929
7,30,2,6.92672,72450,25.904
8,30,2,21.0049,205142,73.545
9,30,2,13.3145,32872,16.86
10,30,2,0.00986467,11802,4.256
11,30,2,43.7782,11914,4.281
12,30,2,66.6621,10332,3.811
13,30,2,135.754,12404,4.512
14,30,2,3567.97,20860,7.466
15,30,2,2216.37,205142,71.14
16,30,2,0.125615,205142,82.617
17,30,2,71.0312,22792,8.074
18,30,2,63.5128,44100,15.812
19,30,2,3.09473,27244,9.509
20,30,2,15,280,0.097
21,30,2,443.544,8302,3.126
22,30,2,3110.18,84014,30.953
23,30,2,5134.41,157934,57.664
24,30,2,230.743,36918,19.859
25,30,2,264.163,31010,16.641
26,30,2,324.855,36778,20.044
27,30,2,519.289,35854,19.366
28,30,2,300,41832,16.545
1,30,3,2.25333e-15,7658,2.722
2,30,3,2.788e-15,45360,15.655
3,30,3,0.994977,205142,69.691
4,30,3,5.09752e-15,32396,11.533
5,30,3,2.2593e-12,100114,32.99
6,30,3,3.89262e-15,40180,14.161
7,30,3,23.6106,46592,16.974
8,30,3,20.9968,205142,73.696
9,30,3,15.541,31192,15.975
10,30,3,0.00986467,11172,4.022
11,30,3,33.8286,10738,3.857
12,30,3,49.7479,12670,4.657
13,30,3,123.404,12642,4.626
14,30,3,3184.42,20958,7.488
15,30,3,3338.19,21518,7.76
16,30,3,2.50118,205142,83.015
17,30,3,56.0883,22876,8.115
18,30,3,95.9949,42238,15.189
19,30,3,4.17899,26474,9.289
20,30,3,15,280,0.097
21,30,3,300,24220,9.161
22,30,3,5309.6,87850,31.685
23,30,3,5901.32,130312,48.399
24,30,3,217.787,37422,20.075
25,30,3,250.398,32046,17.29
26,30,3,321.243,41090,22.446
27,30,3,674.48,32914,17.815
