Function,Dimension,Run,Error,Evals,Time
1,30,1,1.01904e-15,7756,2.706
2,30,1,3.24432e-15,45332,15.344
3,30,1,0.0850358,205142,69.588
4,30,1,1.07439e-14,41020,14.358
5,30,1,3.96819e-12,95228,30.74
6,30,1,6.06536e-15,39802,13.796
7,30,1,57.011,98518,34.794
8,30,1,20.9955,205142,72.074
9,30,1,14.9012,35882,18.26
10,30,1,1.33227e-15,11102,3.926
11,30,1,57.7075,10710,3.764
12,30,1,36.8134,10878,3.944
13,30,1,89.1501,12362,4.459
14,30,1,3373.77,102410,34.99
15,30,1,2715.81,106162,36.917
16,30,1,0.305677,205142,81.895
17,30,1,67.4697,16100,5.614
18,30,1,67.0049,20930,7.441
19,30,1,2.48316,29190,10.051
20,30,1,15,280,0.095
21,30,1,443.544,8162,3.043
22,30,1,2648.86,85176,30.459
23,30,1,5718.49,104202,37.788
24,30,1,238.301,43344,23.109
25,30,1,231.558,37968,20.21
26,30,1,331.056,32130,17.527
27,30,1,572.158,37590,20.193
28,30,1,100,31038,12.128
1,30,2,1.59886e-15,7966,2.777
2,30,2,2.73682e-15,44842,15.291
3,30,2,0.000358197,205142,69.398
4,30,2,7.71461e-15,31402,10.972
5,30,2,6.8723e-12,96054,31.042
6,30,2,26.4074,14196,4.994
7,30,2,9.56539,69384,24.498
8,30,2,20.93,205142,70.562
9,30,2,13.9215,30002,15.342
10,30,2,0.0295547,10892,3.868
11,30,2,50.7428,9744,3.435
12,30,2,51.7378,10486,3.801
13,30,2,104.162,13118,4.724
14,30,2,2428.89,17514,6.151
15,30,2,1999.9,125552,43.326
16,30,2,2.30772,205142,82.154
17,30,2,70.0031,21882,7.648
18,30,2,74.3763,23450,8.324
19,30,2,5.38437,22610,7.845
20,30,2,15,280,0.095
21,30,2,443.544,7756,2.879
22,30,2,1814.55,205142,71.685
23,30,2,4689.31,73780,27.125
24,30,2,208.191,32900,17.57
25,30,2,256.564,35224,18.906
26,30,2,336.381,48790,26.351
27,30,2,450.804,39648,21.294
28,30,2,300,18354,7.15
1,30,3,1.45077e-15,7658,2.672
2,30,3,3.27807e-15,44380,15.019
3,30,3,2.25441e-09,157598,54.413
4,30,3,4.10689e-15,32018,11.195
5,30,3,2.18941e-12,102228,32.88
6,30,3,5.5498e-15,40768,14.188
7,30,3,29.2199,161238,56.137
8,30,3,20.9192,205142,70.856
9,30,3,15.4056,28280,14.425
10,30,3,0.00986467,10878,3.857
11,30,3,42.7832,11494,4.037
12,30,3,39.7983,12166,4.379
13,30,3,65.1178,12726,4.58
14,30,3,2778.17,75544,26.298
15,30,3,2169.87,89320,31.144
16,30,3,0.221656,205142,81.353
17,30,3,71.5765,21518,7.518
18,30,3,84.3171,32326,11.457
19,30,3,3.31413,42658,14.493
20,30,3,15,280,0.101
21,30,3,300,21700,8.097
22,30,3,2953.04,137004,48.512
23,30,3,4569.99,89796,32.739
24,30,3,231.799,50288,26.71
25,30,3,263.399,36148,19.426
26,30,3,334.255,33446,18.136
27,30,3,667.518,40026,21.558
28,30,3,100,40082,15.631
1,30,4,1.71877e-15,7994,2.799
2,30,4,2.74465e-15,43764,14.842
3,30,4,6.85734e-05,205142,70.06
4,30,4,5.76949e-15,32606,11.408
5,30,4,4.69211e-11,89432,28.958
6,30,4,5.40253e-15,41174,14.274
7,30,4,7.13761,58310,20.793
8,30,4,20.995,205142,72.271
9,30,4,15.6447,51100,25.888
10,30,4,0.00739604,10864,3.838
11,30,4,64.6722,11270,3.985
12,30,4,42.7832,12838,4.623
13,30,4,103.338,11564,4.16
14,30,4,4004.11,80234,27.953
15,30,4,2659.66,83874,29.24
16,30,4,2.68805,205142,81.612
17,30,4,75.6853,16940,5.92
18,30,4,102.29,32116,11.398
19,30,4,2.34201,24710,8.516
20,30,4,15,280,0.095
21,30,4,300,20888,7.801
22,30,4,3981.4,205142,71.125
23,30,4,4206.38,81998,30.135
24,30,4,225.93,33656,17.944
25,30,4,253.339,37884,20.295
26,30,4,331.475,33516,18.205
27,30,4,636.076,28896,15.627
28,30,4,300,44128,17.16
1,30,5,3.2393e-15,7616,2.656
2,30,5,2.34441e-15,49770,16.861
3,30,5,0.00747492,205142,68.624
4,30,5,1.03027e-14,34328,12.015
5,30,5,2.66378e-12,97328,31.353
6,30,5,3.60428e-15,39676,13.756
7,30,5,47.6982,64330,22.863
8,30,5,20.9776,205142,71.933
9,30,5,8.58561,49854,25.166
