Function,Dimension,Run,Error,Evals,Time
1,30,1,2.41256e-15,7658,2.67
2,30,1,4.66197e-15,44422,14.983
3,30,1,0.216747,205142,68.684
4,30,1,6.14852e-15,31290,10.911
5,30,1,4.32987e-11,92428,29.72
6,30,1,6.00705e-15,38808,13.378
7,30,1,8.516,57232,20.293
8,30,1,20.9485,205142,71.632
9,30,1,15.3803,34412,17.26
10,30,1,0.0221857,11032,3.888
11,30,1,21.8891,10472,3.686
12,30,1,40.7933,11480,4.127
13,30,1,122.387,11592,4.123
14,30,1,3238.11,73080,25.349
15,30,1,4192.86,75446,26.5
16,30,1,0.0509532,71834,28.307
17,30,1,70.5615,23226,8.055
18,30,1,55.4507,21308,7.522
19,30,1,2.69662,22582,7.772
20,30,1,15,280,0.095
21,30,1,443.544,7840,2.881
22,30,1,4473.65,181874,63.222
23,30,1,3893.52,205142,72.666
24,30,1,243.491,34720,18.297
25,30,1,263.689,33376,17.602
26,30,1,333.336,37142,19.854
27,30,1,600.795,34664,18.404
28,30,1,300,18844,7.268
1,30,2,2.17394e-15,7560,2.644
2,30,2,9.4322e-16,43414,14.703
3,30,2,4.19061e-13,179914,61.503
4,30,2,7.07494e-15,32592,11.364
5,30,2,1.71872e-12,98434,31.633
6,30,2,3.08557e-15,36330,12.554
7,30,2,3.6189,40642,14.459
8,30,2,20.9872,205142,70.53
9,30,2,10.7654,31878,16.037
10,30,2,0.0443664,11074,3.902
11,30,2,33.8286,9730,3.426
12,30,2,66.6621,11900,4.265
13,30,2,128.608,14112,5.042
14,30,2,2418.34,56210,19.446
15,30,2,3274.99,92008,32.066
16,30,2,0.0718625,44702,17.631
17,30,2,75.7563,17682,6.164
18,30,2,65.8394,21644,7.642
19,30,2,2.85618,20636,7.09
20,30,2,15,280,0.095
21,30,2,443.544,7364,2.71
22,30,2,4395.94,69916,24.877
23,30,2,5024.22,128212,46.364
24,30,2,235.208,20692,10.999
25,30,2,210.789,29582,15.63
26,30,2,335.154,30786,16.456
27,30,2,664.46,27594,14.692
28,30,2,300,39452,15.188
1,30,3,2.16431e-15,7826,2.728
2,30,3,2.816e-15,50456,17.018
3,30,3,0.000196684,205142,68.626
4,30,3,7.0334e-15,46186,16.165
5,30,3,6.43238e-12,98602,31.714
6,30,3,5.92154e-15,36750,12.64
7,30,3,1.71451,58590,20.652
8,30,3,20.9505,205142,71.538
9,30,3,11.3726,33824,17.066
10,30,3,0.0320061,11284,3.976
11,30,3,47.7579,10542,3.704
12,30,3,73.6993,10948,3.931
13,30,3,71.4235,13664,4.862
14,30,3,3225.91,90818,31.314
15,30,3,2133.55,93534,32.819
16,30,3,2.88873,205142,81.276
17,30,3,83.1996,22834,7.926
18,30,3,73.5007,28014,9.863
19,30,3,2.29341,26614,9.081
20,30,3,15,280,0.095
21,30,3,443.544,8190,3.014
22,30,3,3212.76,205142,71.024
23,30,3,3221.87,72772,26.741
24,30,3,143.966,25662,13.637
25,30,3,262.291,69216,35.969
26,30,3,324.363,37674,20.098
27,30,3,634.914,44142,23.329
28,30,3,300,19152,7.394
1,30,4,2.3805e-15,7980,2.779
2,30,4,2.73932e-15,45150,15.202
3,30,4,0.00160782,205142,69.607
4,30,4,6.31439e-15,47558,16.557
5,30,4,4.82516e-12,95018,30.578
6,30,4,3.99108e-15,43036,14.864
7,30,4,4.57664,54614,19.335
8,30,4,20.9893,205142,71.828
