Function,Dimension,Run,Error,Evals,Time
1,30,1,2.93725e-15,7938,2.785
2,30,1,4.04839e-14,58604,19.802
3,30,1,0.00103668,205142,69.923
4,30,1,1.14122e-14,34104,11.856
5,30,1,4.85119e-12,120582,38.85
6,30,1,26.4074,13762,4.813
7,30,1,27.0796,205142,70.888
8,30,1,20.9809,74018,26.323
9,30,1,11.8461,32088,16.246
10,30,1,0.0271057,12558,4.434
11,30,1,103.475,10836,3.805
12,30,1,90.5406,11074,3.979
13,30,1,144.676,19474,6.908
14,30,1,3398.64,127764,43.184
15,30,1,2930.61,19124,6.755
16,30,1,2.77718,75712,30.472
17,30,1,103.765,25788,8.952
18,30,1,239.195,25536,8.99
19,30,1,5.80455,63462,21.413
20,30,1,15,280,0.095
21,30,1,300,18116,6.686
22,30,1,4135.2,107324,37.8
23,30,1,5225.34,21966,8.104
24,30,1,239.842,36106,19.157
25,30,1,271.483,41678,22.066
26,30,1,329.992,34076,18.255
27,30,1,667.833,38962,20.624
28,30,1,300,19768,7.617
1,30,2,2.62781e-15,7910,2.762
2,30,2,5.31495e-14,58198,19.573
3,30,2,0.133087,205142,69.25
4,30,2,6.71093e-15,34902,12.187
5,30,2,4.82656e-11,102620,33.471
6,30,2,8.982e-15,40740,14.026
7,30,2,26.2249,156702,54.004
8,30,2,21.0717,46438,16.723
9,30,2,20.4686,36960,18.652
10,30,2,0.0566505,12278,4.312
11,30,2,59.6975,12558,4.405
12,30,2,102.48,14112,5.065
13,30,2,105.125,13132,4.688
14,30,2,7692.53,51408,18.196
15,30,2,3590.04,20174,7.102
16,30,2,2.70333,60186,24.305
17,30,2,129.725,28644,9.945
18,30,2,245.969,28392,9.986
19,30,2,5.44297,33936,11.634
20,30,2,15,280,0.095
21,30,2,443.544,7812,2.866
22,30,2,4566.49,29162,10.504
23,30,2,4075.48,22652,8.341
24,30,2,242.233,46956,24.701
25,30,2,260.657,48496,25.444
26,30,2,347.719,37352,19.99
27,30,2,641.102,39424,20.876
28,30,2,300,34160,13.16
1,30,3,9.62263e-15,8666,3.027
2,30,3,2.64183e-14,54544,18.396
3,30,3,1.15515e-07,205142,69.496
4,30,3,60143.1,6104,2.151
5,30,3,6.74167e-12,101934,32.995
6,30,3,26.4074,13370,4.69
