Function,Dimension,Run,Error,Evals,Time
1,30,1,4.34346e-15,8358,2.894
2,30,1,385316,21420,7.451
3,30,1,3178.9,205142,68.103
4,30,1,64149.7,19096,6.558
5,30,1,1.36007e-06,205142,66.372
6,30,1,1.05528e-13,70252,23.85
7,30,1,44.7486,205142,70.253
8,30,1,20.9209,183288,61.682
9,30,1,19.144,51142,25.564
10,30,1,0.0517428,16212,5.641
11,30,1,95.5157,14896,5.172
12,30,1,122.379,16436,5.837
13,30,1,180.383,17822,6.304
14,30,1,3200.13,150668,50.843
15,30,1,3870.98,126714,43.907
16,30,1,2.57098,186326,71.302
17,30,1,269.238,4326,1.499
18,30,1,247.058,3724,1.31
19,30,1,12.4546,47964,16.235
20,30,1,15,280,0.095
21,30,1,100,19306,7.075
22,30,1,4128.39,104020,36.846
23,30,1,5907.42,114156,41.418
24,30,1,241.586,50638,26.393
25,30,1,271.13,60158,31.399
26,30,1,349.661,48944,25.883
27,30,1,756.637,48608,25.587
28,30,1,100,19474,7.451
1,30,2,2.89719e-15,7924,2.735
2,30,2,2.97607e-08,205142,68.112
3,30,2,2.10405e+06,100338,34.298
4,30,2,9.13086e-15,36176,12.428
5,30,2,4.77392e-12,135786,43.381
6,30,2,3.27611e-14,62062,21.18
7,30,2,34.3249,205142,69.69
8,30,2,20.985,205142,70.276
9,30,2,18.0932,45402,22.773
10,30,2,0.0541868,13776,4.797
11,30,2,107.455,12236,4.273
12,30,2,79.5964,13538,4.841
13,30,2,121.311,14224,5.047
14,30,2,3662.91,41398,14.263
15,30,2,2998.84,21042,7.38
16,30,2,0.501164,205142,80.356
17,30,2,129.332,28420,9.78
18,30,2,118.509,28546,9.981
19,30,2,6.58056,71848,24.128
20,30,2,15,280,0.095
21,30,2,443.544,8554,3.126
22,30,2,6535.61,112168,39.341
23,30,2,5913.2,184898,64.988
24,30,2,248.73,68684,35.806
25,30,2,251.27,74956,38.797
26,30,2,324.436,48104,25.623
27,30,2,646.513,43652,23.012
28,30,2,100,18088,6.942
1,30,3,6.60378e-15,9408,3.268
2,30,3,1.53601e-09,205142,67.975
3,30,3,1.81872e+06,60592,20.928
4,30,3,63265.7,21056,7.472
5,30,3,8.78115e-10,134050,43.205
6,30,3,9.52587e-14,80360,27.37
7,30,3,9.77643,205142,70.155
8,30,3,21.0647,21294,7.712
9,30,3,13.4659,51002,25.473
10,30,3,1.83187e-14,17528,6.086
11,30,3,244.584,11410,3.999
12,30,3,215.233,17234,6.19
13,30,3,223.548,9982,3.574
14,30,3,7782.26,21448,7.657
