Function,Dimension,Run,Error,Evals,Time
1,50,1,1.41096e-15,11520,10.378
2,50,1,4.89361e-15,110970,96.612
3,50,1,0.00426659,545475,473.599
4,50,1,4.14828e-14,78465,71.022
5,50,1,9.56954e-11,247860,200.151
6,50,1,43.4473,21990,19.882
7,50,1,18.6218,207060,186.14
8,50,1,20.968,545475,484.799
9,50,1,25.1616,54000,63.142
10,50,1,0.00985728,18810,17.19
11,50,1,105.465,16815,15.29
12,50,1,107.455,18030,16.857
13,50,1,279.009,22020,20.466
14,50,1,3936.2,202155,181.138
15,50,1,4538.58,44610,40.917
16,50,1,3.2817,545475,529.384
17,50,1,148.135,35625,32.145
18,50,1,126.733,52515,48.286
19,50,1,6.99788,53910,47.89
20,50,1,25,300,0.255
21,50,1,836.442,12945,12.31
22,50,1,6375.83,204150,185.535
23,50,1,7259,48120,45.419
24,50,1,253.564,58440,71.203
25,50,1,302.701,62220,75.945
26,50,1,200,124605,152.352
27,50,1,896.487,55710,68.722
28,50,1,400,23775,23.601
1,50,2,1.34675e-15,11850,10.762
2,50,2,1.92741e-15,112080,97.441
3,50,2,64.2157,545475,473.803
4,50,2,2.87104e-14,81510,73.738
5,50,2,9.78955e-11,258120,208.503
6,50,2,43.4473,14700,13.3
7,50,2,20.1786,82440,76.406
8,50,2,21.1262,545475,486.907
9,50,2,27.688,64845,75.276
10,50,2,0.00985728,17925,16.399
11,50,2,92.531,15795,14.296
12,50,2,73.6269,15360,14.374
13,50,2,210.632,25830,24.045
14,50,2,4967.51,101640,90.976
15,50,2,6434.12,205845,184.815
16,50,2,0.0527375,545475,530.679
17,50,2,160.73,38865,35.144
18,50,2,149.323,38145,35.107
19,50,2,7.22668,168570,147.055
20,50,2,22.3599,545475,472.605
21,50,2,836.442,12990,12.34
22,50,2,6415.8,226395,206.524
23,50,2,6859.78,46305,44.006
24,50,2,276.913,61650,75.014
25,50,2,309.702,84435,101.969
26,50,2,374.237,67740,83.862
27,50,2,831.797,57795,71.28
28,50,2,400,26775,26.56
1,50,3,9.07369e-16,11835,10.707
2,50,3,1.91481e-15,113535,98.729
3,50,3,33.9602,545475,463.97
4,50,3,1.86443e-14,85770,77.537
5,50,3,6.1306e-10,232980,188.882
6,50,3,43.4473,17430,15.728
7,50,3,17.3031,144135,132.377
8,50,3,21.0774,545475,488.154
9,50,3,20.9332,60600,70.46
10,50,3,0.00739604,18105,16.55
11,50,3,89.5461,15900,14.509
12,50,3,124.444,17100,15.876
13,50,3,249.595,21420,19.91
14,50,3,5160.97,66645,59.834
15,50,3,4280.52,242865,218.177
16,50,3,0.0802341,499005,476.904
17,50,3,156.26,37125,33.524
18,50,3,162.792,44865,41.276
19,50,3,4.60281,55695,49.378
20,50,3,25,300,0.255
21,50,3,836.442,12810,12.204
22,50,3,10393.6,320250,279.103
23,50,3,10478.2,240600,219.646
24,50,3,261.542,74700,90.409
25,50,3,303.738,89145,107.863
26,50,3,345.489,62220,76.918
27,50,3,1078.53,63540,78.032
28,50,3,400,30930,30.622
1,50,4,1.79675e-15,11685,10.535
2,50,4,2.19991e-15,110400,96.13
3,50,4,0.0014255,545475,474.07
4,50,4,1.80778e-14,89505,81.011
5,50,4,2.03768e-10,245430,198.298
6,50,4,49.1273,17145,15.506
7,50,4,25.9426,277200,244.886
8,50,4,21.0848,545475,486.345
9,50,4,23.7361,61365,71.535
10,50,4,0.00985728,18600,16.976
11,50,4,135.946,17955,16.24
12,50,4,93.6481,20160,18.655
13,50,4,265.503,26790,25.046
14,50,4,5049.13,205320,182.679
15,50,4,5028.99,184680,167.128
16,50,4,3.76011,545475,530.996
17,50,4,156.128,36060,32.578
18,50,4,444.749,14205,13.092
19,50,4,7.36755,39450,35.329
20,50,4,25,300,0.255
21,50,4,836.442,12435,11.847
22,50,4,9818.84,206715,186.434
23,50,4,7925.35,52095,49.043
24,50,4,272.638,59100,72.422
25,50,4,317.456,120165,145.475
26,50,4,364.677,62415,77.471
27,50,4,899.549,66615,81.66
28,50,4,400,25635,25.432
1,50,5,2.51161e-15,11640,10.483
2,50,5,4.0693e-15,109440,95.132
3,50,5,38.9732,545475,468.187
4,50,5,3.67331e-14,111270,100.624
5,50,5,3.67985e-10,244395,197.323
6,50,5,43.4473,19560,17.593
7,50,5,23.7702,115935,106.922
8,50,5,21.0539,545475,483.193
9,50,5,18.6962,69525,80.783
10,50,5,0.0172361,18540,16.873
11,50,5,102.481,15975,14.552
12,50,5,106.46,15075,14.078
13,50,5,175.247,19590,18.256
14,50,5,5336.91,246375,218.611
15,50,5,6582.86,280020,247.334
16,50,5,0.0637748,545475,521.49
17,50,5,147.512,28335,25.542
18,50,5,149.034,68805,62.988
19,50,5,6.59484,47400,42.416
20,50,5,25,300,0.255
21,50,5,836.442,12555,11.983
