Function,Dimension,Run,Error,Evals,Time
1,50,1,1.01937e-15,11595,10.451
2,50,1,2.14322e-15,124725,108.144
3,50,1,3.18484,545475,459.731
4,50,1,2.60114e-14,72645,65.676
5,50,1,5.50286e-10,240615,193.528
6,50,1,43.4473,17805,16.084
7,50,1,25.4838,136440,124.863
8,50,1,21.1,545475,488.185
9,50,1,30.2459,73170,84.342
10,50,1,4.32987e-15,18780,17.099
11,50,1,97.5058,17655,15.916
12,50,1,98.5008,17250,16.03
13,50,1,236.235,22350,20.79
14,50,1,5348.71,414765,360.369
15,50,1,4020.07,23610,21.646
16,50,1,0.0435437,545475,525.291
17,50,1,182.561,35880,32.322
18,50,1,155.534,50730,46.405
19,50,1,4.51926,49620,43.819
20,50,1,25,300,0.255
21,50,1,1122.19,151170,141.584
22,50,1,7322.6,209295,189.162
23,50,1,10677.6,350475,314.008
24,50,1,250.314,54825,66.81
25,50,1,320.115,82695,100.209
26,50,1,361.903,60135,74.219
27,50,1,900.356,71145,86.972
28,50,1,400,25725,25.431
1,50,2,1.03903e-15,11880,10.697
2,50,2,4.10682e-15,117180,101.497
3,50,2,6.02282e-05,545475,473.704
4,50,2,1.15522e-14,105735,95.735
5,50,2,2.48869e-10,244725,196.895
6,50,2,43.4473,22365,20.052
7,50,2,38.1824,117615,107.857
8,50,2,21.1178,545475,486.91
9,50,2,31.522,61290,71.07
10,50,2,0.017241,18375,16.728
11,50,2,112.43,16470,14.952
12,50,2,149.243,16245,15.15
13,50,2,237.42,26610,24.693
14,50,2,6051.29,390795,341.708
15,50,2,5027.64,241650,216.82
16,50,2,0.0465183,545475,519.739
17,50,2,143.073,27525,24.8
18,50,2,144.125,76635,69.872
19,50,2,7.33585,51375,45.612
20,50,2,23.6723,545475,464.452
21,50,2,836.442,13710,13.039
22,50,2,7528.13,201705,182.114
23,50,2,8699.92,202980,189.098
24,50,2,265.136,65925,79.998
25,50,2,322.449,83235,100.326
26,50,2,200,125475,152.928
27,50,2,1012.07,72075,87.785
28,50,2,400,26490,26.35
1,50,3,1.34352e-15,11865,10.705
2,50,3,3.67963e-15,111720,96.787
3,50,3,91685.4,223095,195.379
4,50,3,2.14602e-14,102975,93.342
5,50,3,1.95349e-10,250515,201.644
6,50,3,43.4473,17415,15.698
7,50,3,30.1789,455745,399.792
8,50,3,21.0944,545475,485.534
9,50,3,14.7188,56475,65.707
10,50,3,0.0246371,16995,15.49
11,50,3,97.5058,17580,15.946
12,50,3,81.5865,18915,17.567
13,50,3,272.3,22185,20.61
14,50,3,5241.57,295590,263.038
15,50,3,4960.04,221775,198.923
16,50,3,0.0668678,545475,520.551
17,50,3,121.517,27675,24.918
18,50,3,128.582,42930,39.252
19,50,3,6.78205,44415,39.722
20,50,3,24.3144,545475,468.196
21,50,3,836.442,12840,12.22
22,50,3,5365.15,236775,213.847
23,50,3,6950.66,414885,381.271
24,50,3,266.57,65565,79.571
25,50,3,311.775,73425,88.905
26,50,3,350.479,67860,83.736
27,50,3,1015.96,62220,76.493
28,50,3,400,26220,26.015
1,50,4,1.83697e-15,11775,10.613
2,50,4,1.63147e-15,124245,108.152
3,50,4,7701.03,545475,463.518
4,50,4,1.29528e-14,98925,89.814
5,50,4,2.54666e-10,231975,187.536
6,50,4,43.4473,19185,17.263
7,50,4,35.401,332130,294.904
8,50,4,21.1372,545475,485.826
9,50,4,26.4612,64485,75.032
10,50,4,0.00985728,18225,16.635
11,50,4,116.41,18540,16.718
12,50,4,90.5411,17550,16.358
13,50,4,190.551,22500,20.886
14,50,4,5317.77,253410,222.919
15,50,4,8061.66,358410,309.418
16,50,4,0.170152,545475,532.394
17,50,4,150.416,28605,25.72
18,50,4,129.574,88920,81.23
19,50,4,5.50636,47970,42.595
20,50,4,24.9999,300,0.254
21,50,4,1122.19,34290,32.608
22,50,4,7424.4,178635,162.471
23,50,4,8160.02,410655,375.342
24,50,4,261.533,59535,72.293
25,50,4,310.949,83535,100.867
26,50,4,357.326,58860,72.868
27,50,4,900.356,71145,86.948
28,50,4,400,25725,25.419
1,50,5,1.03903e-15,11880,10.695
2,50,5,4.10682e-15,117180,101.468
3,50,5,6.02282e-05,545475,473.758
4,50,5,1.15522e-14,105735,95.734
5,50,5,2.48869e-10,244725,196.876
6,50,5,43.4473,22365,20.05
7,50,5,38.1824,117615,107.96
8,50,5,21.1178,545475,487.202
9,50,5,31.522,61290,71.06
10,50,5,0.017241,18375,16.724
11,50,5,112.43,16470,14.948
12,50,5,149.243,16245,15.146
13,50,5,237.42,26610,24.687
14,50,5,6051.29,390795,341.789
15,50,5,5027.64,241650,216.656
16,50,5,0.0465183,545475,519.612
17,50,5,143.073,27525,24.803
18,50,5,144.125,76635,69.875
19,50,5,7.33585,51375,45.612
20,50,5,23.6723,545475,464.688
21,50,5,836.442,13710,13.04
22,50,5,7528.13,201705,182.082
23,50,5,8699.92,202980,189.106
24,50,5,265.136,65925,80.063
25,50,5,322.449,83235,100.348
26,50,5,200,125475,152.974
27,50,5,1012.07,72075,87.795
28,50,5,400,26490,26.335
1,50,6,1.34352e-15,11865,10.694
2,50,6,3.67963e-15,111720,96.787
3,50,6,91685.4,223095,195.383
4,50,6,2.14602e-14,102975,93.351
5,50,6,1.95349e-10,250515,201.539
6,50,6,43.4473,17415,15.694
7,50,6,30.1789,455745,399.77
8,50,6,21.0944,545475,485.534
9,50,6,14.7188,56475,65.72
10,50,6,0.0246371,16995,15.49
11,50,6,97.5058,17580,15.94
12,50,6,81.5865,18915,17.57
13,50,6,272.3,22185,20.613
14,50,6,5241.57,295590,263.062
15,50,6,4960.04,221775,198.878
16,50,6,0.0668678,545475,520.638
17,50,6,121.517,27675,24.908
18,50,6,128.582,42930,39.254
19,50,6,6.78205,44415,39.752
20,50,6,24.3144,545475,468.171
21,50,6,836.442,12840,12.214
22,50,6,5365.15,236775,213.729
23,50,6,6950.66,414885,381.024
24,50,6,266.57,65565,79.55
25,50,6,311.775,73425,88.902
26,50,6,350.479,67860,83.694
27,50,6,1015.96,62220,76.496
28,50,6,400,26220,26.02
1,50,7,1.83697e-15,11775,10.611
2,50,7,1.63147e-15,124245,108.138
3,50,7,7701.03,545475,463.613
4,50,7,1.29528e-14,98925,89.811
5,50,7,2.54666e-10,231975,187.528
6,50,7,43.4473,19185,17.26
7,50,7,35.401,332130,294.9
8,50,7,21.1372,545475,485.772
9,50,7,26.4612,64485,75.027
10,50,7,0.00985728,18225,16.633
11,50,7,116.41,18540,16.714
12,50,7,90.5411,17550,16.355
13,50,7,190.551,22500,20.864
14,50,7,5317.77,253410,222.978
15,50,7,8061.66,358410,309.406
16,50,7,0.170152,545475,532.462
17,50,7,150.416,28605,25.706
18,50,7,129.574,88920,81.223
19,50,7,5.50636,47970,42.586
20,50,7,24.9999,300,0.254
21,50,7,1122.19,34290,32.626
22,50,7,7424.4,178635,162.532
23,50,7,8160.02,410655,375.073
24,50,7,261.533,59535,72.257
25,50,7,310.949,83535,100.87
26,50,7,357.326,58860,72.876
27,50,7,900.356,71145,86.954
28,50,7,400,25725,25.412
1,50,8,1.03903e-15,11880,10.695
2,50,8,4.10682e-15,117180,101.49
3,50,8,6.02282e-05,545475,473.574
4,50,8,1.15522e-14,105735,95.69
5,50,8,2.48869e-10,244725,196.925
6,50,8,43.4473,22365,20.05
7,50,8,38.1824,117615,107.879
8,50,8,21.1178,545475,486.833
9,50,8,31.522,61290,71.036
10,50,8,0.017241,18375,16.723
11,50,8,112.43,16470,14.952
12,50,8,149.243,16245,15.144
13,50,8,237.42,26610,24.687
14,50,8,6051.29,390795,341.557
15,50,8,5027.64,241650,216.647
16,50,8,0.0465183,545475,519.771
17,50,8,143.073,27525,24.813
18,50,8,144.125,76635,69.88
19,50,8,7.33585,51375,45.626
20,50,8,23.6723,545475,464.376
21,50,8,836.442,13710,13.031
22,50,8,7528.13,201705,182.076
23,50,8,8699.92,202980,189.053
24,50,8,265.136,65925,79.973
25,50,8,322.449,83235,100.329
26,50,8,200,125475,152.922
27,50,8,1012.07,72075,87.776
28,50,8,400,26490,26.338
1,50,9,1.34352e-15,11865,10.698
2,50,9,3.67963e-15,111720,96.76
3,50,9,91685.4,223095,195.343
4,50,9,2.14602e-14,102975,93.34
5,50,9,1.95349e-10,250515,201.497
6,50,9,43.4473,17415,15.692
7,50,9,30.1789,455745,399.695
8,50,9,21.0944,545475,485.714
9,50,9,14.7188,56475,65.71
10,50,9,0.0246371,16995,15.493
11,50,9,97.5058,17580,15.941
12,50,9,81.5865,18915,17.563
13,50,9,272.3,22185,20.608
14,50,9,5241.57,295590,263.149
15,50,9,4960.04,221775,198.868
16,50,9,0.0668678,545475,520.585
17,50,9,121.517,27675,24.926
18,50,9,128.582,42930,39.274
19,50,9,6.78205,44415,39.728
20,50,9,24.3144,545475,468.465
21,50,9,836.442,12840,12.218
22,50,9,5365.15,236775,213.771
23,50,9,6950.66,414885,380.991
24,50,9,266.57,65565,79.567
25,50,9,311.775,73425,88.899
26,50,9,350.479,67860,83.759
27,50,9,1015.96,62220,76.578
28,50,9,400,26220,26.021
1,50,10,1.83697e-15,11775,10.608
2,50,10,1.63147e-15,124245,108.167
3,50,10,7701.03,545475,463.536
4,50,10,1.29528e-14,98925,89.829
5,50,10,2.54666e-10,231975,187.544
6,50,10,43.4473,19185,17.266
7,50,10,35.401,332130,294.929
8,50,10,21.1372,545475,485.798
9,50,10,26.4612,64485,75.037
10,50,10,0.00985728,18225,16.647
11,50,10,116.41,18540,16.723
12,50,10,90.5411,17550,16.364
13,50,10,190.551,22500,20.876
14,50,10,5317.77,253410,222.919
15,50,10,8061.66,358410,309.405
16,50,10,0.170152,545475,532.627
17,50,10,150.416,28605,25.715
18,50,10,129.574,88920,81.236
19,50,10,5.50636,47970,42.61
20,50,10,24.9999,300,0.254
21,50,10,1122.19,34290,32.631
22,50,10,7424.4,178635,162.537
23,50,10,8160.02,410655,375.064
24,50,10,261.533,59535,72.236
25,50,10,310.949,83535,100.885
26,50,10,357.326,58860,72.88
27,50,10,900.356,71145,86.951
28,50,10,400,25725,25.409
1,50,11,1.03903e-15,11880,10.695
2,50,11,4.10682e-15,117180,101.479
3,50,11,6.02282e-05,545475,473.516
4,50,11,1.15522e-14,105735,95.638
5,50,11,2.48869e-10,244725,196.86
6,50,11,43.4473,22365,20.046
7,50,11,38.1824,117615,107.872
8,50,11,21.1178,545475,486.874
9,50,11,31.522,61290,71.05
10,50,11,0.017241,18375,16.717
11,50,11,112.43,16470,14.946
12,50,11,149.243,16245,15.14
13,50,11,237.42,26610,24.681
14,50,11,6051.29,390795,341.529
15,50,11,5027.64,241650,216.806
16,50,11,0.0465183,545475,519.584
17,50,11,143.073,27525,24.81
18,50,11,144.125,76635,69.907
19,50,11,7.33585,51375,45.632
20,50,11,23.6723,545475,464.397
21,50,11,836.442,13710,13.037
22,50,11,7528.13,201705,182.08
23,50,11,8699.92,202980,189.098
24,50,11,265.136,65925,79.977
25,50,11,322.449,83235,100.313
26,50,11,200,125475,152.909
27,50,11,1012.07,72075,87.778
28,50,11,400,26490,26.341
1,50,12,1.34352e-15,11865,10.701
2,50,12,3.67963e-15,111720,96.766
3,50,12,91685.4,223095,195.409
4,50,12,2.14602e-14,102975,93.309
5,50,12,1.95349e-10,250515,201.525
6,50,12,43.4473,17415,15.687
7,50,12,30.1789,455745,399.749
8,50,12,21.0944,545475,485.435
9,50,12,14.7188,56475,65.713
10,50,12,0.0246371,16995,15.486
11,50,12,97.5058,17580,15.944
12,50,12,81.5865,18915,17.569
13,50,12,272.3,22185,20.615
14,50,12,5241.57,295590,263.232
15,50,12,4960.04,221775,198.879
16,50,12,0.0668678,545475,520.658
17,50,12,121.517,27675,24.916
18,50,12,128.582,42930,39.245
19,50,12,6.78205,44415,39.714
20,50,12,24.3144,545475,468.448
21,50,12,836.442,12840,12.213
22,50,12,5365.15,236775,213.745
23,50,12,6950.66,414885,381.037
24,50,12,266.57,65565,79.563
25,50,12,311.775,73425,88.916
26,50,12,350.479,67860,83.708
27,50,12,1015.96,62220,76.496
28,50,12,400,26220,26.011
1,50,13,1.83697e-15,11775,10.604
2,50,13,1.63147e-15,124245,108.125
3,50,13,7701.03,545475,463.505
4,50,13,1.29528e-14,98925,89.816
5,50,13,2.54666e-10,231975,187.553
6,50,13,43.4473,19185,17.274
7,50,13,35.401,332130,294.956
8,50,13,21.1372,545475,486.163
9,50,13,26.4612,64485,75.022
10,50,13,0.00985728,18225,16.63
11,50,13,116.41,18540,16.724
12,50,13,90.5411,17550,16.363
13,50,13,190.551,22500,20.875
14,50,13,5317.77,253410,222.937
15,50,13,8061.66,358410,309.408
16,50,13,0.170152,545475,532.089
17,50,13,150.416,28605,25.714
18,50,13,129.574,88920,81.205
19,50,13,5.50636,47970,42.588
20,50,13,24.9999,300,0.254
21,50,13,1122.19,34290,32.615
22,50,13,7424.4,178635,162.49
23,50,13,8160.02,410655,375.083
24,50,13,261.533,59535,72.237
25,50,13,310.949,83535,100.851
26,50,13,357.326,58860,72.855
27,50,13,900.356,71145,86.949
28,50,13,400,25725,25.411
1,50,14,1.03903e-15,11880,10.691
2,50,14,4.10682e-15,117180,101.46
3,50,14,6.02282e-05,545475,473.437
4,50,14,1.15522e-14,105735,95.691
5,50,14,2.48869e-10,244725,196.896
6,50,14,43.4473,22365,20.068
7,50,14,38.1824,117615,107.983
8,50,14,21.1178,545475,487.229
9,50,14,31.522,61290,71.036
10,50,14,0.017241,18375,16.719
11,50,14,112.43,16470,14.948
12,50,14,149.243,16245,15.142
13,50,14,237.42,26610,24.692
14,50,14,6051.29,390795,341.525
15,50,14,5027.64,241650,216.727
16,50,14,0.0465183,545475,519.928
17,50,14,143.073,27525,24.809
18,50,14,144.125,76635,69.906
19,50,14,7.33585,51375,45.631
20,50,14,23.6723,545475,464.431
21,50,14,836.442,13710,13.034
22,50,14,7528.13,201705,182.055
23,50,14,8699.92,202980,189.105
24,50,14,265.136,65925,80.008
25,50,14,322.449,83235,100.331
26,50,14,200,125475,152.936
27,50,14,1012.07,72075,87.775
28,50,14,400,26490,26.338
1,50,15,1.34352e-15,11865,10.695
2,50,15,3.67963e-15,111720,96.751
3,50,15,91685.4,223095,195.4
4,50,15,2.14602e-14,102975,93.322
5,50,15,1.95349e-10,250515,201.542
6,50,15,43.4473,17415,15.695
7,50,15,30.1789,455745,399.86
8,50,15,21.0944,545475,485.488
9,50,15,14.7188,56475,65.705
10,50,15,0.0246371,16995,15.487
11,50,15,97.5058,17580,15.938
12,50,15,81.5865,18915,17.565
13,50,15,272.3,22185,20.617
14,50,15,5241.57,295590,263.161
15,50,15,4960.04,221775,198.91
16,50,15,0.0668678,545475,520.615
