Function,Dimension,Run,Error,Evals,Time
1,50,1,1.70371e-15,11655,10.397
2,50,1,3.80029e-15,109560,95.3
3,50,1,0.014792,545475,471.006
4,50,1,1.49659e-14,85260,77.44
5,50,1,2.94039e-10,251445,203.069
6,50,1,43.4473,23430,21.129
7,50,1,28.0756,249600,223.96
8,50,1,21.1479,545475,482.749
9,50,1,24.6498,62745,73.084
10,50,1,0.0394291,17895,16.375
11,50,1,167.352,17790,16.003
12,50,1,126.359,17265,16.154
13,50,1,281.817,26700,24.884
14,50,1,4477.31,188640,169.03
15,50,1,5929.79,245685,217.655
16,50,1,0.0769039,545475,515.472
17,50,1,99.4713,32595,29.521
18,50,1,123.736,41595,38.021
19,50,1,5.24754,43500,38.763
20,50,1,25,300,0.254
21,50,1,836.442,12015,11.31
22,50,1,4462.42,545475,479.593
23,50,1,9992.51,299100,269.272
24,50,1,269.589,57675,70.797
25,50,1,315.906,88965,107.587
26,50,1,365.823,64035,79.375
27,50,1,924.984,60330,74.48
28,50,1,400,33690,33.245
1,50,2,8.49252e-16,11475,10.493
2,50,2,3.8571e-15,110850,96.186
3,50,2,5.93878e-06,545475,478.724
4,50,2,3.38669e-14,105570,95.916
5,50,2,2.14423e-10,245580,198.127
6,50,2,43.4473,19860,17.903
7,50,2,23.3646,303150,269.983
8,50,2,21.1455,545475,488.42
9,50,2,29.3902,58365,67.756
10,50,2,0.012321,17835,16.316
11,50,2,118.4,16410,14.982
12,50,2,69.647,22695,21.189
13,50,2,138.716,22440,20.685
14,50,2,4934.49,443655,386.812
15,50,2,5441.8,352560,310.684
16,50,2,2.8681,545475,530.874
17,50,2,160.592,25395,22.927
18,50,2,216.259,48315,44.32
19,50,2,8.0932,48330,43.015
20,50,2,22.6225,545475,466.459
21,50,2,836.442,12930,12.211
22,50,2,6780.58,188325,169.671
23,50,2,10361.4,318705,287.605
24,50,2,283.644,118365,142.67
25,50,2,303.164,108675,131.325
26,50,2,356.601,58200,72.355
27,50,2,785.116,66960,82.352
28,50,2,400,26760,26.535
1,50,3,1.6684e-15,11730,10.484
