Function,Dimension,Run,Error,Evals,Time
1,50,1,2.83796e-15,11685,10.429
2,50,1,2.20462e-15,110940,95.076
3,50,1,1.58089e-10,427800,371.655
4,50,1,1.44899e-14,84915,75.952
5,50,1,5.92429e-10,238200,190.187
6,50,1,43.4473,20475,18.143
7,50,1,31.8613,84090,76.378
8,50,1,21.175,545475,482.457
9,50,1,30.2425,61575,70.872
10,50,1,1.9984e-15,17670,16.105
11,50,1,71.637,17325,15.56
12,50,1,92.531,19275,17.687
13,50,1,224.119,22770,20.84
14,50,1,4328.38,190305,168.451
15,50,1,5371.65,235425,207.341
16,50,1,0.0930173,545475,520.225
17,50,1,119.678,35235,31.291
18,50,1,139.041,79470,71.615
19,50,1,5.20407,86580,75.519
20,50,1,25,300,0.251
21,50,1,1122.19,245370,223.68
22,50,1,7604.1,545475,473.566
23,50,1,9592.94,290430,259.124
24,50,1,252.106,55440,66.456
25,50,1,313.444,89325,106.641
26,50,1,345.464,72930,88.421
27,50,1,926.565,65310,78.589
28,50,1,3389.24,288960,273.597
1,50,2,1.48053e-15,11670,10.385
2,50,2,2.14384e-15,115980,99.219
3,50,2,7.62097e-11,522150,454.991
4,50,2,1.48452e-14,71235,63.533
5,50,2,1.3386e-10,245985,196.174
6,50,2,43.4473,20265,17.982
7,50,2,29.7433,119235,107.905
8,50,2,21.119,545475,480.419
9,50,2,20.4731,61035,70.147
10,50,2,0.0123161,18420,16.587
11,50,2,91.5361,15945,14.331
12,50,2,127.354,16440,15.111
13,50,2,196.355,25380,23.234
14,50,2,4810.58,275535,241.049
15,50,2,5439.42,206430,182.979
16,50,2,0.0540896,545475,526.448
17,50,2,164.823,28095,25.012
18,50,2,132.633,48900,44.12
19,50,2,4.64335,55635,48.29
20,50,2,24.9999,300,0.251
21,50,2,836.442,12630,11.81
22,50,2,7927.4,73665,66.934
23,50,2,10028.3,226845,206.167
24,50,2,254.519,60075,71.869
25,50,2,322.853,68400,82.066
26,50,2,348.727,65295,79.369
27,50,2,863.6,64200,77.436
28,50,2,400,26205,25.545
1,50,3,1.73101e-15,11775,10.504
2,50,3,2.27659e-15,109440,93.614
3,50,3,0.00199846,545475,466.162
4,50,3,1.19753e-14,76710,68.478
5,50,3,1.43971e-10,247875,197.441
6,50,3,43.4473,20400,18.276
7,50,3,26.3924,99075,90.188
8,50,3,21.1413,545475,480.513
9,50,3,26.6318,56010,64.526
10,50,3,0.00739604,18750,16.894
11,50,3,99.1324,17520,15.665
12,50,3,100.491,16875,15.486
13,50,3,219.996,21525,19.707
14,50,3,6061.68,221010,192.508
15,50,3,5694.24,262125,229.042
16,50,3,3.66178,545475,522.562
17,50,3,145.925,29115,25.959
18,50,3,168.695,32670,29.617
19,50,3,4.5592,55320,48.226
20,50,3,22.2285,533295,453.917
21,50,3,1122.19,232935,212.129
22,50,3,4363.7,226620,203.069
23,50,3,7258.2,168405,155.863
24,50,3,270.393,79860,95.276
25,50,3,306.957,74250,89.126
26,50,3,200,125475,151.047
27,50,3,871.972,61920,75.12
28,50,3,400,26655,25.949
1,50,4,1.3187e-15,12060,10.745
2,50,4,2.13418e-15,112680,96.896
3,50,4,0.0220445,545475,458.498
4,50,4,1.52214e-14,169620,152.273
5,50,4,7.31895e-10,241215,192.536
6,50,4,43.4473,21255,18.879
7,50,4,27.092,391710,342.241
8,50,4,20.9642,545475,481.967
9,50,4,29.7116,58035,66.818
10,50,4,0.0271057,17685,15.914
11,50,4,93.5259,16890,15.153
12,50,4,127.354,17010,15.604
13,50,4,279.057,22125,20.341
14,50,4,5149.83,284595,248.235
15,50,4,6917.36,266040,232.94
16,50,4,0.0874357,545475,520.379
17,50,4,203.531,28845,25.66
18,50,4,108.336,43035,39.023
19,50,4,7.7006,51570,45.583
20,50,4,20.7029,408450,351.212
21,50,4,1122.35,437805,394.28
22,50,4,6977.52,252180,226.001
23,50,4,8800.77,187335,172.25
24,50,4,271.866,63600,76.301
25,50,4,298.668,69825,83.897
26,50,4,378.414,63675,77.651
27,50,4,973.264,62625,76.011
28,50,4,400,22215,21.656
