Function,Dimension,Run,Error,Evals,Time
1,50,1,3.07617e-15,12105,10.912
2,50,1,6.78473e-15,121635,105.735
3,50,1,1.5835,244485,215.199
4,50,1,95531,86400,78.528
5,50,1,9.20984e-11,249255,201.933
6,50,1,43.4473,18675,16.771
7,50,1,25.0243,110610,100.84
8,50,1,21.1966,103890,96.06
9,50,1,25.9376,72960,84.545
10,50,1,0.0196777,18750,17.059
11,50,1,81.6327,20925,18.909
12,50,1,143.274,20475,19.008
13,50,1,193.993,27570,25.58
14,50,1,13650.8,102690,93.497
15,50,1,14958.4,102525,94.241
16,50,1,3.70338,95715,95.958
17,50,1,424.752,45030,40.606
18,50,1,460.196,117495,106.973
19,50,1,6.44135,65280,57.961
20,50,1,22.7109,66660,61.176
21,50,1,836.442,12915,12.224
22,50,1,14941.1,98340,91.653
23,50,1,15524.3,118170,112.105
24,50,1,274.21,74640,90.658
25,50,1,280.711,93795,113.098
26,50,1,339.809,68310,84.575
27,50,1,916.326,79200,96.597
28,50,1,400,27420,27.048
1,50,2,5.84235e-15,13290,11.995
2,50,2,8.5504e-15,119835,103.851
3,50,2,7.62068e-06,545475,475.548
4,50,2,107163,40530,36.975
5,50,2,5.72767e-11,271710,223.58
6,50,2,43.4473,20205,18.211
7,50,2,13.0033,543705,467.806
8,50,2,21.088,38190,35.442
9,50,2,21.3534,69555,81.057
10,50,2,0.0492471,20745,18.941
11,50,2,446.681,6210,5.598
12,50,2,448.897,7950,7.379
13,50,2,424.88,24630,22.894
14,50,2,14748.2,38250,35.011
15,50,2,15254.1,39885,36.702
16,50,2,4.35862,36750,36.885
17,50,2,477.135,15975,14.455
18,50,2,472.704,14310,13.147
19,50,2,33.8488,91170,82.604
20,50,2,25,300,0.253
21,50,2,1122.35,29085,27.677
22,50,2,15161.9,37620,35.196
23,50,2,16340.9,39510,37.783
24,50,2,260.953,76560,93.159
25,50,2,296.491,105075,127.322
26,50,2,352.793,75465,93.132
27,50,2,916.821,83250,101.672
28,50,2,400,28170,27.848
1,50,3,1.66292e-15,12135,10.95
2,50,3,3.3168e-15,110610,96.05
3,50,3,8.9324e-06,545475,472.727
4,50,3,95418.1,198180,178.272
5,50,3,2.42226e-10,233880,189.693
6,50,3,43.4473,17505,15.773
7,50,3,15.3971,158070,142.735
8,50,3,21.1663,138420,127.413
9,50,3,23.2903,70020,81.139
10,50,3,0.0245904,18960,17.23
11,50,3,93.5722,21300,19.202
12,50,3,120.39,17790,16.549
13,50,3,217.873,24615,22.844
14,50,3,4392.38,43965,39.65
15,50,3,7766.45,250710,223.011
16,50,3,3.91894,136560,136.116
17,50,3,178.824,63105,56.81
18,50,3,435.186,14715,13.467
19,50,3,7.88405,55020,49.245
20,50,3,22.3111,89670,81.72
21,50,3,836.442,13320,12.599
22,50,3,10109.8,289695,255.672
23,50,3,8444.81,297075,274.312
24,50,3,233.106,62970,76.096
25,50,3,291.897,86235,103.677
26,50,3,362.813,65985,81.581
27,50,3,934.809,68835,84.231
28,50,3,400,27375,26.974
1,50,4,1.06304e-15,11595,10.451
2,50,4,3.36477e-15,124455,107.963
3,50,4,1.07651e-07,376470,330.109
4,50,4,1.69064e-14,73650,66.075
5,50,4,2.18946e-10,255825,207.875
6,50,4,43.4473,21540,19.329
7,50,4,16.5667,545475,475.594
8,50,4,21.1326,387150,341.424
9,50,4,27.3034,56700,66.117
10,50,4,0.00986467,17490,15.906
11,50,4,103.675,16395,14.823
12,50,4,98.5006,16950,15.659
13,50,4,312.961,24480,22.727
14,50,4,6492.11,185355,165.034
15,50,4,5797.38,215685,191.91
16,50,4,0.137667,55515,55.27
17,50,4,142.819,28695,25.875
18,50,4,121.81,36165,33.07
19,50,4,7.30557,49650,43.776
20,50,4,19.6597,545475,466.577
21,50,4,1122.19,130155,121.776
22,50,4,11884,261855,232.182
23,50,4,10254.1,269400,244.836
24,50,4,266.236,76710,92.281
25,50,4,306.94,60285,73.366
26,50,4,370.83,56670,69.8
27,50,4,942.876,51495,63.609
28,50,4,400,25770,25.373
1,50,5,9.88778e-16,11520,10.386
2,50,5,1.65645e-15,114060,98.926
3,50,5,1131.96,545475,469.807
4,50,5,2.28367e-14,75330,67.679
5,50,5,3.52558e-10,240450,193.918
6,50,5,1.29356e-14,77490,68.527
7,50,5,32.7711,88815,81.869
8,50,5,21.1526,225900,203.341
9,50,5,30.4439,65235,75.945
10,50,5,0.0221857,17970,16.344
11,50,5,113.062,15870,14.348
12,50,5,106.46,14805,13.752
13,50,5,186.69,17355,16.089
14,50,5,6648.9,215925,191.201
15,50,5,6125.02,215280,191.713
16,50,5,0.0373543,156345,150.896
17,50,5,160.376,27645,24.816
18,50,5,147.379,39645,36.332
19,50,5,4.43536,90405,78.903
20,50,5,25,300,0.254
21,50,5,1122.19,202245,187.785
22,50,5,9038.71,227820,204.149
23,50,5,7819.66,262395,240.233
24,50,5,274.883,64860,78.626
25,50,5,310.833,71445,86.6
26,50,5,200,123855,150.792
27,50,5,985.385,60945,74.394
28,50,5,400,25395,25.012
1,50,6,1.55692e-15,12885,11.64
2,50,6,3.1007e-15,130680,113.761
3,50,6,1.29603e-12,459720,399.005
4,50,6,92621.4,72960,66.512
5,50,6,1.5757e-10,250230,203.555
6,50,6,43.4473,16755,15.167
7,50,6,14.6993,545475,463.091
8,50,6,21.1306,72255,67.13
9,50,6,22.9251,76935,89.319
10,50,6,0.00986467,18975,17.304
11,50,6,104.47,19830,18.033
12,50,6,93.526,38535,35.803
13,50,6,275.709,60750,56.329
14,50,6,14567.3,75855,69.147
15,50,6,14426.5,79800,73.528
16,50,6,3.7098,81735,81.944
17,50,6,454.568,83475,75.025
18,50,6,424.547,48975,44.889
19,50,6,9.33661,65040,57.748
20,50,6,25,300,0.255
21,50,6,1122.19,33975,32.309
22,50,6,15147.9,84360,78.475
23,50,6,15135.9,74385,70.997
24,50,6,238.322,89040,106.908
25,50,6,307.693,92445,111.523
26,50,6,200,138975,168.973
27,50,6,903.717,104700,126.434
28,50,6,400,27900,27.561
1,50,7,2.32657e-15,12420,11.218
2,50,7,1.96482e-15,111840,97.239
3,50,7,0.0136932,545475,464.158
4,50,7,97191,173385,156.947
5,50,7,1.3156e-10,246795,199.276
6,50,7,43.4473,17700,15.97
7,50,7,13.2837,346965,303.125
8,50,7,21.1826,167910,154.462
9,50,7,25.9089,61170,71.201
10,50,7,0.0295768,17925,16.313
11,50,7,79.5966,16095,14.629
12,50,7,133.324,20490,19.045
13,50,7,255.729,31410,29.112
14,50,7,4592.37,203445,182.856
15,50,7,5598.15,232065,208.177
16,50,7,3.82917,173970,173.287
17,50,7,138.192,42615,38.482
18,50,7,418.805,347910,309.791
19,50,7,3.94305,92280,80.986
20,50,7,22.3422,465285,416.022
21,50,7,836.442,13155,12.46
22,50,7,6141.94,229485,207.979
23,50,7,7139.27,243270,226.652
24,50,7,269.164,76215,92.071
25,50,7,300.392,74580,90.498
26,50,7,360.584,63270,78.236
27,50,7,717.901,64560,78.86
28,50,7,400,27090,26.705
1,50,8,2.8248e-15,11895,10.757
2,50,8,4.76772e-15,111225,96.556
3,50,8,0.355862,545475,468.328
4,50,8,100652,20805,18.864
5,50,8,4.43458e-10,244530,197.852
6,50,8,43.4473,19020,17.15
7,50,8,33.7933,257565,228.906
8,50,8,21.2051,122670,113.045
9,50,8,25.9881,64545,74.928
10,50,8,0.0123161,18330,16.74
11,50,8,153.216,21690,19.573
12,50,8,89.5462,20265,18.805
13,50,8,198.928,30960,28.668
14,50,8,5682.78,184125,165.226
15,50,8,14666.3,123030,112.542
16,50,8,3.62067,139230,138.604
17,50,8,197.053,133665,119.563
18,50,8,449.913,58605,53.499
19,50,8,8.62854,70770,62.429
20,50,8,22.6633,72660,66.435
21,50,8,1122.19,38985,36.988
