Function,Dimension,Run,Error,Evals,Time
1,50,1,1.81981e-15,11790,10.56
2,50,1,2.00472e-15,130005,111.777
3,50,1,1.37988e-07,545475,476.894
4,50,1,1.17627e-14,72495,65.254
5,50,1,4.36066e-10,242685,194.753
6,50,1,43.4473,14205,12.768
7,50,1,8.18998,393075,340.01
8,50,1,21.1485,545475,483.605
9,50,1,23.7545,57720,66.578
10,50,1,0.0123161,18465,16.712
11,50,1,98.5008,17790,15.999
12,50,1,116.41,17760,16.329
13,50,1,187.766,19470,17.958
14,50,1,4997.11,211650,185.885
15,50,1,5487.13,236430,210.858
16,50,1,0.0222052,545475,516.536
17,50,1,120.269,32850,29.344
18,50,1,114.735,77085,69.896
19,50,1,6.85475,77235,67.108
20,50,1,25,300,0.254
21,50,1,1122.19,545475,490.025
22,50,1,4674.92,243675,218.523
23,50,1,6737.22,285285,257.154
24,50,1,254.208,58575,70.589
25,50,1,314.473,100395,119.142
26,50,1,365.759,55320,68.126
27,50,1,707.659,49935,61.102
28,50,1,400,25515,25.039
1,50,2,2.44747e-15,11760,10.567
2,50,2,2.31355e-15,109080,94.076
3,50,2,1.56576e-05,545475,468.639
4,50,2,2.25656e-14,126120,114.202
5,50,2,5.86412e-11,267435,213.458
6,50,2,8.13927e-15,96450,84.846
7,50,2,35.4643,172200,155.835
8,50,2,21.1555,545475,483.878
9,50,2,27.3183,58050,67.016
10,50,2,0.00985728,18555,16.835
11,50,2,92.5311,16890,15.422
12,50,2,69.6471,17610,16.288
13,50,2,228.613,21510,19.833
14,50,2,6175.94,209730,185.164
15,50,2,6149.28,262395,230.38
16,50,2,3.57573,545475,524.128
17,50,2,141.029,37080,33.203
18,50,2,174.218,94065,85.269
19,50,2,5.39036,75720,66.168
20,50,2,21.4016,533805,458.571
21,50,2,836.442,13275,12.501
22,50,2,6716.21,229845,206.562
23,50,2,9420.55,33945,31.912
24,50,2,258.924,71100,85.368
25,50,2,321.361,87210,104.091
26,50,2,359.154,62910,76.689
27,50,2,921.536,56010,68.34
28,50,2,400,25935,25.406
1,50,3,1.52272e-15,11520,10.339
2,50,3,3.36682e-15,112845,97.328
3,50,3,54.7462,545475,467.955
4,50,3,2.74682e-14,84420,75.798
5,50,3,1.41458e-10,251100,200.773
6,50,3,43.4473,21855,19.519
7,50,3,12.0073,545475,471.971
8,50,3,21.1743,545475,484.103
9,50,3,27.1713,67020,77.353
10,50,3,0.012321,18225,16.473
11,50,3,151.233,17370,15.603
12,50,3,96.5107,24225,22.408
13,50,3,252.247,23475,21.641
14,50,3,7092.81,218055,191.605
15,50,3,6199.46,208755,186.507
16,50,3,0.0738317,545475,528.332
17,50,3,156.539,30765,27.807
18,50,3,143.602,55335,50.369
19,50,3,6.40947,56565,49.694
20,50,3,22.4815,545475,463.389
21,50,3,1122.19,111600,104.172
22,50,3,11002.1,241200,213.8
23,50,3,10268.6,228285,210.016
24,50,3,262.002,63540,76.229
25,50,3,305.615,81750,97.576
26,50,3,361.503,65385,79.945
27,50,3,1082.07,78075,94.425
28,50,3,400,25680,25.224
1,50,4,8.7296e-16,11820,10.61
2,50,4,1.70632e-15,112470,97.118
3,50,4,1.54535,545475,465.461
4,50,4,2.50109e-14,87330,78.482
5,50,4,3.35533e-10,248340,199.118
6,50,4,43.4473,14205,12.778
7,50,4,22.0276,154110,139.705
8,50,4,21.0141,545475,480.687
9,50,4,20.9827,62955,72.797
10,50,4,0.00985728,18330,16.598
11,50,4,116.41,14535,13.111
12,50,4,175.112,15825,14.611
13,50,4,218.988,22755,20.957
14,50,4,6556.62,278205,243.027
15,50,4,8158.24,236490,206.692
16,50,4,2.65206,545475,526.372
17,50,4,175.155,32955,29.547
18,50,4,121.13,42555,38.69
19,50,4,7.82709,57315,50.475
20,50,4,25,300,0.253
21,50,4,1122.19,449220,403.398
22,50,4,8828.08,202335,181.612
23,50,4,10545.8,298575,268.935
24,50,4,264.041,70935,84.913
25,50,4,310.627,90285,107.45
26,50,4,359.428,69390,84.635
27,50,4,824.634,61020,74.163
28,50,4,400,26235,25.717
1,50,5,3.13877e-15,11730,10.524
2,50,5,2.2522e-15,113940,98.098
3,50,5,2.26791e-11,439725,383.077
4,50,5,1.29595e-14,76500,68.821
5,50,5,7.98337e-11,255345,204.304
6,50,5,43.4473,18525,16.587
7,50,5,26.4434,129780,117.991
8,50,5,21.0974,545475,483.777
9,50,5,28.6263,58560,67.6
10,50,5,0.0295547,17550,15.873
11,50,5,107.455,16635,15.016
12,50,5,103.475,17790,16.419
13,50,5,185.141,22695,20.913
14,50,5,4938.26,219090,194.101
15,50,5,6123.98,291360,255.619
16,50,5,3.15135,545475,525.334
17,50,5,151.981,40185,35.962
18,50,5,133.91,54165,49.26
19,50,5,5.18097,50370,44.695
20,50,5,23.4922,545475,462.905
21,50,5,1122.35,40365,37.967
22,50,5,8524.07,207915,188.124
23,50,5,4844.03,398790,363.257
24,50,5,266.08,60120,72.445
25,50,5,304.58,71760,86.182
26,50,5,360.318,59835,73.069
27,50,5,973.965,63735,77.316
28,50,5,400,26250,25.727
1,50,6,1.5982e-15,11970,10.715
2,50,6,2.35876e-15,118575,102.262
3,50,6,64.3934,545475,464.034
4,50,6,6.97363e-15,94380,84.5
5,50,6,4.02801e-10,235065,188.859
6,50,6,43.4473,13815,12.446
7,50,6,31.3889,302085,261.375
8,50,6,21.1024,545475,483.607
9,50,6,21.843,55740,64.42
10,50,6,0.00986467,19080,17.302
11,50,6,70.642,17985,16.102
12,50,6,136.309,18810,17.331
13,50,6,245.229,21765,20.1
14,50,6,4777.23,188325,167.254
15,50,6,5569.29,295125,256.252
16,50,6,0.0416934,545475,518.37
17,50,6,158.36,30000,26.807
18,50,6,166.297,71295,64.688
19,50,6,9.86816,45150,40.071
20,50,6,25,300,0.253
21,50,6,1122.19,33885,31.929
22,50,6,12503.5,241230,214.385
23,50,6,7504.93,208815,192.233
24,50,6,263.489,67485,81.033
25,50,6,314.459,76995,92.15
26,50,6,348.339,69300,84.529
27,50,6,934.929,63870,77.621
28,50,6,400,25065,24.517
1,50,7,1.85587e-15,11640,10.438
2,50,7,2.85975e-15,111135,95.665
3,50,7,74.7195,545475,462.656
4,50,7,1.51129e-14,102105,91.612
5,50,7,2.65716e-10,244080,195.856
6,50,7,43.4473,21885,19.54
7,50,7,31.8229,286665,253.069
8,50,7,21.0767,545475,483.754
9,50,7,30.3036,65565,75.356
10,50,7,0.00739604,18060,16.346
11,50,7,112.476,18360,16.462
12,50,7,101.486,21570,19.88
13,50,7,237.656,22995,21.217
14,50,7,4934.1,188640,166.203
15,50,7,7636.49,203190,182.416
16,50,7,0.0309908,545475,524.024
17,50,7,167.939,27765,24.822
18,50,7,121.973,42525,38.676
19,50,7,5.66451,74475,65.347
20,50,7,22.0941,521130,443.172
21,50,7,1122.19,43740,41.203
22,50,7,10692.9,218175,197.509
23,50,7,7418.27,263850,241.721
24,50,7,258.056,70095,83.974
25,50,7,304.518,82320,98.452
26,50,7,349.063,57660,70.738
27,50,7,968.576,53400,65.209
28,50,7,3445.76,236205,225.542
1,50,8,1.21511e-15,11595,10.395
2,50,8,3.11169e-15,123120,105.998
3,50,8,0.262091,545475,468.666
4,50,8,2.07926e-14,69960,62.686
5,50,8,8.0277e-11,262980,210.137
6,50,8,49.1273,17100,15.342
7,50,8,45.4726,81960,75.462
8,50,8,21.1908,545475,483.612
9,50,8,27.5742,54180,62.897
10,50,8,0.0294982,17280,15.685
11,50,8,147.452,19320,17.363
12,50,8,66.6622,18255,16.874
13,50,8,205.431,19305,17.809
14,50,8,4984.33,186375,165.66
15,50,8,6810.39,214560,189.792
16,50,8,0.0367678,184110,177.651
17,50,8,177.236,32355,29.033
18,50,8,166.749,50535,45.954
19,50,8,7.36396,61515,54.268
20,50,8,25,300,0.252
21,50,8,1122.19,129135,120.28
22,50,8,6448.13,545475,478.478
23,50,8,10492.2,323925,290.372
24,50,8,270.006,71970,86.164
25,50,8,313.377,84210,100.955
26,50,8,364.901,61650,75.398
27,50,8,1004.92,59070,71.894
28,50,8,400,26415,25.861
1,50,9,1.13532e-15,12000,10.754
2,50,9,2.45064e-15,109560,94.54
3,50,9,6.09287e-06,545475,468.887
4,50,9,1.71395e-14,75975,68.068
5,50,9,6.17093e-10,240645,192.812
6,50,9,43.4473,22725,20.307
7,50,9,21.1256,287025,250.253
8,50,9,21.0888,545475,480.965
9,50,9,30.6397,63825,73.646
10,50,9,0.00739604,17985,16.283
11,50,9,142.479,17160,15.41
12,50,9,78.6016,18855,17.358
13,50,9,182.54,18735,17.26
14,50,9,4427.93,235725,209.507
15,50,9,6096.24,152790,136.91
16,50,9,0.0465472,545475,523.054
17,50,9,161.591,33720,30.192
18,50,9,142.479,37035,33.758
19,50,9,6.06304,50205,44.211
20,50,9,21.7721,545475,465.143
21,50,9,1122.19,88305,82.658
22,50,9,7178.96,545475,477.216
23,50,9,9813.48,230820,211.199
24,50,9,262.533,61695,74.129
25,50,9,321.508,72585,87.195
26,50,9,352.176,63525,77.618
27,50,9,1035.82,66075,80.207
28,50,9,400,26820,26.925
1,50,10,9.24493e-16,11670,10.824
2,50,10,3.7829e-15,120810,104.278
3,50,10,24.0363,545475,460.164
4,50,10,1.20995e-14,104265,94.555
5,50,10,4.35546e-10,237660,191.092
6,50,10,43.4473,19140,17.133
7,50,10,23.0532,101775,93.263
8,50,10,21.1701,545475,483.505
9,50,10,21.3917,57015,67.135
10,50,10,0.00739604,19050,17.865
11,50,10,71.637,15435,14.445
12,50,10,99.2547,17505,16.556
13,50,10,212.595,22095,20.899
14,50,10,3932.26,205365,183.441
15,50,10,5106.35,187905,168.317
16,50,10,0.0656235,234360,225.539
17,50,10,147.03,34155,30.686
18,50,10,140.628,35625,32.426
19,50,10,5.5211,50610,44.718
20,50,10,25,300,0.253
21,50,10,836.442,12555,11.829
22,50,10,7798.51,214500,194.045
23,50,10,7599.39,189105,177.152
24,50,10,268.266,60060,72.567
25,50,10,306.973,75000,92.198
26,50,10,375.978,64245,79.995
27,50,10,727.952,64140,79.928
28,50,10,400,26265,26.571
1,50,11,2.37961e-15,12015,11.137
2,50,11,2.91139e-15,110850,97.353
3,50,11,1.10173e-06,545475,469.349
4,50,11,1.52952e-14,85965,77.493
5,50,11,2.6061e-10,240300,192.606
6,50,11,43.4473,14190,12.755
7,50,11,18.6761,71160,65.46
8,50,11,21.0779,545475,483.907
9,50,11,20.0776,61035,70.657
10,50,11,0.0615461,18660,16.876
11,50,11,109.445,15660,14.134
12,50,11,69.6471,18915,17.458
13,50,11,256.971,22170,20.407
14,50,11,4610.86,200985,178.181
15,50,11,6290.67,171885,154.456
16,50,11,0.102212,545475,529.59
17,50,11,135.436,27465,24.631
18,50,11,145.523,95595,86.611
19,50,11,8.35831,49710,44.142
20,50,11,25,300,0.253
21,50,11,836.442,13155,12.38
22,50,11,4312.89,344700,309.908
23,50,11,9924.65,247800,226.51
24,50,11,283.429,62640,75.283
25,50,11,317.619,74400,89.342
26,50,11,359.787,61200,74.735
27,50,11,935.768,61395,74.747
28,50,11,400,25815,25.367
1,50,12,1.52652e-15,11625,10.471
2,50,12,1.15999e-15,110100,94.859
3,50,12,4.18959,545475,466.561
4,50,12,1.81002e-14,85605,76.672
5,50,12,1.03468e-10,256185,204.661
6,50,12,43.4473,15600,14.002
7,50,12,26.3105,359760,312.458
8,50,12,21.1345,545475,482.841
9,50,12,30.6982,51960,60.267
10,50,12,0.00986467,18195,16.43
11,50,12,165.362,17955,16.1
12,50,12,73.6268,17865,16.484
13,50,12,245.213,21525,19.815
14,50,12,5082.53,205200,181.928
15,50,12,5982.56,39615,36.065
16,50,12,0.119169,545475,524.501
17,50,12,130.634,32940,29.426
18,50,12,154.14,59850,54.409
19,50,12,5.3367,57330,50.378
20,50,12,25,300,0.253
21,50,12,836.442,12330,11.601
22,50,12,8232.43,175620,158.552
23,50,12,8961.92,360630,327.372
24,50,12,292.865,70170,84.235
25,50,12,305.519,86250,103.457
