Function,Dimension,Run,Error,Evals,Time
1,50,1,1.31901e-15,11220,10.21
2,50,1,3.78492e-15,121380,106.108
3,50,1,0.00159596,545475,477.209
4,50,1,1.57608e-14,75045,68.014
5,50,1,2.56445e-10,273900,223.041
6,50,1,43.4473,19905,18.001
7,50,1,14.0346,505245,439.861
8,50,1,21.1061,373035,334.195
9,50,1,26.0147,57885,67.526
10,50,1,0.0271254,18090,16.563
11,50,1,110.44,15210,13.874
12,50,1,82.5815,16965,15.843
13,50,1,246.842,24345,22.649
14,50,1,5736.39,194775,175.131
15,50,1,6294.3,52575,48.174
16,50,1,3.74263,306420,300.236
17,50,1,152.739,30990,28.092
18,50,1,159.178,34710,31.931
19,50,1,6.69311,50325,44.831
20,50,1,22.5836,545475,467.193
21,50,1,836.442,12495,11.875
22,50,1,10265.5,33630,31.158
23,50,1,9758.45,328920,297.428
24,50,1,268.001,59940,72.888
25,50,1,305.695,75735,91.573
26,50,1,350.221,72510,89.251
27,50,1,999.463,55245,67.988
28,50,1,400,23355,23.107
1,50,2,3.12179e-14,21795,19.941
2,50,2,3.81593e+08,2040,1.834
3,50,2,1.70765e+11,1020,0.908
4,50,2,100656,14310,13.131
5,50,2,3951.83,1320,1.163
6,50,2,43.4473,39840,36.483
7,50,2,197.546,2655,2.452
8,50,2,21.261,13785,12.873
9,50,2,68.5023,1185,1.376
10,50,2,934.386,5520,5.036
11,50,2,525.502,5325,4.833
12,50,2,512.588,5550,5.161
13,50,2,489.904,4740,4.398
14,50,2,15344.2,14370,13.291
15,50,2,14898.8,14400,13.38
16,50,2,4.43337,13275,13.436
17,50,2,590.795,6915,6.265
18,50,2,563.493,10830,9.98
19,50,2,41.9798,12240,11.211
20,50,2,25,300,0.255
21,50,2,836.442,21960,21.012
22,50,2,16235.7,13965,13.17
23,50,2,16436.6,14580,14.064
24,50,2,417.859,2775,3.422
25,50,2,437.42,4275,5.285
26,50,2,484.638,2940,3.683
27,50,2,2211.34,1785,2.204
28,50,2,400,65235,65.053
1,50,3,2.06791e-15,12345,11.174
2,50,3,4.13613e-14,134250,116.455
3,50,3,3401.7,192465,171.429
4,50,3,107195,6435,5.843
5,50,3,1.07209e-11,289680,238.623
6,50,3,43.4473,23340,21.146
7,50,3,12.6942,545475,472.796
8,50,3,21.1678,65775,61.171
9,50,3,23.0806,70770,82.519
10,50,3,1.03251e-14,19410,17.824
11,50,3,101.478,22470,20.476
12,50,3,434.386,5565,5.163
13,50,3,307.599,76860,69.658
14,50,3,14615.6,55290,50.682
15,50,3,4858.69,232950,213.075
16,50,3,4.41195,54705,55.098
17,50,3,437.045,14565,13.21
18,50,3,433.801,7695,7.094
19,50,3,10.7543,106785,94.515
20,50,3,25,300,0.255
21,50,3,836.442,14025,13.355
22,50,3,14704.4,11415,10.656
23,50,3,6531.18,272385,255.694
24,50,3,263.521,81765,99.056
25,50,3,302.494,86775,105.298
26,50,3,338.329,67725,83.957
27,50,3,1122.93,81585,99.819
28,50,3,400,27750,27.522
1,50,4,1.61964e-15,11685,10.586
2,50,4,5.72104e-15,116355,101.217
3,50,4,1.23382e-06,545475,475.093
4,50,4,115533,177270,160.661
5,50,4,1.55847e-10,251325,204.784
6,50,4,43.4473,22320,20.162
7,50,4,25.707,545475,472.957
8,50,4,21.1867,166770,153.459
9,50,4,25.5887,65010,75.694
10,50,4,0.0295547,18390,16.889
11,50,4,113.471,19800,17.938
12,50,4,139.294,18915,17.602
13,50,4,235.077,27870,25.945
14,50,4,5027.34,54150,49.035
15,50,4,4625.95,199140,181.14
16,50,4,3.77615,166290,165.905
17,50,4,196.934,38040,34.475
18,50,4,158.933,46215,42.505
19,50,4,7.12057,50475,45.268
20,50,4,25,300,0.255
21,50,4,836.442,12885,12.248
22,50,4,7869.52,74715,69.004
23,50,4,9510.59,325860,297.033
24,50,4,264.291,65340,79.328
25,50,4,304.009,98025,118.558
26,50,4,365.421,68595,84.525
27,50,4,939.182,74595,91.134
28,50,4,400,27015,26.757
1,50,5,1.22708e-13,19365,17.524
2,50,5,4.99117e+07,5970,5.39
3,50,5,1.41102e+10,5535,5.029
4,50,5,93885.9,5760,5.193
5,50,5,0.0180775,48390,43.599
6,50,5,43.4473,47685,43.121
7,50,5,105.538,4695,4.326
8,50,5,21.1862,16005,14.845
9,50,5,41.7939,9105,10.741
10,50,5,0.105812,99015,90.161
11,50,5,533.752,5565,5.013
12,50,5,560.741,4935,4.537
13,50,5,517.965,5100,4.695
