Function,Dimension,Run,Error,Evals,Time
1,50,1,1.10695e-15,11820,10.697
2,50,1,2.17193e-15,108675,93.677
3,50,1,1.33296e-11,517905,447.862
4,50,1,1.12785e-14,74415,66.819
5,50,1,1.34526e-10,260625,208.348
6,50,1,43.4473,14325,12.892
7,50,1,29.9599,545475,470.7
8,50,1,21.1608,545475,483.24
9,50,1,28.6172,61710,71.604
10,50,1,0.0196974,18030,16.311
11,50,1,101.486,17265,15.568
12,50,1,88.5513,16935,15.671
13,50,1,190.729,22065,20.38
14,50,1,4892.75,196440,175.772
15,50,1,6904.03,231315,205.597
16,50,1,3.05186,545475,527.677
17,50,1,127.15,37500,33.655
18,50,1,470.055,11280,10.304
19,50,1,4.35827,60765,53.304
20,50,1,25,300,0.253
21,50,1,1122.19,35580,33.566
22,50,1,11110.8,253665,225.357
23,50,1,9766.67,356385,322.799
24,50,1,255.027,59175,71.129
25,50,1,310.621,78510,94.399
26,50,1,200,144990,175.095
27,50,1,912.724,66450,80.631
28,50,1,400,26565,26.051
1,50,2,1.90192e-15,11850,10.639
2,50,2,2.17441e-15,114345,98.626
3,50,2,0.00100483,545475,471.902
4,50,2,8.05219e-15,115170,104.025
5,50,2,2.36698e-11,270015,215.503
6,50,2,43.4473,20775,18.604
7,50,2,46.3788,136695,124.501
8,50,2,21.1768,545475,483.955
9,50,2,27.7594,69450,80.297
10,50,2,0.00986467,18090,16.385
11,50,2,112.43,15870,14.338
12,50,2,116.41,17850,16.444
13,50,2,252.249,25110,23.168
14,50,2,4811.81,201810,179.657
15,50,2,6708.78,269985,237.883
16,50,2,0.0518009,44940,44.886
17,50,2,155.538,35970,32.285
18,50,2,131.016,41835,38.091
19,50,2,5.76103,60345,53.318
20,50,2,20.2635,248460,214.226
21,50,2,836.442,12735,11.999
22,50,2,8385.68,189525,171.754
23,50,2,9044.52,277710,251.671
24,50,2,243.386,59775,72.169
25,50,2,316.416,73590,87.99
26,50,2,358.292,60150,73.859
27,50,2,863.292,68295,82.762
28,50,2,400,35415,34.648
1,50,3,1.41869e-15,11685,10.512
2,50,3,2.35541e-15,110595,95.467
3,50,3,299.116,263640,229.339
4,50,3,1.16398e-14,157035,141.902
5,50,3,1.31289e-09,218910,176.718
6,50,3,43.4473,17985,16.114
7,50,3,28.3102,531885,463.684
8,50,3,21.0995,545475,483.211
9,50,3,25.1569,64680,75.222
10,50,3,0.0320061,18450,16.702
11,50,3,116.41,15945,14.449
12,50,3,140.289,16485,15.276
13,50,3,139.685,20580,18.918
14,50,3,4583.62,316635,276.806
15,50,3,4128.17,449865,398.447
16,50,3,0.276537,545475,530.351
17,50,3,150.656,47055,42.105
18,50,3,450.808,7650,6.976
19,50,3,7.20878,49890,44.098
20,50,3,25,300,0.253
21,50,3,836.442,12780,12.052
22,50,3,11230.1,237780,211.742
23,50,3,11728.2,381345,328.079
24,50,3,253.221,61485,73.905
25,50,3,300.787,86595,104.064
26,50,3,363.8,61470,75.335
27,50,3,993.616,61590,74.902
28,50,3,400,25980,25.512
1,50,4,1.17694e-15,11595,10.388
2,50,4,3.4699e-15,112170,96.678
3,50,4,2.08018e-05,545475,471.926
4,50,4,1.96887e-14,98160,88.777
5,50,4,3.41945e-10,242940,194.656
6,50,4,43.4473,21555,19.302
7,50,4,21.0143,132135,120.35
8,50,4,21.1307,545475,484.355
9,50,4,27.8913,61395,71.232
10,50,4,0.00986467,18840,17.037
11,50,4,117.451,20055,18.011
12,50,4,96.5107,19905,18.422
13,50,4,242.498,23055,21.319
14,50,4,5119.73,208650,183.855
15,50,4,5736.9,185265,165.917
16,50,4,3.24284,545475,530.419
17,50,4,126.258,38115,34.191
18,50,4,128.561,32295,29.448
19,50,4,7.70877,49170,43.701
20,50,4,25,300,0.253
21,50,4,1122.35,545475,488.758
22,50,4,9772.38,180885,163.219
23,50,4,10338.2,196200,180.682
24,50,4,260.371,64065,77.176
25,50,4,297.137,75660,91.263
26,50,4,200,138720,167.478
27,50,4,965.632,61410,74.729
28,50,4,400,27135,26.643
1,50,5,1.18833e-15,11430,10.259
2,50,5,3.39412e-15,110805,95.71
3,50,5,3.13847e-08,355920,312.931
4,50,5,9.96902e-15,75195,67.459
5,50,5,7.50336e-11,244890,196.463
6,50,5,43.4473,14625,13.159
7,50,5,38.1038,330885,295.76
8,50,5,21.1244,545475,484.176
9,50,5,27.6038,69000,79.913
10,50,5,0.0369017,18735,16.903
11,50,5,97.5059,15225,13.746
12,50,5,82.5815,17925,16.532
13,50,5,154.267,19290,17.774
14,50,5,5614.53,205245,180.981
15,50,5,6539.73,255705,224.921
16,50,5,0.122408,545475,532.121
