Function,Dimension,Run,Error,Evals,Time
1,50,1,4.12771e-15,14355,12.712
2,50,1,4.09738e+06,25245,22.544
3,50,1,8.86115e+09,9015,8.071
4,50,1,129361,41490,36.906
5,50,1,1.27069e-10,417480,334.184
6,50,1,43.4473,22500,19.894
7,50,1,91.4291,8430,7.656
8,50,1,21.128,44805,40.471
9,50,1,27.4427,180165,202.796
10,50,1,0.0147724,35640,31.766
11,50,1,479.327,6465,5.725
12,50,1,429.144,6990,6.337
13,50,1,511.194,5925,5.371
14,50,1,13931.3,47985,42.591
15,50,1,15186.7,44625,40.05
16,50,1,4.15253,47910,47.038
17,50,1,513.831,5070,4.474
18,50,1,497.341,4935,4.422
19,50,1,37.2595,9990,8.884
20,50,1,25,300,0.252
21,50,1,1122.19,25275,23.528
22,50,1,14601.8,48165,43.59
23,50,1,15997.4,42525,39.677
24,50,1,277.076,67830,82.052
25,50,1,339.34,72450,87.1
26,50,1,375.884,249870,299.001
27,50,1,1268.11,193770,229.904
28,50,1,3525.33,11340,10.886
1,50,2,1.86004e-13,85740,74.833
2,50,2,2.45576e+08,1845,1.619
3,50,2,5.46041e+10,4350,3.861
4,50,2,95087.7,18105,16.156
5,50,2,1802.36,4140,3.604
6,50,2,260.972,9975,8.802
7,50,2,113.002,4500,4.065
8,50,2,21.1968,18825,17.067
9,50,2,55.658,3450,3.978
10,50,2,487.796,6180,5.459
11,50,2,499.497,4590,4.05
12,50,2,562.14,4380,3.942
13,50,2,527.139,5025,4.531
14,50,2,14600.9,19635,17.495
15,50,2,15557.4,17745,16.027
16,50,2,4.61002,17400,17.162
17,50,2,655.344,4545,3.987
18,50,2,652.935,4770,4.258
19,50,2,160.44,5025,4.412
20,50,2,24.6625,4050,3.626
21,50,2,860.44,13965,12.845
22,50,2,15858.3,17850,16.276
23,50,2,16023.5,20580,19.239
24,50,2,400.531,4335,5.251
25,50,2,443.392,4215,5.093
26,50,2,239.733,4200,5.183
27,50,2,1834.31,4275,5.22
28,50,2,400,131445,125.15
1,50,3,2.34068e-14,33120,29.116
2,50,3,3.55629e+08,2130,1.867
3,50,3,5.69086e+10,4425,3.939
4,50,3,104489,4215,3.734
5,50,3,2273.93,3360,2.94
6,50,3,45.2224,59850,52.272
7,50,3,129.646,4710,4.265
8,50,3,21.2706,20385,18.343
9,50,3,62.8962,3300,3.819
10,50,3,16.1613,16245,14.353
11,50,3,491.079,4965,4.394
12,50,3,521.433,4920,4.46
13,50,3,501.561,4410,3.989
14,50,3,15137.6,21375,18.927
15,50,3,15159.6,20430,18.242
16,50,3,4.57379,24285,23.943
17,50,3,573.312,3060,2.685
18,50,3,637.944,4230,3.779
19,50,3,235.767,9870,8.751
20,50,3,25,300,0.251
21,50,3,836.442,47535,43.628
22,50,3,16003.6,20880,18.947
23,50,3,16193.3,24180,22.427
24,50,3,386.774,5610,6.816
25,50,3,441.038,5070,6.152
26,50,3,478.637,4275,5.268
27,50,3,1972.92,4620,5.662
28,50,3,4186.03,6465,6.182
1,50,4,1.181e-14,16770,14.798
2,50,4,2.94079e+08,2745,2.427
3,50,4,5.43203e+10,7650,6.853
4,50,4,121650,7305,6.45
5,50,4,3004.04,1695,1.467
6,50,4,49.1273,33495,29.35
