Function,Dimension,Run,Error,Evals,Time
1,50,1,2.80295e-15,12390,11.143
2,50,1,6.89385e-15,123855,106.878
3,50,1,11981.1,364290,319.399
4,50,1,121106,64530,58.556
5,50,1,1.61912e-11,283020,229.992
6,50,1,49.1273,22875,20.493
7,50,1,24.7712,545475,474.297
8,50,1,21.2182,55440,51.182
9,50,1,29.5352,69765,80.522
10,50,1,0.00986467,19530,17.769
11,50,1,158.198,18450,16.699
12,50,1,126.359,16395,15.179
13,50,1,268.456,30480,28.184
14,50,1,5610.79,37440,33.868
15,50,1,5445.99,545475,485.949
16,50,1,4.2684,61410,61.436
17,50,1,483.111,6510,5.839
18,50,1,467.683,15330,14.021
19,50,1,7.89436,71865,62.54
20,50,1,25,300,0.254
21,50,1,836.442,13320,12.579
22,50,1,8349.52,240060,217.737
23,50,1,6111.58,298335,274.207
24,50,1,278.629,73875,89.141
25,50,1,327.351,74520,89.585
26,50,1,200,162555,196.935
27,50,1,829.96,73485,89.259
28,50,1,400,29175,28.737
1,50,2,3.19433e-15,12165,10.983
2,50,2,4.62394e-15,108315,93.701
3,50,2,10.8169,545475,467.631
4,50,2,101796,283905,253.738
5,50,2,7.33398e-11,249105,201.015
6,50,2,43.4473,14280,12.914
7,50,2,27.5106,181155,163.371
8,50,2,21.2014,211140,193.171
9,50,2,29.6747,62115,71.83
10,50,2,0.0616099,18735,17.051
11,50,2,93.5721,19785,17.864
12,50,2,81.5865,22710,21.084
13,50,2,212.574,25515,23.652
14,50,2,5085.97,150150,134.134
15,50,2,4869.57,201075,181.006
16,50,2,3.38476,196575,194.615
17,50,2,150.957,30645,27.658
18,50,2,387.675,244395,219.34
19,50,2,7.83775,54855,48.887
20,50,2,22.1165,545475,484.741
21,50,2,1122.19,44940,42.573
22,50,2,8274.89,81570,74.898
23,50,2,6652.68,260355,240.444
24,50,2,254.073,62325,75.472
25,50,2,301.77,70560,85.149
26,50,2,344.6,64710,79.545
27,50,2,1040.2,76125,92.511
28,50,2,400,27225,26.833
1,50,3,2.48811e-15,12630,11.404
2,50,3,4.15515e-15,110280,95.728
3,50,3,4.88353e-05,545475,472.94
4,50,3,116465,51975,47.497
5,50,3,1.58144e-11,272235,220.302
6,50,3,43.4473,16995,15.353
7,50,3,11.9479,446100,390.628
8,50,3,21.1743,67515,62.538
9,50,3,20.7794,67530,78.401
10,50,3,0.0394291,18645,17.02
11,50,3,80.5901,25470,22.993
12,50,3,393.014,41805,38.678
13,50,3,392.603,22335,20.697
14,50,3,14576.6,58575,53.59
15,50,3,14891.5,64470,59.468
16,50,3,3.82022,63150,63.617
17,50,3,460.343,35235,31.808
18,50,3,464.403,33615,30.865
19,50,3,32.89,19605,17.783
20,50,3,22.6967,47085,43.393
21,50,3,1122.19,27105,25.731
22,50,3,14861.7,68295,63.721
23,50,3,8876.14,302580,277.561
24,50,3,265.589,90360,109.235
25,50,3,288.234,88470,106.474
26,50,3,200,191460,232.209
27,50,3,972.992,69285,84.98
28,50,3,400,38490,37.84
1,50,4,1.21612e-15,11160,10.041
2,50,4,1.55104e-15,112035,96.976
3,50,4,687.593,545475,464.834
4,50,4,3.72586e-14,94845,84.951
5,50,4,9.5195e-10,221235,178.872
6,50,4,43.4473,16290,14.66
7,50,4,47.1464,82980,76.63
8,50,4,21.1267,157785,142.668
9,50,4,28.8408,54210,63.019
10,50,4,0.00739604,17655,16.057
11,50,4,100.491,15225,13.773
12,50,4,108.45,15135,14.019
13,50,4,158.006,19125,17.715
14,50,4,7192.34,185190,163.527
15,50,4,6741.92,77595,70.527
16,50,4,0.0664573,311670,298.551
17,50,4,146.813,27360,24.602
18,50,4,149.035,29685,27.139
19,50,4,6.87767,60525,53.087
20,50,4,21.9917,264390,230.426
21,50,4,1122.19,106215,99.767
22,50,4,6759.77,225915,202.031
23,50,4,10525.5,250575,226.296
24,50,4,269.767,66195,79.575
25,50,4,317.062,71820,86.483
26,50,4,375.498,56685,69.481
27,50,4,998.641,62595,76.072
28,50,4,400,25260,24.849
1,50,5,2.32574e-15,11580,10.446
2,50,5,2.07553e-15,113640,98.556
3,50,5,4176.11,545475,461.512
4,50,5,4.0064e-14,86580,77.883
5,50,5,2.83369e-11,258300,207.703
6,50,5,43.4473,17610,15.856
7,50,5,31.454,82755,76.418
8,50,5,21.1096,545475,486.409
9,50,5,28.1204,59625,69.036
10,50,5,0.00739604,16875,15.333
11,50,5,133.324,18390,16.614
12,50,5,117.405,15270,14.199
13,50,5,216.926,24990,23.148
14,50,5,5211.46,196410,175.325
15,50,5,5127.85,190725,170.952
16,50,5,0.071901,545475,524.553
17,50,5,133.489,26565,23.978
18,50,5,137.797,112890,102.364
19,50,5,6.24966,111900,97.118
20,50,5,25,300,0.253
21,50,5,836.442,12675,11.981
22,50,5,9603.19,35325,32.392
23,50,5,9466.53,259590,236.155
24,50,5,243.472,54600,66.02
25,50,5,309.451,87285,104.78
26,50,5,200,129825,157.438
27,50,5,847.407,65565,79.435
28,50,5,400,26115,25.698
1,50,6,1.76156e-15,11430,10.287
2,50,6,1.39087e-15,117930,102.307
3,50,6,87.4797,545475,466.683
4,50,6,2.33585e-14,75045,67.326
5,50,6,1.00082e-09,229305,185.977
6,50,6,43.4473,18210,16.337
7,50,6,37.3503,143595,127.272
8,50,6,21.1748,545475,478.47
9,50,6,22.2368,59025,68.209
10,50,6,0.00985728,18855,17.126
11,50,6,87.5563,15615,14.136
12,50,6,137.304,15795,14.66
13,50,6,235.365,21450,19.88
14,50,6,4678.41,205290,183.315
15,50,6,7340.9,219450,195.325
16,50,6,0.108955,545475,516.468
17,50,6,165.649,28935,25.997
18,50,6,162.957,44880,41.042
19,50,6,6.71364,85755,75.058
20,50,6,25,300,0.254
21,50,6,836.442,13005,12.278
22,50,6,7532.7,194700,176.933
23,50,6,10016.5,77490,72.195
24,50,6,272.504,62775,75.729
25,50,6,306.587,90510,108.393
26,50,6,359.475,67800,83.261
27,50,6,962.539,60825,74.035
28,50,6,400,25890,25.469
1,50,7,3.69854e-15,12825,11.562
2,50,7,3.45842e-15,110010,95.866
3,50,7,1.02708e-10,268140,240.599
4,50,7,86776.6,108600,98.691
5,50,7,4.61604e-11,255105,206.257
6,50,7,43.4473,20925,18.852
7,50,7,5.17851,545475,463.434
8,50,7,21.1266,83115,77.021
9,50,7,23.6263,86985,100.107
10,50,7,0.00985728,18990,17.345
11,50,7,91.5361,17685,16.075
12,50,7,96.9814,26010,24.074
13,50,7,358.326,55560,51.381
14,50,7,14766.8,98625,89.874
15,50,7,15244.3,94665,87.225
16,50,7,3.48816,100830,101.272
17,50,7,427.09,69525,62.605
18,50,7,427.578,148815,135.379
19,50,7,4.79074,96375,84.586
20,50,7,23.0391,27135,24.962
21,50,7,836.442,13890,13.143
22,50,7,15438,110505,102.685
23,50,7,15908.3,97200,92.447
24,50,7,251.29,98910,119.03
25,50,7,319.346,89505,107.992
26,50,7,357.901,91305,111.708
27,50,7,752.082,94755,114.778
28,50,7,400,29010,28.598
1,50,8,1.69169e-15,11460,10.305
2,50,8,1.72702e-15,113025,98.038
3,50,8,2.30213e-07,527460,460.536
4,50,8,2.22596e-14,73245,65.725
5,50,8,7.44879e-10,239850,194.738
6,50,8,43.4473,20055,18.011
7,50,8,23.7026,131220,120.664
8,50,8,20.8154,527025,463.699
9,50,8,25.5067,60765,70.636
10,50,8,0.0517329,17685,16.094
11,50,8,105.465,14235,12.956
12,50,8,160.188,16875,15.653
13,50,8,292.302,20610,19.12
14,50,8,5106.39,238080,212.714
15,50,8,6940.82,223515,199.344
16,50,8,0.0883442,545475,516.547
17,50,8,159.164,28440,25.525
18,50,8,152.433,29985,27.408
19,50,8,9.33535,50415,44.833
20,50,8,25,300,0.255
21,50,8,1122.19,545475,492.721
22,50,8,8139.84,291000,255.852
23,50,8,8208.22,192660,176.429
24,50,8,271.287,71565,85.916
25,50,8,316.905,73725,88.565
26,50,8,372.261,63165,77.64
27,50,8,1029.88,73170,88.522
28,50,8,400,25320,24.883
1,50,9,1.06359e-15,11400,10.279
2,50,9,4.05005e-15,113655,98.5
3,50,9,0.0328899,545475,472.199
4,50,9,1.49058e-14,84210,76.001
5,50,9,6.34986e-10,240195,193.99
6,50,9,8.45348e-15,81225,71.928
7,50,9,31.0243,418605,366.439
8,50,9,21.1667,200970,183.738
9,50,9,22.6666,66675,77.361
10,50,9,0.0344477,18420,16.758
11,50,9,70.642,16635,15.123
12,50,9,122.38,18180,16.884
13,50,9,237.599,25980,24.029
14,50,9,4937.68,258000,229.784
15,50,9,7061.92,25185,23.063
16,50,9,3.06952,298290,292.595
17,50,9,156.229,37425,33.727
18,50,9,441.624,51210,46.687
19,50,9,6.23801,52065,46.253
20,50,9,22.2295,543825,478.743
21,50,9,836.442,12915,12.195
22,50,9,11095.9,267645,238.076
23,50,9,9681.42,318465,291.929
24,50,9,282.431,63000,76.256
25,50,9,319.327,71790,86.578
26,50,9,375.357,52710,64.969
27,50,9,951.88,56145,68.622
28,50,9,400,26310,25.887
1,50,10,2.02733e-15,12135,10.948
2,50,10,4.27416e-15,114945,99.707
3,50,10,4.30934,545475,469.421
4,50,10,106276,116550,105.367
5,50,10,8.76533e-11,253755,205.001
6,50,10,43.4473,15975,14.416
7,50,10,14.072,352815,308.769
8,50,10,21.218,115140,105.904
9,50,10,17.4568,87300,100.504
10,50,10,0.00739604,18555,16.862
11,50,10,128.349,19170,17.387
12,50,10,84.5714,22275,20.635
13,50,10,209.695,27225,25.199
14,50,10,5940.61,53055,47.466
15,50,10,6017.57,42180,38.544
16,50,10,3.91157,96225,96.107
17,50,10,117.117,33975,30.544
18,50,10,458.159,42420,38.753
19,50,10,5.22463,124770,108.258
20,50,10,22.9855,128280,117.286
21,50,10,1122.35,36300,34.447
22,50,10,8405.44,205245,187.222
23,50,10,7846.46,297030,272.404
24,50,10,246.981,81510,97.838
25,50,10,312.633,82875,99.776
26,50,10,200,152610,185.059
27,50,10,1062.58,72840,89.134
28,50,10,400,28125,27.72
1,50,11,6.3219e-16,11100,9.978
2,50,11,2.05906e-15,111765,96.814
3,50,11,147.117,545475,461.205
4,50,11,2.49737e-14,79860,71.294
5,50,11,1.40832e-09,228315,184.139
6,50,11,43.4473,20850,18.69
7,50,11,22.5752,86250,79.466
8,50,11,21.2017,175620,158.751
9,50,11,32.323,58590,67.726
10,50,11,0.0172361,17790,16.049
11,50,11,97.5519,17085,15.386
12,50,11,109.445,14805,13.717
13,50,11,146.796,16515,15.321
14,50,11,5241.41,60525,54.654
15,50,11,5607.8,217845,193.367
16,50,11,0.0643967,69945,69.381
17,50,11,194.359,27810,25.01
18,50,11,122.433,28320,25.893
19,50,11,7.69638,54660,48.041
20,50,11,25,300,0.254
21,50,11,836.442,12195,11.537
22,50,11,11526.2,329310,286.743
23,50,11,10732.4,319755,287.715
24,50,11,242.234,58110,70.057
25,50,11,315.846,69525,83.78
26,50,11,200,120360,145.871
27,50,11,1132.78,65565,80.084
28,50,11,400,25620,25.246
1,50,12,1.31409e-15,12555,11.339
2,50,12,4.61619e-15,121890,105.638
3,50,12,1.20435e-05,545475,469.217
4,50,12,102891,91545,83.287
5,50,12,6.0568e-11,261975,212.164
6,50,12,43.4473,22830,20.53
7,50,12,15.4866,454980,398.912
8,50,12,21.2225,82410,76.243
9,50,12,29.9749,64665,74.698
10,50,12,0.0345018,18930,17.273
11,50,12,119.03,20355,18.397
12,50,12,78.6017,19635,18.233
13,50,12,260.337,27810,25.728
14,50,12,4071.6,35190,31.787
15,50,12,14237.2,80925,74.327
16,50,12,3.60353,89730,89.824
17,50,12,461.493,34890,31.435
18,50,12,472.161,11520,10.532
19,50,12,9.5365,59745,53.182
20,50,12,23.0347,55395,50.887
21,50,12,836.442,12840,12.14
22,50,12,15434.6,101145,93.8
23,50,12,8309.64,224220,209.351
24,50,12,267.266,77160,92.946
25,50,12,298.687,116865,140.466
26,50,12,360.322,85035,104.102
27,50,12,797.254,66240,80.881
28,50,12,400,27300,26.935
1,50,13,2.15997e-15,12870,11.618
2,50,13,1.02275e-14,121665,106.068
3,50,13,1.09409e-05,545475,474.336
4,50,13,100007,46665,42.635
5,50,13,1.69673e-10,255240,209.974
6,50,13,43.4473,22095,19.888
7,50,13,5.83394,545475,462.077
8,50,13,21.2232,53595,49.85
9,50,13,21.4336,90675,104.931
10,50,13,0.00985728,20775,18.922
11,50,13,76.6118,28830,26.069
12,50,13,420.502,46350,42.918
13,50,13,384.438,33825,31.404
14,50,13,14643.6,55380,50.644
15,50,13,14773,52170,48.139
16,50,13,4.48344,51690,52.054
17,50,13,433.137,55230,49.799
18,50,13,479.229,7890,7.233
19,50,13,29.4911,35190,31.916
20,50,13,23.5425,5925,5.423
21,50,13,1122.19,26625,25.288
22,50,13,16130.4,56850,53.308
23,50,13,14898.2,60420,57.795
24,50,13,259.115,85650,103.102
25,50,13,308.206,96945,116.891
26,50,13,351.468,79230,97.349
27,50,13,823.708,82785,101.293
28,50,13,400,27075,26.782
1,50,14,1.4481e-15,11325,10.2
2,50,14,2.21008e-15,113505,98.019
3,50,14,3.83652,545475,464.942
4,50,14,1.30664e-14,71730,64.204
5,50,14,6.07278e-10,237600,191.738
6,50,14,43.4473,19710,17.699
7,50,14,26.461,545475,475.404
8,50,14,21.2117,158835,143.327
9,50,14,32.1017,52215,60.619
10,50,14,0.0221857,16950,15.41
11,50,14,114.42,14985,13.563
12,50,14,108.45,15000,13.91
13,50,14,224.899,18975,17.596
14,50,14,6533.79,184320,163.163
15,50,14,5605.15,254550,223.278
16,50,14,0.0987736,545475,523.583
17,50,14,176.055,27390,24.592
18,50,14,166.582,30660,27.98
19,50,14,5.35963,47865,42.215
20,50,14,25,300,0.253
21,50,14,1122.19,158865,148.013
22,50,14,8471.42,305970,268.164
23,50,14,11027.6,280500,250.158
24,50,14,287.638,62085,74.815
25,50,14,300.548,59955,72.654
26,50,14,382.005,60060,73.695
27,50,14,869.912,72000,87.422
28,50,14,400,24765,24.278
1,50,15,9.75887e-16,11535,10.4
2,50,15,2.38898e-15,112515,97.763
3,50,15,9.90859e-09,545475,476.244
4,50,15,1.64009e-14,97185,87.5
5,50,15,2.01597e-10,240195,193.727
6,50,15,43.4473,26310,23.601
7,50,15,30.6847,459405,403.51
8,50,15,21.1556,545475,483.778
9,50,15,25.9542,56625,65.733
10,50,15,0.00739604,18315,16.59
11,50,15,117.405,14820,13.433
12,50,15,93.526,16620,15.424
13,50,15,236.214,21030,19.44
14,50,15,5625.64,146760,131.7
15,50,15,5351.35,220035,197.539
16,50,15,3.41432,545475,526.868
17,50,15,131.604,29130,26.263
18,50,15,467.897,9195,8.421
19,50,15,5.68516,70545,61.87
20,50,15,25,300,0.253
21,50,15,836.442,12180,11.523
22,50,15,10282.7,248235,222.238
23,50,15,9256.6,239295,219.388
24,50,15,257.096,55995,67.652
25,50,15,321.948,80430,96.701
26,50,15,358.412,74385,90.909
27,50,15,1077.98,80220,97.049
28,50,15,400,25740,25.328
1,50,16,2.75858e-15,12285,11.103
2,50,16,5.31444e-15,128070,112.055
3,50,16,0.00170018,545475,473.534
4,50,16,109708,51930,47.254
5,50,16,3.21868e-11,272010,221.846
6,50,16,43.4473,20730,18.677
7,50,16,6.85283,545475,468.041
8,50,16,21.16,52155,48.37
9,50,16,23.9019,73275,84.792
10,50,16,0.00985728,19680,17.952
11,50,16,101.122,24375,22.064
12,50,16,418.768,27285,25.284
13,50,16,417.642,11685,10.815
14,50,16,14703.9,55575,50.775
15,50,16,6344.54,213285,193.105
16,50,16,4.08742,55395,55.597
17,50,16,463.327,13485,12.175
18,50,16,471.573,19965,18.309
19,50,16,6.33788,72405,64.406
20,50,16,25,300,0.254
21,50,16,1122.19,27810,26.395
22,50,16,15864.2,57795,53.965
23,50,16,16234.2,54255,51.755
24,50,16,258.118,114885,136.715
25,50,16,298.923,90075,108.789
26,50,16,347.704,80010,98.435
27,50,16,978.98,75810,92.601
28,50,16,400,37020,36.397
1,50,17,2.02556e-15,12150,10.945
2,50,17,4.28349e-15,127380,110.419
3,50,17,4.42103e-06,545475,475.049
4,50,17,95320.9,40725,37.157
5,50,17,1.257e-11,270735,218.2
6,50,17,43.4473,19530,17.542
7,50,17,8.3396,205605,183.594
8,50,17,21.146,182790,166.962
9,50,17,18.4018,63915,73.993
10,50,17,0.0369605,18525,16.872
11,50,17,91.5822,19320,17.411
12,50,17,121.385,18735,17.404
13,50,17,149.396,28425,26.347
14,50,17,4426.21,33510,30.303
15,50,17,14611.9,178845,162.92
16,50,17,3.59992,188115,187.079
17,50,17,162.393,30420,27.427
18,50,17,443.668,73440,67.106
19,50,17,4.66174,60555,53.251
20,50,17,22.0464,186285,169.028
21,50,17,1122.19,35820,33.91
22,50,17,5649.66,56085,51.748
23,50,17,6158.29,361695,341.913
24,50,17,260.311,57000,69.323
25,50,17,298.394,76815,92.607
26,50,17,351.235,59595,73.408
27,50,17,845.307,61470,75.076
28,50,17,400,27345,26.973
1,50,18,2.95478e-15,12600,11.371
2,50,18,5.82373e-15,147420,127.638
3,50,18,0.00105806,545475,475.28
4,50,18,120451,81525,74.303
5,50,18,2.63517e-10,254565,210.147
6,50,18,43.4473,18570,16.923
7,50,18,29.8747,478935,412.487
8,50,18,21.2108,78480,72.618
9,50,18,21.0187,72675,86.26
10,50,18,0.00739604,18300,17.172
11,50,18,96.5109,18705,17.497
12,50,18,85.5664,18315,17.576
13,50,18,212.059,22470,21.526
14,50,18,14206.4,85560,78.259
15,50,18,13915.1,92700,85.698
16,50,18,3.95429,88605,88.735
17,50,18,483.933,40305,36.28
18,50,18,439.932,45240,41.471
19,50,18,7.47624,65265,57.578
20,50,18,22.9019,95145,87.221
21,50,18,836.442,13350,12.643
22,50,18,4184.61,41340,38.421
23,50,18,15612.5,86430,82.1
24,50,18,277.412,71580,86.24
25,50,18,320.744,82320,99.533
26,50,18,359.129,66180,81.65
27,50,18,1060.6,66615,81.403
28,50,18,400,27135,27.163
1,50,19,7.84581e-16,11715,10.584
2,50,19,1.81761e-15,112230,98.442
3,50,19,0.181044,545475,482.802
4,50,19,1.01731e-14,74595,67.122
5,50,19,3.27497e-10,244485,197.403
6,50,19,43.4473,18945,17.06
7,50,19,41.8027,457710,400.037
8,50,19,21.1712,545475,486.129
