Function,Dimension,Run,Error,Evals,Time
1,50,1,2.42089e-15,11685,10.471
2,50,1,7.76083e-15,140130,120.685
3,50,1,0.335958,243645,215.586
4,50,1,95812.3,20160,18.235
5,50,1,5.07995e-10,282090,227.704
6,50,1,43.4473,14895,13.361
7,50,1,25.3096,303225,263.629
8,50,1,21.1734,56250,51.759
9,50,1,22.5068,64260,74.245
10,50,1,0.0270517,19455,17.576
11,50,1,82.6262,21105,18.883
12,50,1,136.309,21150,19.483
13,50,1,402.185,7125,6.556
14,50,1,3842.85,29235,26.378
15,50,1,5312.67,33435,30.411
16,50,1,3.9591,54435,54.328
17,50,1,491.794,12825,11.487
18,50,1,468.219,18105,16.486
19,50,1,6.82664,66390,58.176
20,50,1,25,300,0.252
21,50,1,836.442,13215,12.444
22,50,1,8437.62,287865,258.748
23,50,1,7308.78,31710,29.844
24,50,1,277.803,78630,94.325
25,50,1,307.059,97185,116.322
26,50,1,347.428,65325,80.054
27,50,1,896.883,85215,103.203
28,50,1,400,27165,26.625
1,50,2,3.02866e-15,12255,10.989
2,50,2,5.14965e-15,133725,115.288
3,50,2,3.50679,545475,472.627
4,50,2,99255.8,13290,11.956
5,50,2,5.108e-12,303675,244.191
6,50,2,43.4473,13920,12.498
7,50,2,6.91283,545475,467.717
8,50,2,21.1818,56505,51.875
9,50,2,32.1284,75990,87.467
10,50,2,0.00739604,19740,17.83
11,50,2,134.318,17520,15.742
12,50,2,117.405,20820,19.202
13,50,2,437.613,9930,9.142
14,50,2,4623.99,251475,222.986
15,50,2,5727.8,29775,26.844
16,50,2,4.67222,59790,59.647
17,50,2,513.398,18345,16.422
18,50,2,487.324,15675,14.259
19,50,2,5.81389,55350,49.109
20,50,2,25,300,0.253
21,50,2,836.442,13035,12.228
22,50,2,7951.39,248730,225.531
23,50,2,15875.4,63195,59.816
24,50,2,260.497,65160,78.739
25,50,2,311.251,94410,113.059
26,50,2,370.345,71820,87.717
27,50,2,920.666,70185,85.263
28,50,2,400,27315,26.748
1,50,3,2.1232e-15,12570,11.293
2,50,3,4.33289e-15,118725,102.401
3,50,3,0.0011353,545475,473.37
4,50,3,76217.4,99720,90.218
5,50,3,5.53018e-12,266700,214.665
6,50,3,43.4473,18030,16.161
7,50,3,11.2189,526080,460.718
8,50,3,21.2386,103785,95.387
9,50,3,33.8208,66840,77.098
10,50,3,0.0221857,19995,18.111
11,50,3,111.635,19365,17.451
12,50,3,106.46,26160,24.19
13,50,3,398.15,15780,14.546
14,50,3,4563.66,33975,30.709
15,50,3,14682.7,89865,82.073
16,50,3,3.82961,86595,86.266
17,50,3,467.253,11535,10.343
18,50,3,406.279,78675,71.492
19,50,3,6.0245,55470,48.945
20,50,3,23.0004,47625,43.556
21,50,3,836.442,13710,12.916
22,50,3,15479.9,95325,88.198
23,50,3,8961.76,185820,172.859
24,50,3,251.029,73485,88.535
25,50,3,332.212,78285,94.142
26,50,3,363.863,82320,100.862
27,50,3,1029.06,71985,87.191
28,50,3,400,28995,28.433
1,50,4,2.26535e-15,11895,10.693
2,50,4,2.53885e-15,112560,97.21
3,50,4,1.19861e-08,545475,470.098
4,50,4,104307,439995,385.753
5,50,4,1.80071e-10,232200,186.83
6,50,4,43.4473,29070,25.952
7,50,4,30.3579,168180,151.725
8,50,4,21.1386,273630,247.69
9,50,4,25.2022,63090,72.626
10,50,4,0.0246444,18120,16.416
11,50,4,88.5512,18090,16.311
12,50,4,115.415,17865,16.497
13,50,4,307.741,23820,21.965
14,50,4,5551.86,200565,181.006
15,50,4,5777.47,191415,171.417
16,50,4,3.58777,402555,390.981
17,50,4,133.317,38895,34.874
18,50,4,154.657,40050,36.572
19,50,4,4.85089,45360,40.319
20,50,4,22.1704,545475,479.114
21,50,4,836.442,13260,12.504
22,50,4,6129.33,260055,231.219
23,50,4,7851.05,144345,134.318
24,50,4,257.118,64935,78.378
25,50,4,322.407,96090,114.254
26,50,4,360.286,60315,73.995
27,50,4,984.262,75285,90.834
28,50,4,400,25725,25.185
1,50,5,2.28698e-15,12855,11.574
2,50,5,5.36149e-15,111765,96.524
3,50,5,2.60674e-11,545475,473.561
4,50,5,99147.3,102345,92.661
5,50,5,1.65455e-10,252405,203.642
6,50,5,43.4473,33795,30.163
7,50,5,7.38445,378405,326.823
8,50,5,21.1698,84585,78.014
9,50,5,26.9965,91245,104.591
10,50,5,5.9952e-15,19995,18.137
11,50,5,75.6168,21600,19.508
12,50,5,98.5008,29790,27.482
13,50,5,133.733,43530,40.14
14,50,5,13682.7,93975,85.341
15,50,5,14523.6,95685,87.583
16,50,5,3.82963,81945,81.861
17,50,5,425.442,134685,120.293
18,50,5,420.964,204255,184.197
19,50,5,7.78792,57900,51.471
20,50,5,22.626,12960,11.843
21,50,5,1122.19,30345,28.628
22,50,5,6956.66,54510,49.811
23,50,5,15843.1,89595,85.144
24,50,5,252.481,74670,89.469
25,50,5,309.179,83175,100.091
26,50,5,348.623,75210,92.077
27,50,5,814.377,83520,101.12
28,50,5,400,28620,28.041
1,50,6,3.24363e-15,12855,11.576
2,50,6,9.42033e-15,126765,109.396
3,50,6,5.21192e-10,545475,476.617
4,50,6,106848,39690,36.015
5,50,6,1.97387e-11,278190,226.786
6,50,6,49.1273,19110,17.098
7,50,6,17.047,545475,479.271
8,50,6,21.2447,37920,34.978
9,50,6,23.1272,76485,88.278
10,50,6,0.0197195,21240,19.252
11,50,6,81.5865,20325,18.365
12,50,6,436.815,6615,6.077
13,50,6,436.16,10245,9.43
14,50,6,14636.5,41490,37.669
15,50,6,14144.7,40905,37.488
16,50,6,4.01227,38100,37.979
17,50,6,472.625,8940,8.001
18,50,6,480.069,11715,10.674
19,50,6,33.6223,33195,29.881
20,50,6,22.8011,16215,14.809
21,50,6,1122.19,53160,50.104
22,50,6,15422.3,40695,37.733
23,50,6,15038.5,39075,37.174
24,50,6,264.312,89550,106.958
25,50,6,291.558,106215,127.12
26,50,6,358.563,79320,97.016
27,50,6,951.84,86505,104.836
28,50,6,400,29670,29.154
1,50,7,1.17207e-15,11535,10.331
2,50,7,2.11827e-15,112440,97.005
3,50,7,0.00576583,545475,465.872
4,50,7,1.60633e-14,73995,65.88
5,50,7,5.80541e-10,245910,197.163
6,50,7,43.4473,13200,11.885
7,50,7,36.895,68625,63.223
8,50,7,20.9915,238005,209.902
9,50,7,26.8898,54360,62.833
10,50,7,0.0320208,16635,15.061
11,50,7,153.423,17925,16.065
12,50,7,145.264,15900,14.683
13,50,7,278.555,20115,18.539
14,50,7,5227.75,57915,52.032
15,50,7,5684.44,193635,172.178
16,50,7,0.0207888,87555,85.417
17,50,7,154.716,28035,25.104
18,50,7,169.933,33300,30.345
19,50,7,4.14368,46845,41.117
20,50,7,25,300,0.252
21,50,7,836.442,12015,11.295
22,50,7,10972.5,199815,179.347
23,50,7,10756,219795,201.342
24,50,7,245.567,72690,86.96
25,50,7,298.857,90075,107.361
26,50,7,367.76,71910,87.554
27,50,7,729.114,60345,73.237
28,50,7,400,24315,23.802
1,50,8,8.02117e-16,11415,10.229
2,50,8,8.21519e-16,125790,108.356
3,50,8,0.0598069,545475,469.258
4,50,8,2.52613e-14,71760,64.041
5,50,8,1.6703e-09,215400,173.285
6,50,8,43.4473,30630,27.267
7,50,8,13.593,144795,130.217
8,50,8,20.3047,545475,456.254
9,50,8,26.3,62145,71.547
10,50,8,0.012321,16815,15.201
11,50,8,105.465,16470,14.777
12,50,8,129.344,15420,14.22
13,50,8,231.041,18435,17.007
14,50,8,4836.76,208695,183.208
15,50,8,6774.97,234690,206.437
16,50,8,0.0532756,545475,513.022
17,50,8,201.2,24630,22.042
