Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6090,0.325
1,10,2,100,8690,0.434
1,10,3,100,6180,0.354
1,10,4,100,6230,0.365
1,10,5,100,6340,0.364
1,10,6,100,6180,0.364
1,10,7,100,5810,0.332
1,10,8,100,9120,0.474
1,10,9,100,6260,0.364
1,10,10,100,10840,0.628
1,10,11,100,9700,0.531
1,10,12,100,6560,0.34
1,10,13,100,5700,0.289
1,10,14,100,5940,0.304
1,10,15,100,6230,0.321
1,10,16,100,7940,0.409
1,10,17,100,12910,-1.571
1,10,18,100,5790,0.292
1,10,19,100,6130,0.316
1,10,20,100,6460,0.331
1,10,21,100,6610,0.342
1,10,22,100,6360,0.333
1,10,23,100,5860,0.303
1,10,24,100,11420,0.58
1,10,25,100,6460,0.332
1,10,26,100,6280,0.318
1,10,27,100,5860,0.296
1,10,28,100,7710,0.396
1,10,29,100,6270,0.328
1,10,30,100,9060,0.467
1,10,31,100,5970,0.305
1,10,32,100,6020,0.302
1,10,33,100,6170,0.317
1,10,34,100,6150,0.319
1,10,35,100,5990,0.304
1,10,36,100,6350,0.336
1,10,37,100,9660,0.489
1,10,38,100,5690,0.288
1,10,39,100,6070,0.308
1,10,40,100,8120,0.424
1,10,41,100,5850,0.291
1,10,42,100,6100,0.311
1,10,43,100,5700,0.298
1,10,44,100,6170,0.314
1,10,45,100,6150,0.311
1,10,46,100,5890,0.315
1,10,47,100,5910,0.317
1,10,48,100,6240,0.317
1,10,49,100,5790,0.309
1,10,50,100,6030,0.341
1,10,51,100,5970,0.309
2,10,1,1268.88,4950,0.262
2,10,2,1479.26,3350,0.191
2,10,3,1549.46,5770,0.292
2,10,4,1686.12,3930,0.212
2,10,5,1429.57,4350,0.223
2,10,6,1265.65,4560,0.243
2,10,7,1362.55,5260,0.281
2,10,8,1685.48,3980,0.216
2,10,9,2270.23,4030,0.218
2,10,10,1750.61,9550,0.498
2,10,11,1919.85,5180,0.275
2,10,12,2727.74,27730,1.459
2,10,13,1944.98,5010,0.268
2,10,14,1463.15,3210,0.171
2,10,15,2782.92,3360,0.172
2,10,16,1138.65,5470,0.29
2,10,17,2489.64,3470,0.18
2,10,18,1859.14,8060,0.426
2,10,19,1947.55,4390,0.229
2,10,20,1652.01,6130,0.323
2,10,21,1575.33,5540,0.338
2,10,22,1708.8,12030,0.666
2,10,23,1744.26,3820,0.198
2,10,24,2005.81,4050,0.213
2,10,25,1933.93,6450,0.341
2,10,26,2427.06,3250,0.173
2,10,27,1771.06,3670,0.202
2,10,28,1601.06,3900,0.203
2,10,29,1742.72,14750,0.79
2,10,30,2455.95,27730,1.442
2,10,31,1699.98,8400,0.47
2,10,32,2210.28,3530,0.194
2,10,33,2184.41,3360,0.177
2,10,34,1756.48,3510,0.185
2,10,35,2139.05,6750,0.354
2,10,36,2527.08,3460,0.188
2,10,37,2255.22,3760,0.206
2,10,38,2311.89,3360,0.176
2,10,39,2078.52,4150,0.22
2,10,40,1146.89,4920,0.267
2,10,41,1853.03,8370,0.494
2,10,42,1730.32,4060,0.225
2,10,43,1740.05,3450,0.209
2,10,44,1891.51,3500,0.207
