Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6330,0.383
1,10,2,100,5810,0.34
1,10,3,100,8610,0.487
1,10,4,100,6010,0.315
1,10,5,100,9340,0.49
1,10,6,100,6210,0.342
1,10,7,100,6350,0.338
1,10,8,100,6200,0.32
1,10,9,100,6010,0.314
1,10,10,100,6110,0.329
1,10,11,100,6370,0.322
1,10,12,100,6580,0.351
1,10,13,100,6300,0.328
1,10,14,100,5970,0.299
1,10,15,100,6350,0.337
1,10,16,100,6100,0.305
1,10,17,100,13560,0.745
1,10,18,100,5890,0.32
1,10,19,100,11900,0.734
1,10,20,100,6190,0.327
1,10,21,100,5820,0.31
1,10,22,100,12890,0.701
1,10,23,100,6010,0.356
1,10,24,100,6180,0.345
1,10,25,100,6050,0.34
1,10,26,100,6510,0.362
1,10,27,100,5870,0.307
1,10,28,100,5900,0.317
1,10,29,100,5880,0.309
1,10,30,100,6280,0.333
1,10,31,100,5990,0.339
1,10,32,100,6170,0.315
1,10,33,100,5990,0.306
1,10,34,100,5990,0.296
1,10,35,100,5920,0.313
1,10,36,100,8040,0.406
1,10,37,100,5820,0.399
1,10,38,100,9520,0.481
1,10,39,100,6180,0.352
1,10,40,100,6310,0.365
1,10,41,100,5970,-0.865
1,10,42,100,5790,0.312
1,10,43,100,6090,0.313
1,10,44,100,6010,0.404
1,10,45,100,6070,0.376
1,10,46,100,5900,0.34
1,10,47,100,6040,0.33
1,10,48,100,5750,0.344
1,10,49,100,8430,0.514
1,10,50,100,9030,0.527
1,10,51,100,5600,0.339
2,10,1,2336.31,3550,0.204
2,10,2,1790.51,3620,0.254
2,10,3,2221.66,4300,0.251
2,10,4,1954.41,4120,0.241
2,10,5,2619.75,3250,0.198
2,10,6,1646.47,6130,0.343
2,10,7,2022.68,3920,0.336
2,10,8,2604.95,3440,0.18
2,10,9,2226.53,4330,0.225
2,10,10,2326.81,5140,0.288
2,10,11,2003.78,3800,0.207
2,10,12,2021.34,5070,0.271
2,10,13,2073.94,4750,0.255
2,10,14,1905.98,3790,0.201
2,10,15,1338.79,5260,0.288
2,10,16,2089.14,3520,0.201
2,10,17,2220.6,3700,0.216
2,10,18,1556.68,4370,0.28
2,10,19,2059.25,4210,0.24
2,10,20,1670.29,4540,0.254
2,10,21,2267.26,3820,0.228
2,10,22,2066.02,3810,0.225
2,10,23,2166.97,4180,0.25
2,10,24,1863.18,4410,0.237
2,10,25,1821.12,4510,0.269
2,10,26,2104.28,5050,0.298
2,10,27,1691.53,5090,0.284
2,10,28,2054.72,5590,0.293
2,10,29,1854.14,4480,0.276
2,10,30,1592.77,4320,0.244
2,10,31,2420.33,3890,0.225
2,10,32,2244.32,4120,0.223
2,10,33,2238.66,6740,0.389
2,10,34,1780.32,3840,0.207
2,10,35,1266.78,8900,0.702
2,10,36,1617.79,7750,0.438
2,10,37,2119.48,3710,0.199
2,10,38,1265.58,4350,0.237
2,10,39,2064.45,4440,0.229
2,10,40,1696.51,3420,0.176
2,10,41,2124.96,4360,0.235
2,10,42,1278.47,5780,0.309
2,10,43,2069.76,13500,0.774
2,10,44,2263.95,5300,0.311
2,10,45,1654.82,5610,0.337
2,10,46,1617.38,3870,0.219
2,10,47,1893.23,3720,0.189
2,10,48,1258.43,4620,0.247
2,10,49,2359.29,3840,0.225
2,10,50,2181.54,3500,0.219
2,10,51,1912.59,12960,0.752
3,10,1,722.641,4520,0.263
3,10,2,724.506,5060,0.302
3,10,3,728.004,3900,0.233
3,10,4,721.391,3660,0.219
3,10,5,717.783,3920,0.22
3,10,6,722.092,3410,0.196
3,10,7,716.057,4550,0.275
3,10,8,716.265,4740,0.516
3,10,9,724.94,5420,0.336
3,10,10,716.007,6130,0.349
3,10,11,720.191,4850,0.245
3,10,12,716.268,3440,0.174
3,10,13,718.845,4620,0.238
3,10,14,732.441,4230,0.217
3,10,15,719.285,4780,0.258
3,10,16,723.241,4260,0.219
3,10,17,727.687,3810,0.197
3,10,18,722.613,4400,0.233
3,10,19,722.797,4500,0.254
3,10,20,717.286,3890,0.214
3,10,21,721.444,3940,0.206
3,10,22,725.813,4430,0.243
3,10,23,735.332,3860,0.223
3,10,24,723.958,3920,0.233
3,10,25,729.8,4320,0.255
3,10,26,728.222,4170,0.236
3,10,27,722.223,4290,0.241
3,10,28,724.27,3490,0.212
3,10,29,718.814,4350,0.257
3,10,30,731.446,3670,0.218
3,10,31,719.091,3810,0.222
3,10,32,729.532,3870,0.224
3,10,33,717.694,4130,0.225
3,10,34,721.158,5920,0.3
3,10,35,722.278,3890,0.214
3,10,36,720.756,4490,0.232
3,10,37,723.386,4030,0.382
3,10,38,728.764,4560,0.237
3,10,39,724.08,5060,0.267
3,10,40,718.5,4410,0.236
3,10,41,726.34,3770,0.215
3,10,42,723.563,3400,0.189
3,10,43,715.632,3890,0.209
3,10,44,716.058,4790,0.251
3,10,45,731.178,3550,0.185
3,10,46,720.844,3920,0.209
3,10,47,717.005,3900,0.204
3,10,48,732.827,4370,0.226
3,10,49,717.847,4530,0.23
3,10,50,725.135,3710,0.185
3,10,51,714.606,4290,0.228
4,10,1,1901.25,4940,0.25
4,10,2,1901.72,8140,0.424
4,10,3,1901.18,7810,0.405
4,10,4,1901.01,4710,0.237
4,10,5,1901.11,5990,-0.904
4,10,6,1900.56,5880,0.301
4,10,7,1901.09,5250,0.274
4,10,8,1901.1,5260,0.273
4,10,9,1901.87,4390,0.225
4,10,10,1900.78,6260,0.313
4,10,11,1900.9,5720,0.439
4,10,12,1902.13,4810,0.251
4,10,13,1901.98,5690,0.311
4,10,14,1902.2,4670,0.242
4,10,15,1900.9,5730,0.3
4,10,16,1901.1,6090,0.309
4,10,17,1901.3,8870,0.441
4,10,18,1900.98,5630,0.289
4,10,19,1901,8070,0.412
4,10,20,1901.07,6330,0.336
4,10,21,1901.11,4500,0.226
4,10,22,1901.01,5720,0.291
4,10,23,1902.05,6330,0.322
4,10,24,1900.92,5690,0.291
4,10,25,1900.82,5610,0.281
4,10,26,1900.94,5610,0.279
4,10,27,1901.59,5490,0.284
4,10,28,1901.04,6040,0.308
4,10,29,1901.06,5770,0.289
4,10,30,1900.78,7100,0.417
4,10,31,1901.04,5690,0.334
4,10,32,1900.44,6410,0.54
4,10,33,1900.79,4700,0.259
4,10,34,1900.83,4850,0.265
4,10,35,1900.61,7320,0.399
4,10,36,1901.44,6170,0.323
4,10,37,1900.85,6080,0.323
4,10,38,1901.34,5230,0.276
4,10,39,1900.77,7310,0.396
4,10,40,1900.78,6570,0.35
4,10,41,1901.28,5050,0.269
4,10,42,1900.35,4920,0.27
4,10,43,1900.64,4960,0.268
4,10,44,1900.74,5160,0.286
4,10,45,1901.65,5160,0.289
4,10,46,1900.68,5690,0.316
4,10,47,1900.74,5130,0.302
