Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6900,0.44
1,10,2,100,6280,0.44
1,10,3,100,7340,0.485
1,10,4,100,7090,0.456
1,10,5,100,6570,0.434
1,10,6,100,6550,0.413
1,10,7,100,6560,0.388
1,10,8,100,6500,0.377
1,10,9,100,13850,0.811
1,10,10,100,12310,0.724
1,10,11,100,6550,0.401
1,10,12,100,6600,0.385
1,10,13,100,6280,0.367
1,10,14,100,11400,0.662
1,10,15,100,7020,0.419
1,10,16,100,6890,0.407
1,10,17,100,6730,0.388
1,10,18,100,11350,0.646
1,10,19,100,6460,0.376
1,10,20,100,6840,0.39
1,10,21,100,6270,0.365
1,10,22,100,6540,0.386
1,10,23,100,6970,0.412
1,10,24,100,7130,0.412
1,10,25,100,6740,0.405
1,10,26,100,6650,0.38
1,10,27,100,6590,0.382
1,10,28,100,6440,0.387
1,10,29,100,6630,0.383
1,10,30,100,6530,0.375
1,10,31,100,8670,0.498
1,10,32,100,8750,0.493
1,10,33,100,6940,0.387
1,10,34,100,6690,0.363
1,10,35,100,6490,0.343
1,10,36,100,9520,0.516
1,10,37,100,6950,0.375
1,10,38,100,7660,-1.901
1,10,39,100,6530,0.36
1,10,40,100,6570,0.357
1,10,41,100,6850,0.378
1,10,42,100,6900,0.373
1,10,43,100,6710,0.367
1,10,44,100,7170,0.386
1,10,45,100,6680,0.364
1,10,46,100,7150,0.401
1,10,47,100,6510,0.349
1,10,48,100,10860,0.585
1,10,49,100,6930,0.406
1,10,50,100,6660,0.375
1,10,51,100,6360,0.342
2,10,1,1489.93,4810,0.268
FATAL - error in shifting pwq bounds in dimension 4: lb=-100 / ub=100 / al=5.05 / au=5.05 / x_s=-1.842e+12 / x=9.39627e+11 / xlow=-210.1 / xup=210.1 / r=420.2
