Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6050,0.328
1,10,2,100,5900,0.312
1,10,3,100,5950,0.324
1,10,4,100,5970,0.326
1,10,5,100,6160,0.328
1,10,6,100,6050,0.327
1,10,7,100,6120,0.327
1,10,8,100,6050,0.333
1,10,9,100,6380,0.342
1,10,10,100,6030,0.326
1,10,11,100,6480,0.345
1,10,12,100,6230,0.331
1,10,13,100,6340,0.342
1,10,14,100,6160,0.337
1,10,15,100,6500,0.35
1,10,16,100,6820,0.367
1,10,17,100,8980,0.476
1,10,18,100,5980,0.322
1,10,19,100,5920,0.329
1,10,20,100,6290,0.336
1,10,21,100,5980,0.318
1,10,22,100,6150,0.334
1,10,23,100,7440,0.388
1,10,24,100,6180,0.33
1,10,25,100,6350,0.336
1,10,26,100,6310,0.333
1,10,27,100,12270,0.661
1,10,28,100,5880,0.309
1,10,29,100,6080,0.325
1,10,30,100,6190,0.329
1,10,31,100,6380,0.347
1,10,32,100,6140,0.341
1,10,33,100,5780,0.317
1,10,34,100,5740,0.308
1,10,35,100,6020,0.322
1,10,36,100,6270,0.331
1,10,37,100,5990,0.319
1,10,38,100,6250,0.333
1,10,39,100,6260,0.34
1,10,40,100,11170,-0.647
1,10,41,100,6090,0.322
1,10,42,100,6080,0.32
1,10,43,100,6980,0.374
1,10,44,100,6110,0.323
1,10,45,100,6200,0.332
1,10,46,100,11700,0.622
1,10,47,100,7450,0.391
1,10,48,100,6560,0.357
1,10,49,100,6850,0.37
1,10,50,100,6510,0.385
1,10,51,100,6410,0.364
2,10,1,2190.1,3510,0.205
2,10,2,1707.52,3820,0.209
2,10,3,2752.18,4330,0.228
2,10,4,2194.51,4540,0.251
2,10,5,1577.62,3680,0.207
2,10,6,1752.58,4960,0.273
2,10,7,1505.37,4510,0.254
2,10,8,2447.9,3290,0.179
2,10,9,1581.85,4330,0.237
2,10,10,1260.63,21360,1.143
2,10,11,1350.37,3960,0.21
2,10,12,2178.28,15490,0.82
2,10,13,1807.69,3820,0.203
2,10,14,1652.8,3480,0.192
2,10,15,1702,5020,0.279
2,10,16,1803.79,3710,0.202
2,10,17,2359.6,3420,0.184
2,10,18,1467.34,10560,0.593
2,10,19,1467.42,5580,0.312
2,10,20,2048.13,3910,0.215
2,10,21,2211.9,4480,0.248
2,10,22,1820.48,3440,0.198
2,10,23,2277.5,3880,0.217
2,10,24,1369.09,5300,0.293
2,10,25,2242.1,7090,0.403
2,10,26,2588.9,3560,0.198
2,10,27,2646.99,3400,0.189
2,10,28,1577.13,4610,0.252
2,10,29,2250.56,3480,0.19
2,10,30,1357.05,3790,0.211
2,10,31,2084.92,3550,0.193
2,10,32,1388.06,4860,0.265
2,10,33,1781.54,5340,0.301
2,10,34,1683.74,4580,0.253
2,10,35,2308.76,3750,0.205
2,10,36,1716.32,7510,0.416
2,10,37,1932.76,3840,0.213
