Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6330,0.357
1,10,2,100,5810,0.333
1,10,3,100,8610,0.507
1,10,4,100,6010,0.343
1,10,5,100,9340,0.51
1,10,6,100,6210,0.361
1,10,7,100,6350,0.359
1,10,8,100,5690,0.377
1,10,9,100,6260,0.351
1,10,10,100,5740,0.31
1,10,11,100,5730,0.303
1,10,12,100,10610,0.567
1,10,13,100,13020,0.729
1,10,14,100,6490,0.435
1,10,15,100,9650,0.54
1,10,16,100,5820,-0.898
1,10,17,100,6000,0.334
1,10,18,100,6230,0.381
1,10,19,100,5860,0.352
1,10,20,100,5730,0.328
1,10,21,100,11160,0.709
1,10,22,100,5890,0.326
1,10,23,100,12200,0.661
1,10,24,100,6470,0.344
1,10,25,100,6440,0.348
1,10,26,100,6280,0.345
1,10,27,100,6080,0.336
1,10,28,100,6010,0.4
1,10,29,100,6240,0.36
1,10,30,100,6160,0.344
1,10,31,100,6240,0.351
1,10,32,100,6290,0.358
1,10,33,100,9800,0.545
1,10,34,100,5940,0.332
1,10,35,100,5880,0.359
1,10,36,100,6110,0.419
1,10,37,100,5910,0.349
1,10,38,100,6280,0.363
1,10,39,100,6320,0.367
1,10,40,100,6290,0.349
1,10,41,100,6020,0.328
1,10,42,100,5910,0.32
1,10,43,100,8840,0.565
1,10,44,100,6040,0.331
1,10,45,100,9880,0.57
1,10,46,100,6350,0.375
1,10,47,100,5850,0.344
1,10,48,100,5790,0.315
1,10,49,100,5970,0.331
1,10,50,100,6130,0.34
1,10,51,100,13320,0.738
2,10,1,2111.03,4290,0.237
2,10,2,2807.79,4120,0.232
2,10,3,1483.59,5020,0.278
2,10,4,1219.33,3580,0.22
2,10,5,1711.01,3520,0.217
2,10,6,1352.12,4240,0.253
2,10,7,1925.69,5570,0.313
2,10,8,1952.04,3590,0.197
2,10,9,2327.28,4280,0.252
2,10,10,1432.93,6240,0.396
2,10,11,2012.92,3460,0.191
2,10,12,1903.3,4630,0.26
2,10,13,1699.77,3840,0.207
2,10,14,1569.59,5450,0.343
2,10,15,1677.07,3660,0.202
2,10,16,1675.36,5410,0.338
2,10,17,2104.05,9080,0.539
2,10,18,2258.58,3420,0.201
2,10,19,1820.08,3620,0.218
2,10,20,2624.2,3340,0.192
2,10,21,2353.62,14210,0.878
2,10,22,1981.39,4410,0.251
2,10,23,2398.17,3950,0.224
2,10,24,1502.26,5070,0.28
2,10,25,1812.7,5330,0.344
2,10,26,1324.85,3540,0.212
2,10,27,2122.88,3240,0.188
2,10,28,2617.98,4120,0.234
2,10,29,1815.08,3720,0.208
2,10,30,1609,3910,0.268
2,10,31,1843.38,11210,0.651
2,10,32,1559.14,6570,0.366
2,10,33,2427.95,13580,0.746
2,10,34,2097.63,3280,0.177
2,10,35,1495.69,3040,0.162
2,10,36,1964.11,27730,1.586
2,10,37,2022.91,3960,0.21
2,10,38,1954.1,3610,0.195
2,10,39,1895.56,6770,0.369
2,10,40,1499.7,3510,0.186
2,10,41,1817.54,4720,0.254
2,10,42,1755.79,3530,0.185
2,10,43,1805.31,5200,0.278
2,10,44,2202.84,3420,0.23
2,10,45,2145.74,4100,0.226
2,10,46,2050.7,3590,0.192
2,10,47,1566.61,4320,0.232
2,10,48,2193.11,13730,0.763
2,10,49,1367.82,4260,0.241
2,10,50,1493.98,3540,0.194
2,10,51,2482.86,3920,0.218
3,10,1,723.22,3520,0.189
3,10,2,721.595,4750,0.261
3,10,3,717.191,3760,0.24
3,10,4,723.368,3970,0.212
3,10,5,723.625,3740,0.198
3,10,6,723.821,3790,0.205
3,10,7,714.035,3710,0.202
3,10,8,717.445,3800,0.201
3,10,9,728.992,3900,0.212
3,10,10,716.578,4320,0.232
3,10,11,727.052,5380,-0.939
3,10,12,720.218,4640,0.256
3,10,13,717.013,4080,0.222
3,10,14,734.284,3600,0.193
3,10,15,719.328,4090,0.256
3,10,16,727.944,3760,0.224
3,10,17,721.82,4110,0.217
3,10,18,726.051,3920,0.219
3,10,19,720.131,4880,0.262
3,10,20,709.567,3580,0.187
3,10,21,730.109,4080,0.214
3,10,22,723.33,4980,0.268
3,10,23,721.398,4210,0.227
3,10,24,727.387,4080,0.212
3,10,25,720.167,3800,0.202
3,10,26,726.886,4060,0.214
3,10,27,723.626,3890,0.207
3,10,28,727.439,3920,0.25
3,10,29,735.853,3670,0.196
3,10,30,716.958,3820,0.198
3,10,31,724.754,5540,0.294
3,10,32,730.976,4580,0.253
3,10,33,725.944,3530,0.185
3,10,34,715.808,3640,0.194
3,10,35,730.513,5080,0.271
3,10,36,717.346,3730,0.214
3,10,37,724.198,4440,0.235
3,10,38,726.885,3720,0.197
3,10,39,724.686,3550,0.189
3,10,40,726.704,3630,0.229
3,10,41,726.953,4570,0.242
3,10,42,726.177,3750,0.204
3,10,43,723.144,3860,0.202
3,10,44,727.838,4240,0.227
3,10,45,732.092,3930,0.208
3,10,46,722.041,4650,0.253
3,10,47,720.133,4910,0.263
3,10,48,726.109,4810,0.256
3,10,49,722.076,4780,0.255
3,10,50,720.687,5990,0.319
3,10,51,728.403,4450,0.293
4,10,1,1900.8,5340,0.29
4,10,2,1901.72,4880,0.263
4,10,3,1901.04,7080,0.374
4,10,4,1902.38,4660,0.249
4,10,5,1901.24,5250,0.277
4,10,6,1900.92,5990,0.313
4,10,7,1900.98,5290,0.281
4,10,8,1901.28,4980,0.276
4,10,9,1900.9,6920,0.406
4,10,10,1900.82,5270,0.277
4,10,11,1901.41,4770,0.251
4,10,12,1900.89,5680,0.299
4,10,13,1901.73,5100,0.268
4,10,14,1901.06,4700,0.249
4,10,15,1900.32,4420,0.235
4,10,16,1901.03,5200,0.282
4,10,17,1902.04,4330,0.248
4,10,18,1900.46,7500,0.4
4,10,19,1901.1,5240,0.314
4,10,20,1900.56,5790,0.309
4,10,21,1901.22,5990,0.319
4,10,22,1900.67,4840,0.253
4,10,23,1901.85,5800,0.311
4,10,24,1900.58,4950,0.266
4,10,25,1900.77,5000,0.264
4,10,26,1901.39,7080,0.376
4,10,27,1901.59,4620,0.243
4,10,28,1901.14,6090,0.364
4,10,29,1901.64,4660,0.249
4,10,30,1900.71,5750,0.307
4,10,31,1900.85,7080,0.387
4,10,32,1900.43,5350,0.28
