Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,12030,0.651
1,10,2,100,9260,0.529
1,10,3,100,6490,0.35
1,10,4,100,6290,0.335
1,10,5,100,5700,0.293
1,10,6,100,6140,0.308
1,10,7,100,5890,0.309
1,10,8,100,6210,0.373
1,10,9,100,6250,0.356
1,10,10,100,5910,0.341
1,10,11,100,10450,0.557
1,10,12,100,6160,0.311
1,10,13,100,7140,0.389
1,10,14,100,6580,0.381
1,10,15,100,5830,0.331
1,10,16,100,5840,0.35
1,10,17,100,6140,0.349
1,10,18,100,5800,0.332
1,10,19,100,6270,0.557
1,10,20,100,6050,0.332
1,10,21,100,5680,0.304
1,10,22,100,5800,0.347
1,10,23,100,5970,0.368
1,10,24,100,5660,0.33
1,10,25,100,6410,0.367
1,10,26,100,5970,0.424
1,10,27,100,6090,0.357
1,10,28,100,5940,0.342
1,10,29,100,6230,0.351
1,10,30,100,6100,0.351
1,10,31,100,5500,0.315
1,10,32,100,6390,0.362
1,10,33,100,6270,0.357
1,10,34,100,6060,0.339
1,10,35,100,6150,0.364
1,10,36,100,6020,0.345
1,10,37,100,5820,0.323
1,10,38,100,6170,0.33
1,10,39,100,6290,0.467
1,10,40,100,6130,0.322
1,10,41,100,6290,0.341
1,10,42,100,6000,0.311
1,10,43,100,5890,0.31
1,10,44,100,5780,0.311
1,10,45,100,11200,0.61
1,10,46,100,10020,0.528
1,10,47,100,6010,0.321
1,10,48,100,9630,0.506
1,10,49,100,6010,0.317
1,10,50,100,6240,0.33
1,10,51,100,6050,0.316
2,10,1,1850.7,4030,0.22
2,10,2,1801.05,27730,1.47
2,10,3,1880.46,5300,-0.931
2,10,4,1245.25,14340,0.961
2,10,5,1872.32,7560,0.41
2,10,6,1607.87,4080,0.22
2,10,7,1838.06,4570,0.249
2,10,8,1702.6,7160,0.398
2,10,9,1103.79,3280,0.177
2,10,10,1228.75,3590,0.194
2,10,11,1367.47,6490,0.357
2,10,12,2605.45,3490,0.187
2,10,13,1594.41,14290,0.794
2,10,14,1593.78,3780,0.213
2,10,15,2395.98,4160,0.222
2,10,16,1773.69,3780,0.212
2,10,17,2120.64,4010,0.217
2,10,18,2061.51,5510,0.294
2,10,19,1763.31,3570,0.193
2,10,20,1773.28,3330,0.186
2,10,21,1974.33,5190,0.293
2,10,22,1756.49,7820,0.437
2,10,23,1564.22,4360,0.24
2,10,24,2006.87,3750,0.203
2,10,25,1469.79,4090,0.219
2,10,26,2570.51,4040,0.213
2,10,27,2448.1,13140,0.843
2,10,28,1336.55,7060,0.385
2,10,29,1794.41,4150,0.228
2,10,30,1816.6,14760,0.801
2,10,31,1534.65,3980,0.212
2,10,32,1674.18,11110,0.609
2,10,33,2223.49,3530,0.19
2,10,34,1437.5,5080,0.279
2,10,35,1225.39,4190,0.235
2,10,36,1605.86,5080,0.275
2,10,37,2141.66,7020,0.384
2,10,38,2201.96,3160,0.167
2,10,39,1885.09,4230,0.226
2,10,40,1889.89,3900,0.214
2,10,41,2174.41,16300,0.886
2,10,42,1485.46,5020,0.268
2,10,43,1718.95,3670,0.193
2,10,44,1462.4,4590,0.249
2,10,45,1606.6,3760,0.202
2,10,46,1895.54,4480,0.391
2,10,47,1962.51,4850,0.272
2,10,48,1520.26,3620,0.199
2,10,49,1973.75,5950,0.328
2,10,50,1944.29,3890,0.212
2,10,51,2622.47,12430,0.662
3,10,1,727.697,4200,0.227
3,10,2,717.353,3990,0.218
3,10,3,725.189,5130,0.271
3,10,4,723.075,5830,0.323
3,10,5,724.847,3720,0.197
3,10,6,728.719,5730,0.304
3,10,7,723.743,4420,0.233
3,10,8,732.917,3610,0.219
3,10,9,719.093,4080,0.211
3,10,10,725.746,3820,0.201
3,10,11,721.079,4090,0.22
3,10,12,719.003,3380,0.182
3,10,13,721.252,4040,0.217
3,10,14,719.076,4070,0.219
3,10,15,720.753,4530,0.243
3,10,16,726.914,4650,0.242
3,10,17,719.747,4960,0.264
3,10,18,733.909,4030,0.215
3,10,19,715.753,3850,0.204
3,10,20,725.212,4210,0.223
3,10,21,726.746,5110,0.273
3,10,22,715.062,4400,0.382
3,10,23,735.414,4200,0.227
3,10,24,719.14,3940,0.212
3,10,25,733.55,4260,0.228
3,10,26,722.355,3740,0.199
3,10,27,716.077,4550,0.246
3,10,28,728.247,3940,0.211
3,10,29,723.872,3430,0.181
3,10,30,719.912,4390,0.24
3,10,31,721.806,3830,0.212
3,10,32,723.853,3870,0.209
3,10,33,718.699,4400,0.244
3,10,34,722.078,4270,0.23
3,10,35,722.093,4680,0.252
3,10,36,722.541,5910,0.31
3,10,37,722.343,3930,0.213
3,10,38,716.69,3460,0.185
3,10,39,722.353,4950,0.265
3,10,40,741.807,3790,0.203
3,10,41,729.077,5280,0.286
3,10,42,724.852,3900,0.209
3,10,43,725.322,6010,0.33
3,10,44,722.159,3740,0.206
3,10,45,719.94,3750,0.196
3,10,46,719.234,4970,0.268
3,10,47,726.774,5270,0.284
3,10,48,717.889,4180,0.227
3,10,49,727.95,4210,0.228
3,10,50,728.447,5020,0.414
3,10,51,719.196,3400,0.183
4,10,1,1900.79,5840,0.317
4,10,2,1900.74,7720,0.406
4,10,3,1900.82,7560,0.407
4,10,4,1901.03,5820,0.309
4,10,5,1901.28,7340,0.393
4,10,6,1900.95,5440,0.287
4,10,7,1901.11,6050,0.317
4,10,8,1901.33,6070,0.324
4,10,9,1900.74,5120,0.273
4,10,10,1900.79,5520,0.293
4,10,11,1901.37,5440,0.286
4,10,12,1900.75,4870,0.256
4,10,13,1900.71,8990,-0.754
4,10,14,1900.46,5240,0.292
4,10,15,1900.87,6760,0.363
4,10,16,1901.86,4530,0.246
4,10,17,1900.82,4990,0.265
4,10,18,1901.04,5310,0.284
4,10,19,1901.2,4380,0.236
4,10,20,1901.66,4990,0.265
4,10,21,1901.53,4650,0.384
4,10,22,1900.67,7010,0.375
4,10,23,1901.53,4880,0.266
4,10,24,1901.13,6430,0.345
4,10,25,1900.6,5050,0.272
4,10,26,1900.98,4920,0.258
4,10,27,1901.11,5130,0.275
4,10,28,1900.97,5750,0.312
4,10,29,1900.38,7240,0.394
4,10,30,1900.82,5060,0.27
4,10,31,1901.2,6040,0.329
4,10,32,1901.12,5960,0.371
4,10,33,1901.03,5650,0.299
4,10,34,1901.56,4580,0.252
4,10,35,1901.85,6720,0.364
4,10,36,1900.29,4470,0.243
4,10,37,1901.52,4580,0.259
4,10,38,1901.05,5680,0.307
4,10,39,1901.64,5090,0.272
4,10,40,1900.85,5350,0.287
4,10,41,1900.84,5010,0.264
4,10,42,1901.04,7860,0.413
4,10,43,1900.59,4930,0.413
4,10,44,1902.12,5780,0.312
4,10,45,1900.59,5210,0.289
4,10,46,1900.98,4770,0.266
4,10,47,1900.78,4980,0.271
4,10,48,1901.29,4950,0.267
4,10,49,1901.11,5240,0.285
4,10,50,1900.71,5810,0.317
4,10,51,1900.8,7230,0.38
5,10,1,1820.11,7300,0.393
5,10,2,2196.07,7110,0.375
5,10,3,2264.51,7330,0.39
5,10,4,2438.8,14390,0.762
