Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,12310,0.79
1,10,2,100,6900,0.412
1,10,3,100,7090,0.433
1,10,4,100,6650,0.449
1,10,5,100,6650,0.421
1,10,6,100,7070,0.517
1,10,7,100,6830,0.462
1,10,8,100,7020,0.471
1,10,9,100,11360,0.757
1,10,10,100,6600,0.42
1,10,11,100,6700,0.429
1,10,12,100,8630,0.549
1,10,13,100,6550,0.448
1,10,14,100,7210,0.495
1,10,15,100,7650,0.506
1,10,16,100,12870,0.803
1,10,17,100,10440,0.653
1,10,18,100,6970,0.454
1,10,19,100,6800,0.419
1,10,20,100,9450,0.577
1,10,21,100,11510,0.707
1,10,22,100,6910,0.424
1,10,23,100,6790,0.421
1,10,24,100,6810,0.426
1,10,25,100,7470,0.433
1,10,26,100,6790,0.393
1,10,27,100,6860,-1.635
1,10,28,100,7210,0.428
1,10,29,100,6710,0.379
1,10,30,100,6510,0.367
1,10,31,100,7330,0.422
1,10,32,100,6430,0.364
1,10,33,100,6850,0.388
1,10,34,100,6770,0.399
1,10,35,100,7170,0.472
1,10,36,100,8490,0.593
1,10,37,100,6610,0.41
1,10,38,100,6900,0.43
1,10,39,100,6820,0.425
1,10,40,100,7260,0.428
1,10,41,100,12990,0.75
1,10,42,100,7330,0.428
1,10,43,100,7010,0.41
1,10,44,100,6970,0.405
1,10,45,100,7170,0.44
1,10,46,100,6460,0.384
1,10,47,100,10850,0.634
1,10,48,100,6840,0.403
1,10,49,100,15160,0.847
1,10,50,100,6610,0.362
1,10,51,100,7170,0.395
2,10,1,1598.19,5180,0.317
2,10,2,1827.83,5800,0.355
FATAL - error in shifting pwq bounds in dimension 4: lb=-100 / ub=100 / al=5.05 / au=5.05 / x_s=-1.86097e+12 / x=9.586e+11 / xlow=-210.1 / xup=210.1 / r=420.2
