Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,12130,0.608
1,10,2,100,5990,0.301
1,10,3,100,5910,0.297
1,10,4,100,6230,0.327
1,10,5,100,6480,0.333
1,10,6,100,6300,0.397
1,10,7,100,10490,0.631
1,10,8,100,5910,0.33
1,10,9,100,10720,0.591
1,10,10,100,6240,0.35
1,10,11,100,6030,0.329
1,10,12,100,6250,0.355
1,10,13,100,6690,0.377
1,10,14,100,6260,0.348
1,10,15,100,6140,0.333
1,10,16,100,9170,0.547
1,10,17,100,6360,0.35
1,10,18,100,10240,0.563
1,10,19,100,6430,0.37
1,10,20,100,6010,0.337
1,10,21,100,8750,0.484
1,10,22,100,9720,0.529
1,10,23,100,12420,0.696
1,10,24,100,6230,0.323
1,10,25,100,6360,0.341
1,10,26,100,5950,0.329
1,10,27,100,6160,0.345
1,10,28,100,6290,0.361
1,10,29,100,7350,0.442
1,10,30,100,5920,0.332
1,10,31,100,5780,0.314
1,10,32,100,6170,0.347
1,10,33,100,5920,0.323
1,10,34,100,6140,0.342
1,10,35,100,10990,0.581
1,10,36,100,6270,0.318
1,10,37,100,8870,0.459
1,10,38,100,13310,0.683
1,10,39,100,9500,0.485
1,10,40,100,6260,0.324
1,10,41,100,6170,0.316
1,10,42,100,6480,0.334
1,10,43,100,6130,0.316
1,10,44,100,5780,0.294
1,10,45,100,7600,0.389
1,10,46,100,6040,0.304
1,10,47,100,6160,0.323
1,10,48,100,6020,0.314
1,10,49,100,6330,0.331
1,10,50,100,8740,0.455
1,10,51,100,8910,0.459
2,10,1,1931.58,4370,0.223
2,10,2,2371.62,4750,0.249
2,10,3,2017.08,3490,0.184
2,10,4,1901.97,3640,0.187
2,10,5,1993.41,4130,0.214
2,10,6,2067.15,4310,0.23
2,10,7,2004.81,4720,0.244
2,10,8,1534.4,4160,0.222
2,10,9,2489.9,27730,0.201
2,10,10,1499.5,3450,0.18
2,10,11,2700.4,3260,0.171
2,10,12,1845.39,3500,0.183
2,10,13,2257.87,3370,0.177
2,10,14,1925.98,4790,0.255
2,10,15,1902.01,3730,0.191
2,10,16,2070.31,3600,0.189
2,10,17,1463.67,3790,0.199
2,10,18,1906.97,4470,0.228
2,10,19,2096.1,4650,0.254
2,10,20,1984.52,3810,0.213
2,10,21,1470.3,3700,0.208
2,10,22,1926.82,4190,0.22
2,10,23,2441.83,3620,0.194
2,10,24,1765.67,6120,0.325
2,10,25,2967.63,4170,0.213
2,10,26,2010.95,14670,0.763
2,10,27,1941.9,3940,0.205
2,10,28,1699.31,16090,0.841
2,10,29,2120.89,4180,0.218
2,10,30,1273.42,4730,0.248
2,10,31,2387.78,12970,0.675
2,10,32,1654.7,4440,0.232
2,10,33,2165.02,4750,0.258
2,10,34,2211,4030,0.228
2,10,35,1911.52,4780,0.246
2,10,36,2266.95,4290,0.225
2,10,37,1952.09,27730,1.454
2,10,38,1593.72,27730,1.449
2,10,39,2159.02,8110,0.436
2,10,40,2156.03,3530,0.192
2,10,41,2160.8,4100,0.213
2,10,42,2387.86,3540,0.187
2,10,43,1365.48,3410,0.184
2,10,44,2179.33,3610,0.188
2,10,45,2031.72,3350,0.175
2,10,46,1930.03,3890,0.203
2,10,47,1656.59,4000,0.212
2,10,48,1533.02,3650,0.19
2,10,49,1572.55,4660,0.244
2,10,50,2399.94,6730,0.355
2,10,51,2609.03,3160,0.167
3,10,1,717.881,4300,0.22
3,10,2,728.219,4310,0.232
3,10,3,719.666,4710,0.241
3,10,4,720.589,3600,0.187
3,10,5,721.444,5030,0.258
3,10,6,743.482,3600,0.184
3,10,7,731.352,4690,0.241
3,10,8,720.601,4070,0.211
3,10,9,723.278,3820,0.192
3,10,10,726.944,5300,0.288
3,10,11,730.109,4050,0.21
3,10,12,722.294,4680,0.248
3,10,13,721.499,3910,0.203
3,10,14,720.426,4350,0.222
3,10,15,722.916,4350,0.225
3,10,16,723.443,3940,0.202
3,10,17,718.642,4220,0.223
3,10,18,726.86,4390,0.226
3,10,19,715.199,3780,0.191
3,10,20,733.281,4240,0.22
3,10,21,715.095,3570,0.178
3,10,22,729.914,4070,0.212
3,10,23,727.086,3920,0.21
3,10,24,717.35,4290,0.218
3,10,25,733.772,6270,0.323
3,10,26,732.233,4090,0.208
3,10,27,714.479,5350,0.277
3,10,28,716.979,4130,0.209
3,10,29,729.113,4490,0.234
3,10,30,717.511,3870,0.198
3,10,31,728.545,4120,0.209
3,10,32,721.536,4930,0.255
3,10,33,723.286,4460,0.236
3,10,34,718.667,3670,0.19
3,10,35,742.141,3660,0.192
3,10,36,720.68,3560,0.189
3,10,37,712.355,3960,0.214
3,10,38,714.759,3490,0.215
3,10,39,715.42,6000,0.345
3,10,40,721.963,3900,0.202
3,10,41,729.772,4620,0.242
3,10,42,727.212,4870,0.269
