Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,12030,0.632
1,10,2,100,9260,0.492
1,10,3,100,6490,0.34
1,10,4,100,6290,0.337
1,10,5,100,5700,0.303
1,10,6,100,6140,0.322
1,10,7,100,6050,0.361
1,10,8,100,6070,0.326
1,10,9,100,6150,0.33
1,10,10,100,7060,0.386
1,10,11,100,11200,-0.632
1,10,12,100,6860,0.359
1,10,13,100,12970,0.729
1,10,14,100,5850,0.311
1,10,15,100,6280,0.329
1,10,16,100,6050,0.317
1,10,17,100,7810,0.41
1,10,18,100,6160,0.318
1,10,19,100,6020,0.321
1,10,20,100,6130,0.322
1,10,21,100,6640,0.381
1,10,22,100,6130,0.322
1,10,23,100,9520,0.494
1,10,24,100,5900,0.306
1,10,25,100,7130,0.381
1,10,26,100,9600,0.512
1,10,27,100,14980,0.818
1,10,28,100,6170,0.323
1,10,29,100,6420,0.338
1,10,30,100,6260,0.342
1,10,31,100,5930,0.311
1,10,32,100,5720,0.296
1,10,33,100,5880,0.308
1,10,34,100,5710,0.301
1,10,35,100,6130,0.36
1,10,36,100,6090,0.324
1,10,37,100,10760,0.568
1,10,38,100,6160,0.325
1,10,39,100,5910,0.311
1,10,40,100,7770,0.409
1,10,41,100,5960,0.31
1,10,42,100,5570,0.331
1,10,43,100,6030,0.317
1,10,44,100,5940,0.325
1,10,45,100,8120,0.427
1,10,46,100,11280,0.589
1,10,47,100,5790,0.309
1,10,48,100,6520,0.339
1,10,49,100,6310,0.384
1,10,50,100,9110,0.48
1,10,51,100,12340,0.65
2,10,1,1949.5,3370,0.181
2,10,2,2228.44,3700,0.203
2,10,3,1237.58,4140,0.225
2,10,4,1765.71,9460,0.524
2,10,5,1812.08,3890,0.212
2,10,6,1683.57,3160,0.241
2,10,7,1825.16,18700,1.011
2,10,8,1973.02,3380,0.182
2,10,9,2174.77,4000,0.211
2,10,10,1788.59,4560,0.248
2,10,11,1766.66,4050,0.228
2,10,12,1470.79,3300,0.178
2,10,13,1822.41,3790,0.202
2,10,14,1870.98,4040,0.22
2,10,15,2654.3,3240,0.219
2,10,16,1986.11,17210,0.947
2,10,17,2846.16,27730,1.526
2,10,18,1665.93,4710,0.29
2,10,19,1967.71,13400,0.711
2,10,20,1849.33,3900,0.212
2,10,21,2070.06,3530,0.192
2,10,22,2164.66,3770,0.205
2,10,23,1960.14,3460,0.238
2,10,24,1873.73,5490,0.305
2,10,25,2087.13,4090,0.216
2,10,26,2243.87,4190,0.226
2,10,27,1422.63,4040,0.217
2,10,28,2055.5,6560,0.397
2,10,29,2575.61,3480,0.184
2,10,30,2281.97,5580,0.314
2,10,31,2070.94,3820,0.2
2,10,32,2002.18,5340,0.286
2,10,33,1947.97,13740,0.727
2,10,34,1735.67,7610,0.409
2,10,35,2012.84,3330,0.178
2,10,36,2165.72,5900,0.373
