Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,5910,0.312
1,10,2,100,6020,0.314
1,10,3,100,6380,0.338
1,10,4,100,6090,0.303
1,10,5,100,6390,0.324
1,10,6,100,5710,0.296
1,10,7,100,6040,0.349
1,10,8,100,5990,0.326
1,10,9,100,6070,0.333
1,10,10,100,5720,0.291
1,10,11,100,7410,0.373
1,10,12,100,5920,0.308
1,10,13,100,6710,0.34
1,10,14,100,6130,0.317
1,10,15,100,6020,0.327
1,10,16,100,5730,0.291
1,10,17,100,6310,0.328
1,10,18,100,6170,0.326
1,10,19,100,6730,0.356
1,10,20,100,11750,-0.451
1,10,21,100,6080,0.326
1,10,22,100,5940,0.314
1,10,23,100,5890,0.316
1,10,24,100,6810,0.357
1,10,25,100,6060,0.329
1,10,26,100,6150,0.346
1,10,27,100,13670,0.753
1,10,28,100,5990,0.332
1,10,29,100,6040,0.331
1,10,30,100,5840,0.316
1,10,31,100,6410,0.347
1,10,32,100,6000,0.328
1,10,33,100,5950,0.332
1,10,34,100,6030,0.329
1,10,35,100,9550,0.494
1,10,36,100,6180,0.323
1,10,37,100,6170,0.352
1,10,38,100,6370,0.451
1,10,39,100,6050,0.319
1,10,40,100,6250,0.32
1,10,41,100,6150,0.315
1,10,42,100,5900,0.293
1,10,43,100,5940,0.3
1,10,44,100,6530,0.335
1,10,45,100,6370,0.321
1,10,46,100,9040,0.469
1,10,47,100,6120,0.314
1,10,48,100,5950,0.298
1,10,49,100,12410,0.633
1,10,50,100,6120,0.306
1,10,51,100,7790,0.393
2,10,1,1844.57,3580,0.194
2,10,2,1711.77,3460,0.177
2,10,3,1732.26,3880,0.196
2,10,4,1451.7,3870,0.206
2,10,5,1872.8,19160,0.977
2,10,6,1970.15,3540,0.299
2,10,7,2182.55,3580,0.184
2,10,8,2265.69,4450,0.239
2,10,9,2640.53,3710,0.19
2,10,10,2037.34,3860,0.198
2,10,11,1883.94,3160,0.163
2,10,12,1642.79,7960,0.429
2,10,13,2342.83,3630,0.188
2,10,14,2150.62,3630,0.188
2,10,15,2170.37,4360,0.227
2,10,16,2184.68,5050,0.269
2,10,17,2270.37,4570,0.254
2,10,18,1779.13,5610,0.297
2,10,19,2294.66,3840,0.202
2,10,20,1628.85,4120,0.217
2,10,21,1846.05,3600,0.183
2,10,22,1462.24,5740,0.308
2,10,23,2229.31,3290,0.169
2,10,24,2317.45,3850,0.198
2,10,25,2072.74,3960,0.206
2,10,26,1897.21,4240,0.222
2,10,27,2111.25,4200,0.227
2,10,28,1971.28,3450,0.184
2,10,29,2458.34,3310,0.168
2,10,30,1297.85,6460,0.341
2,10,31,2185.87,3980,0.205
2,10,32,2213.17,4330,0.222
2,10,33,1589.19,3870,0.197
2,10,34,1822.45,3760,0.194
2,10,35,1994.04,27730,1.539
2,10,36,2487.9,3750,0.196
2,10,37,2132.38,13950,0.744
2,10,38,1844.49,3840,0.199
2,10,39,1497.34,13090,0.684
2,10,40,1916.95,4510,0.234
2,10,41,1839.94,27730,1.431
2,10,42,1789.63,4460,0.238
2,10,43,1822.18,3890,0.212
2,10,44,2390.11,27730,1.504
2,10,45,2194.16,3480,0.185
2,10,46,1883.04,27730,1.442
2,10,47,1557.86,3740,0.192
2,10,48,2070.37,3620,0.188
2,10,49,2155.04,17440,0.918
2,10,50,1966.3,4550,0.236
2,10,51,2148.67,8340,0.441
3,10,1,725.529,5210,0.264
3,10,2,724.152,4140,0.209
3,10,3,730.976,5120,0.271
3,10,4,734.056,4100,0.212
3,10,5,725.21,3880,0.204
3,10,6,723.043,4400,0.222
3,10,7,724.381,3830,0.208
3,10,8,724.391,3680,-1.041
3,10,9,725.436,4420,0.225
3,10,10,720.087,3580,0.18
3,10,11,720.737,3370,0.173
3,10,12,709.929,3780,0.199
3,10,13,724.802,3800,0.335
3,10,14,717.302,5400,0.278
3,10,15,713.029,3920,0.195
3,10,16,726.282,4010,0.208
3,10,17,717.819,3830,0.2
3,10,18,723.868,4850,0.251
3,10,19,722.576,7020,0.36
3,10,20,718.604,3430,0.174
3,10,21,718.003,4880,0.26
3,10,22,702.619,3750,0.191
3,10,23,726.865,5740,0.294
3,10,24,718.633,4570,0.231
3,10,25,722.872,3910,0.199
3,10,26,725.014,3780,0.194
3,10,27,732.851,4420,0.233
3,10,28,720.277,3590,0.179
3,10,29,732.493,3850,0.197
3,10,30,723.445,3970,0.203
3,10,31,713.435,7130,0.373
3,10,32,723.436,5660,0.285
3,10,33,717.874,3570,0.182
3,10,34,713.8,4550,0.231
3,10,35,713.859,3800,0.195
3,10,36,710.604,3400,0.175
3,10,37,717.294,3560,0.186
3,10,38,729.271,3820,0.195
3,10,39,718.574,3460,0.176
3,10,40,712.151,3820,0.199
3,10,41,723.246,5000,0.255
3,10,42,717.892,4610,0.356
3,10,43,717.671,3640,0.186
3,10,44,727.102,3960,0.202
3,10,45,717.942,4220,0.214
3,10,46,710.344,3730,0.193
3,10,47,723.748,3970,0.207
3,10,48,722.759,3660,0.193
3,10,49,732.272,4170,0.231
3,10,50,716.898,3720,0.203
3,10,51,721.682,4900,0.251
4,10,1,1900.72,5890,0.29
4,10,2,1901.19,6660,0.342
4,10,3,1901.26,4590,0.235
4,10,4,1902.22,6040,0.309
4,10,5,1900.69,6070,0.318
4,10,6,1901.13,5470,0.285
4,10,7,1901.52,4970,0.252
4,10,8,1900.82,5600,0.283
4,10,9,1901.18,6500,0.33
4,10,10,1900.92,4520,0.231
4,10,11,1900.75,7290,0.37
4,10,12,1900.73,6560,0.329
4,10,13,1900.66,5580,0.305
4,10,14,1900.76,6330,0.322
4,10,15,1900.81,5480,0.403
4,10,16,1900.52,5630,0.285
4,10,17,1901.05,5640,0.287
4,10,18,1900.76,5110,0.269
4,10,19,1900.47,4340,0.225
4,10,20,1900.69,6080,0.321
4,10,21,1901.51,5560,0.283
4,10,22,1901.27,4690,0.241
4,10,23,1901.07,6550,0.365
4,10,24,1901.43,5990,0.332
4,10,25,1901.24,6620,0.349
4,10,26,1900.66,8220,0.448
4,10,27,1900.7,6370,0.354
4,10,28,1901.47,5130,0.261
4,10,29,1901.53,3910,0.199
4,10,30,1901.22,7770,0.394
4,10,31,1901,6520,0.33
4,10,32,1902.25,5280,0.279
4,10,33,1901.5,4770,0.243
4,10,34,1900.73,5440,0.277
4,10,35,1901.12,5480,0.294
4,10,36,1901.79,5320,0.282
4,10,37,1901.05,5280,0.392
4,10,38,1900.79,5510,0.278
4,10,39,1900.96,8360,0.437
4,10,40,1901.08,5940,0.304
4,10,41,1900.55,6050,0.314
4,10,42,1901.01,5340,0.292
4,10,43,1901.14,4770,0.243
4,10,44,1900.59,4960,0.256
4,10,45,1901.11,5050,0.255
4,10,46,1900.59,5180,0.275
4,10,47,1902.36,4740,0.253
4,10,48,1901.5,5220,0.268
4,10,49,1900.6,4230,0.224
4,10,50,1901.48,9470,0.494
4,10,51,1901.1,5440,0.278
5,10,1,2356.36,7200,0.371
5,10,2,2455.27,7770,0.409
5,10,3,2108.69,7440,0.389
5,10,4,2217.83,13770,0.706
5,10,5,2584.59,22550,1.272
5,10,6,2140.34,8160,0.413
5,10,7,1885.56,7900,0.394
5,10,8,1994.91,7380,0.38
5,10,9,2086.74,10830,0.556
5,10,10,2260.94,7970,0.406
5,10,11,2165.73,7370,0.389
5,10,12,2257.65,7350,0.381
5,10,13,2404.42,7450,0.382
5,10,14,2005.39,7890,0.41
5,10,15,2269.23,14550,-0.481
5,10,16,1963.3,7870,0.411
5,10,17,2653.59,16050,0.963
5,10,18,2256.49,7020,0.357
5,10,19,1994.4,7050,0.36
5,10,20,2315.09,27730,1.434
5,10,21,2314.4,8000,0.415
5,10,22,1728.85,7180,0.368
5,10,23,2409.66,15880,0.808
5,10,24,2373.55,9330,0.482
5,10,25,2607.99,7410,0.4
5,10,26,2693.54,7870,0.403
5,10,27,2192.05,10940,0.563
5,10,28,2767.72,11120,0.567
5,10,29,2343.74,13990,0.828
5,10,30,2313.07,7550,0.385
5,10,31,2427.09,7530,0.393
5,10,32,2585.56,7840,0.414
5,10,33,2122.24,10810,0.56
5,10,34,2143.78,7580,0.416
5,10,35,2478.95,7270,0.378
5,10,36,2456.94,7840,0.411
5,10,37,2318.97,7690,0.414
5,10,38,2341.14,8360,0.433
5,10,39,2407.15,7280,0.371
5,10,40,1756.92,7380,0.382
5,10,41,2485.77,7820,0.411
5,10,42,2513.5,20050,1.166
5,10,43,1930.17,7750,0.423
5,10,44,1728.85,13590,0.708
5,10,45,2692.21,14870,0.76
5,10,46,2092.75,7360,0.371
5,10,47,2041.86,17920,0.914
5,10,48,2345.46,7390,0.382
5,10,49,2302.07,12940,0.643
5,10,50,2251.85,7670,0.426
5,10,51,2210.43,6770,0.359
6,10,1,1870.76,16370,0.846
6,10,2,1720.89,14740,0.881
6,10,3,1785.18,27730,1.428
6,10,4,1721.44,19620,1.004
6,10,5,1991.25,21240,1.1
6,10,6,1612.15,19990,1.023
6,10,7,1735.93,14400,0.759
6,10,8,1974.26,16720,0.873
6,10,9,1720.53,20460,1.19
6,10,10,1839.75,15560,0.786
6,10,11,1894.23,12400,0.644
6,10,12,1972.54,23900,1.214
6,10,13,1730.88,14330,-0.497
6,10,14,1601.81,12320,0.621
6,10,15,1736.38,18490,0.953
6,10,16,1916.91,13210,0.789
6,10,17,1601.35,16940,0.87
6,10,18,1601.9,12940,0.675
6,10,19,1601.57,16070,0.82
6,10,20,1736.14,13320,0.678
6,10,21,1838.68,22820,1.199
6,10,22,1612.61,12730,0.648
6,10,23,1956.59,27730,1.541
6,10,24,1837.5,25740,1.311
6,10,25,1601.5,14370,0.745
6,10,26,1721.07,22800,1.165
6,10,27,1877.5,14360,0.747
6,10,28,1612.9,18820,0.973
6,10,29,1732.35,14350,0.747
6,10,30,1833.04,21490,1.224
6,10,31,1601.8,16040,0.812
6,10,32,1919.31,17030,0.889
6,10,33,1735.89,14160,0.723
6,10,34,2058.38,17650,0.901
6,10,35,1840.98,19050,0.973
6,10,36,1732.56,14940,0.777
6,10,37,1759.9,14100,0.789
6,10,38,1601.55,17450,1.165
6,10,39,1866.63,12640,0.686
6,10,40,1721.19,14200,0.781
6,10,41,1721.64,14350,0.747
6,10,42,1840.47,16810,0.88
6,10,43,1612.68,15920,0.831
6,10,44,1818.56,24590,1.301
6,10,45,1730.93,15200,0.89
6,10,46,2031.64,15020,0.782
6,10,47,1601.55,19720,1.008
6,10,48,2087.65,15660,0.796
6,10,49,1922.27,12010,-0.612
6,10,50,1839.96,21470,1.15
6,10,51,1601.16,17750,0.909
7,10,1,2380.47,16090,0.798
7,10,2,2717.15,27730,1.628
7,10,3,2117.14,22990,1.191
7,10,4,2220.94,20140,1.003
7,10,5,2218.97,22050,1.107
7,10,6,2650.03,18880,0.941
7,10,7,2351.46,21740,1.272
7,10,8,2618.37,27730,1.39
