Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6080,0.371
1,10,2,100,8390,0.503
1,10,3,100,5740,0.332
1,10,4,100,5480,0.311
1,10,5,100,5450,0.319
1,10,6,100,5750,0.346
1,10,7,100,5820,0.337
1,10,8,100,7910,0.476
1,10,9,100,5450,0.304
1,10,10,100,6180,0.354
1,10,11,100,5920,0.352
1,10,12,100,5520,0.327
1,10,13,100,5460,0.313
1,10,14,100,5810,0.334
1,10,15,100,5670,0.327
1,10,16,100,5750,0.326
1,10,17,100,5380,0.315
1,10,18,100,12180,0.757
1,10,19,100,5740,0.372
1,10,20,100,11220,0.7
1,10,21,100,6230,0.401
1,10,22,100,6000,0.376
1,10,23,100,11210,-0.565
1,10,24,100,7700,0.453
1,10,25,100,7950,0.463
1,10,26,100,5810,0.339
1,10,27,100,11220,0.668
1,10,28,100,11640,0.672
1,10,29,100,5760,0.326
1,10,30,100,5690,0.333
1,10,31,100,5740,0.333
1,10,32,100,6020,0.344
1,10,33,100,5750,0.331
1,10,34,100,5960,0.344
1,10,35,100,5620,0.324
1,10,36,100,6010,0.385
1,10,37,100,5900,0.356
1,10,38,100,5730,0.342
1,10,39,100,11750,0.692
1,10,40,100,6290,0.363
1,10,41,100,5670,0.33
1,10,42,100,5920,0.339
1,10,43,100,5800,0.334
1,10,44,100,5770,0.333
1,10,45,100,6040,0.351
1,10,46,100,5980,0.348
1,10,47,100,6160,0.361
1,10,48,100,5600,0.366
1,10,49,100,5910,0.36
1,10,50,100,5790,0.366
1,10,51,100,13470,0.911
2,10,1,2265.7,3800,0.24
2,10,2,2820.96,14260,0.881
2,10,3,1547.51,4050,0.266
2,10,4,2141.8,3900,0.252
2,10,5,1821.77,14280,0.935
2,10,6,1703.92,4080,0.27
2,10,7,1484.63,3100,0.202
2,10,8,2078.49,3140,0.21
2,10,9,1457.85,3530,0.217
2,10,10,1601.27,3410,0.209
2,10,11,1737.15,3640,0.251
2,10,12,2122.97,13710,0.85
2,10,13,1805.98,3570,0.215
2,10,14,2124.97,3800,0.219
