Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,6060,0.327
1,10,2,100,5850,0.305
1,10,3,100,5790,0.296
1,10,4,100,6080,0.311
1,10,5,100,6550,0.355
1,10,6,100,6220,0.322
1,10,7,100,5850,0.305
1,10,8,100,7860,0.409
1,10,9,100,6350,0.329
1,10,10,100,6150,0.317
1,10,11,100,5990,0.323
1,10,12,100,6090,0.329
1,10,13,100,6240,0.326
1,10,14,100,5970,0.315
1,10,15,100,5920,0.305
1,10,16,100,8750,0.453
1,10,17,100,5850,0.302
1,10,18,100,11510,0.613
1,10,19,100,5910,0.347
1,10,20,100,6050,0.316
1,10,21,100,5910,0.308
1,10,22,100,6140,0.326
1,10,23,100,6270,0.325
1,10,24,100,5940,0.315
1,10,25,100,5740,0.305
1,10,26,100,6250,0.323
1,10,27,100,6110,0.321
1,10,28,100,6280,0.33
1,10,29,100,6000,0.312
1,10,30,100,5770,0.298
1,10,31,100,5850,0.3
1,10,32,100,5840,0.314
1,10,33,100,6200,0.318
1,10,34,100,6040,0.312
1,10,35,100,5850,0.307
1,10,36,100,6040,0.308
1,10,37,100,5920,0.321
1,10,38,100,5830,0.302
1,10,39,100,6270,0.334
1,10,40,100,6160,0.326
1,10,41,100,6160,0.317
1,10,42,100,13140,-0.542
1,10,43,100,6260,0.32
1,10,44,100,6260,0.335
1,10,45,100,5920,0.308
1,10,46,100,6520,0.339
1,10,47,100,5970,0.31
1,10,48,100,6080,0.312
1,10,49,100,5780,0.301
1,10,50,100,5940,0.31
1,10,51,100,9020,0.477
2,10,1,2118.25,4590,0.245
2,10,2,1922.89,3570,0.188
2,10,3,2562.92,3800,0.204
2,10,4,1816.43,4460,0.235
2,10,5,1841.43,3250,0.176
2,10,6,2377.12,3620,0.192
2,10,7,1531.37,5910,0.318
2,10,8,1690.5,5960,0.323
2,10,9,1667.73,4210,0.219
2,10,10,2006.56,3390,0.189
2,10,11,1416.05,3920,0.207
2,10,12,2337.77,3460,0.183
2,10,13,1656.85,3890,0.209
2,10,14,1963.89,3940,0.214
2,10,15,1442.47,10200,0.568
2,10,16,1663.39,3660,0.193
2,10,17,2392.31,4690,0.25
2,10,18,2232.52,3920,0.206
2,10,19,2216.33,3380,0.182
2,10,20,1740.16,4930,0.277
2,10,21,1789.69,4000,0.216
2,10,22,1901.58,3680,0.199
2,10,23,2172.17,27730,1.445
2,10,24,2116.26,3390,0.182
2,10,25,1595.26,4210,0.224
2,10,26,1907.72,14050,0.742
2,10,27,1842.13,5780,0.318
2,10,28,1778.8,5610,0.3
2,10,29,1106.89,5650,0.301
2,10,30,2443.11,4260,0.226
2,10,31,2011.26,13680,0.733
2,10,32,1834.76,3680,0.199
2,10,33,1821.67,4330,0.233
2,10,34,1972.26,3500,0.189
2,10,35,1869.57,4040,0.218
2,10,36,2439.45,12940,0.684
2,10,37,2022.62,3850,0.215
2,10,38,1868.64,4300,0.228
2,10,39,1761.42,3960,0.224
2,10,40,2187.71,5460,0.292
2,10,41,2043.31,4790,0.256
2,10,42,1840.46,4740,0.254
2,10,43,1619.8,27730,1.498
2,10,44,1953.58,3440,0.183
2,10,45,2096.6,5110,0.275
2,10,46,2678.46,13550,0.709
2,10,47,1710.62,4700,0.255
2,10,48,1784.09,5950,0.327
2,10,49,1615.61,4210,0.231
2,10,50,1950.08,6430,0.349
2,10,51,2053.57,3500,0.187
3,10,1,729.527,3930,0.209
3,10,2,720.044,4290,0.225
3,10,3,726.95,4530,0.241
3,10,4,719.609,3900,0.205
3,10,5,719.962,3690,0.193
3,10,6,718.527,4380,0.241
3,10,7,703.632,3480,0.186
3,10,8,723.715,4640,0.253
3,10,9,717.479,4650,0.242
3,10,10,720.538,3520,0.186
3,10,11,721.375,3750,0.196
3,10,12,725.077,4510,0.238
3,10,13,722.089,3450,0.182
3,10,14,718.452,4170,0.219
3,10,15,720.031,4060,0.219
3,10,16,718.61,4220,0.227
3,10,17,735.368,5440,0.303
3,10,18,719.871,3680,0.201
3,10,19,735.138,3790,0.197
3,10,20,719.085,3860,0.207
3,10,21,720.247,3660,0.193
3,10,22,721.461,4020,0.211
3,10,23,722.78,4020,0.213
3,10,24,720.161,7010,0.37
3,10,25,717.228,4230,0.223
3,10,26,723.933,3950,0.208
3,10,27,713.685,4210,0.219
3,10,28,719.717,3560,0.199
3,10,29,713.193,4640,0.241
3,10,30,728.947,3780,0.197
3,10,31,728.201,4450,0.234
3,10,32,727.279,4380,0.237
3,10,33,710.601,4190,0.22
3,10,34,713.139,3870,0.204
3,10,35,722.325,4630,0.243
3,10,36,717.802,3710,0.193
3,10,37,720.733,3640,0.19
3,10,38,725.521,4300,0.232
3,10,39,717.166,4640,0.245
3,10,40,716.748,4710,0.252
3,10,41,708.978,3510,0.184
3,10,42,725.418,4270,0.227
3,10,43,716.746,4180,0.228
3,10,44,723.584,3400,0.179
3,10,45,720.318,3610,0.193
3,10,46,722.91,4140,0.216
3,10,47,731.576,4060,0.211
3,10,48,707.868,3780,0.204
3,10,49,726.578,4050,0.218
3,10,50,722.629,3260,0.171
3,10,51,717.343,5630,0.294
4,10,1,1901.25,4660,0.25
4,10,2,1900.86,5170,0.276
4,10,3,1902.06,5020,0.273
4,10,4,1901.22,5270,0.279
4,10,5,1901.19,6050,-0.907
4,10,6,1901.08,4870,0.26
4,10,7,1900.98,5580,0.295
4,10,8,1901.18,5490,0.285
4,10,9,1900.45,4660,0.25
4,10,10,1900.73,6290,0.327
4,10,11,1900.79,5340,0.284
4,10,12,1900.63,5130,0.283
4,10,13,1900.65,5340,0.278
4,10,14,1900.66,4660,0.245
4,10,15,1901.26,4910,0.259
4,10,16,1900.65,5860,0.308
4,10,17,1901.04,7540,0.387
4,10,18,1900.77,4510,0.233
4,10,19,1900.91,5780,0.301
4,10,20,1901.19,5220,0.27
4,10,21,1900.78,5460,0.288
4,10,22,1901.09,4670,0.253
4,10,23,1901.11,4950,0.266
4,10,24,1901.01,4290,0.224
4,10,25,1900.89,5660,0.297
4,10,26,1900.75,5160,0.269
4,10,27,1902.32,4850,0.255
4,10,28,1900.97,4970,0.258
4,10,29,1901.17,5480,0.29
4,10,30,1900.67,5110,0.265
4,10,31,1901.39,5710,0.312
4,10,32,1900.88,5190,0.267
4,10,33,1901.74,6700,0.365
4,10,34,1901.41,4780,0.249
4,10,35,1900.8,4920,0.257
4,10,36,1900.74,4310,0.227
4,10,37,1901.23,4770,0.249
4,10,38,1901.79,5520,0.299
4,10,39,1901.04,5300,0.282
4,10,40,1900.86,4150,0.216
4,10,41,1901.17,5080,0.266
4,10,42,1900.68,4830,0.255
4,10,43,1900.76,4530,0.235
4,10,44,1900.9,4700,0.242
4,10,45,1901.68,4220,0.22
4,10,46,1901.04,6630,0.351
4,10,47,1900.91,5520,0.289
