Function,Dimension,Run,ErrorValue,Evals,Time
1,10,1,100,5910,0.316
1,10,2,100,6020,0.311
1,10,3,100,6380,0.337
1,10,4,100,6090,0.312
1,10,5,100,6390,0.325
1,10,6,100,5710,0.306
1,10,7,100,6040,0.331
1,10,8,100,5990,0.306
1,10,9,100,6150,0.394
1,10,10,100,6160,0.342
1,10,11,100,6100,0.339
1,10,12,100,6220,0.329
1,10,13,100,6110,0.329
1,10,14,100,5980,0.318
1,10,15,100,5680,0.322
1,10,16,100,7380,0.388
1,10,17,100,5770,0.328
1,10,18,100,6250,0.334
1,10,19,100,8140,0.406
1,10,20,100,12080,0.614
1,10,21,100,6070,0.312
1,10,22,100,6190,0.307
1,10,23,100,6210,0.316
1,10,24,100,6050,0.338
1,10,25,100,6400,0.317
1,10,26,100,5690,0.286
1,10,27,100,6210,0.321
1,10,28,100,6300,0.325
1,10,29,100,6150,0.304
1,10,30,100,5790,0.295
1,10,31,100,5790,0.294
1,10,32,100,6040,0.35
1,10,33,100,6540,0.337
1,10,34,100,5740,0.288
1,10,35,100,6440,0.336
1,10,36,100,6120,0.33
1,10,37,100,5910,0.295
1,10,38,100,8780,0.45
1,10,39,100,5990,0.315
1,10,40,100,6190,0.349
1,10,41,100,6160,0.306
1,10,42,100,6990,0.361
1,10,43,100,5850,0.303
1,10,44,100,5900,0.309
1,10,45,100,5830,0.297
1,10,46,100,10240,0.523
1,10,47,100,9180,0.493
1,10,48,100,6280,0.318
1,10,49,100,11200,0.561
1,10,50,100,11440,0.574
1,10,51,100,6150,0.311
2,10,1,1781.39,3460,0.177
2,10,2,2154.75,3490,0.18
2,10,3,1771.71,8560,0.484
2,10,4,1861.65,3760,0.193
2,10,5,2234.84,11300,0.597
2,10,6,1417.99,6470,0.337
2,10,7,2193,3420,0.175
2,10,8,1875.66,4600,0.234
2,10,9,2785.04,3690,0.188
2,10,10,2235.92,3690,0.189
2,10,11,1728.95,5530,0.302
2,10,12,2055.28,4030,0.244
2,10,13,1811.88,3630,0.192
2,10,14,2160.9,3530,0.192
2,10,15,1265.19,4150,0.223
2,10,16,2491.27,3910,0.212
2,10,17,1560.61,3480,0.187
2,10,18,1834.19,3750,0.197
2,10,19,2514.95,3880,0.208
2,10,20,1722.48,4600,0.259
2,10,21,2494.3,14180,-0.496
2,10,22,1662.9,3880,0.232
2,10,23,1804.86,3410,0.175
2,10,24,2730.76,5620,0.285
2,10,25,2749.71,3730,0.194
2,10,26,1649.01,4040,0.205
2,10,27,1701.37,27730,1.431
2,10,28,2152.95,3510,0.179
2,10,29,1871.1,7380,0.415
2,10,30,2125.44,4670,0.248
2,10,31,1570.34,4230,0.228
2,10,32,1345.73,3950,0.202
2,10,33,1899.16,6470,0.355
2,10,34,2030.87,10330,0.553
2,10,35,2334.71,3480,0.175
2,10,36,2017.76,5650,0.287
2,10,37,2224.89,13870,0.784
2,10,38,2138.72,3650,0.195
2,10,39,2008.9,4290,0.227
2,10,40,2284.9,4730,0.246
2,10,41,1794.98,17880,0.927
2,10,42,2065.68,4250,0.224
2,10,43,1950.96,3620,0.195
2,10,44,1992.34,4180,0.293
2,10,45,2076.28,7840,0.44
2,10,46,1829.34,27730,1.564
2,10,47,2024.76,3260,0.191
2,10,48,1364.09,3720,0.207
2,10,49,1685.66,3460,0.196
2,10,50,1563.81,4550,0.291
2,10,51,1665.3,8660,0.465
3,10,1,733.353,3830,0.198
3,10,2,723.178,5830,0.315
3,10,3,721.497,4350,0.239
3,10,4,724.193,5260,0.275
3,10,5,722.933,3970,0.196
3,10,6,733.119,4600,0.236
3,10,7,725.383,3720,0.197
3,10,8,705.022,3700,0.188
3,10,9,717.135,4310,0.257
3,10,10,735.228,4830,0.248
3,10,11,721.827,4870,0.255
3,10,12,729.79,3340,0.173
3,10,13,732.125,4070,0.207
3,10,14,730.114,4720,0.241
3,10,15,719.045,4110,0.209
3,10,16,718.001,4620,0.237
3,10,17,714.362,4450,0.229
3,10,18,712.09,3850,0.197
3,10,19,715.023,6020,0.306
3,10,20,723.672,4280,0.259
3,10,21,720.622,3340,0.171
3,10,22,726.508,3800,0.194
3,10,23,721.485,3850,0.197
3,10,24,726.954,5040,0.256
3,10,25,719.84,3960,0.199
3,10,26,717.388,5120,0.26
3,10,27,719.241,4560,0.237
3,10,28,722.922,3940,0.2
3,10,29,718.051,4030,0.221
3,10,30,721.729,4270,0.237
3,10,31,715.702,4620,0.259
3,10,32,715.312,4210,0.278
3,10,33,725.827,4340,0.237
3,10,34,720.26,4540,0.247
3,10,35,718.152,3970,0.219
3,10,36,723.643,3970,0.222
3,10,37,723.616,3720,0.209
3,10,38,728.193,4310,0.238
3,10,39,718.236,4050,0.226
3,10,40,721.091,3780,0.208
3,10,41,717.715,5310,0.303
3,10,42,723.076,5370,0.293
3,10,43,722.781,4320,0.218
3,10,44,721.148,5430,0.321
3,10,45,719.204,4600,0.241
3,10,46,734.834,4910,0.285
3,10,47,720.438,3470,0.178
3,10,48,720.261,4570,0.232
3,10,49,718.312,3880,0.198
3,10,50,727.146,4020,0.204
3,10,51,725.376,4990,0.261
4,10,1,1900.67,5560,0.279
4,10,2,1901.26,5070,0.259
4,10,3,1901.48,4560,0.231
