Function,Statistic,p-value,Buffer Size,Comparison,Config
F1,644.0,0.858647685062557,Unlimited,LCG vs MT,Unlimited
F2,468.0,0.06757566391956114,Unlimited,LCG vs MT,Unlimited
F3,649.0,0.8955945225688345,Unlimited,LCG vs MT,Unlimited
F4,637.0,0.8074553206568335,Unlimited,LCG vs MT,Unlimited
F5,647.0,0.8807839685412195,Unlimited,LCG vs MT,Unlimited
F6,612.5,0.809265150298867,Unlimited,LCG vs MT,Unlimited
F7,582.0,0.44770253301902596,Unlimited,LCG vs MT,Unlimited
F8,571.5,0.39107088331463447,Unlimited,LCG vs MT,Unlimited
F9,583.0,0.45332857750731237,Unlimited,LCG vs MT,Unlimited
F10,448.0,0.21960716406002745,Unlimited,LCG vs MT,Unlimited
F11,601.5,0.5642773570522657,Unlimited,LCG vs MT,Unlimited
F12,550.0,0.3982501866997662,Unlimited,LCG vs MT,Unlimited
F13,593.0,0.5117323250306174,Unlimited,LCG vs MT,Unlimited
F14,534.0,0.22659476517213117,Unlimited,LCG vs MT,Unlimited
F15,546.0,0.27277447022761003,Unlimited,LCG vs MT,Unlimited
F16,654.0,0.9327692537533812,Unlimited,LCG vs MT,Unlimited
F17,478.0,0.08290187241686692,Unlimited,LCG vs MT,Unlimited
F18,531.0,0.2159766086943632,Unlimited,LCG vs MT,Unlimited
F19,503.0,0.13367795585698114,Unlimited,LCG vs MT,Unlimited
F20,0.0,,Unlimited,LCG vs MT,Unlimited
F21,157.5,0.887002651534798,Unlimited,LCG vs MT,Unlimited
F22,564.0,0.35342146126257845,Unlimited,LCG vs MT,Unlimited
F23,508.0,0.1462550297459625,Unlimited,LCG vs MT,Unlimited
F24,623.0,0.7077060754186115,Unlimited,LCG vs MT,Unlimited
F25,507.0,0.1436697475648359,Unlimited,LCG vs MT,Unlimited
F26,610.0,0.6193345073111354,Unlimited,LCG vs MT,Unlimited
F27,584.0,0.4589943061989632,Unlimited,LCG vs MT,Unlimited
F28,107.5,0.32489560119979033,Unlimited,LCG vs MT,Unlimited
F1,585.0,0.46469949772563435,2500000.0,True vs LCG,Shuffle
F2,610.0,0.6193345073111354,2500000.0,True vs LCG,Shuffle
F3,639.0,0.8220078988746186,2500000.0,True vs LCG,Shuffle
F4,645.0,0.8660149958741169,2500000.0,True vs LCG,Shuffle
F5,624.0,0.7146895407730142,2500000.0,True vs LCG,Shuffle
F6,511.0,0.2219523300512184,2500000.0,True vs LCG,Shuffle
