Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,0.00000000e+00
5,10,1,0.00000000e+00
6,10,1,9.81242274e+00
7,10,1,3.55969406e-07
8,10,1,2.00121644e+01
9,10,1,3.62326177e+00
10,10,1,7.39604033e-03
11,10,1,0.00000000e+00
12,10,1,2.00181847e+00
13,10,1,1.00100666e+00
14,10,1,6.24544410e-02
15,10,1,2.87705767e+02
16,10,1,1.86554581e-01
17,10,1,1.01224167e+01
18,10,1,1.38988216e+01
19,10,1,2.00437425e-01
20,10,1,1.77654541e+00
21,10,1,4.00193867e+02
22,10,1,5.01559266e+00
23,10,1,3.33556088e+02
24,10,1,2.00000000e+02
25,10,1,2.00000093e+02
26,10,1,1.02000009e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,0.00000000e+00
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,9.81242274e+00
7,10,2,8.67553101e-06
8,10,2,2.01119688e+01
9,10,2,3.69854107e+00
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,1.99535699e+00
13,10,2,2.00282173e+00
14,10,2,0.00000000e+00
15,10,2,3.71368207e+02
16,10,2,6.38674616e-02
17,10,2,1.01224167e+01
18,10,2,1.30237146e+01
19,10,2,1.74017566e-01
20,10,2,2.10799226e+00
21,10,2,4.00193867e+02
22,10,2,5.01559266e+00
23,10,2,1.32907327e+02
24,10,2,2.00000000e+02
25,10,2,2.00000000e+02
26,10,2,2.00017385e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,9.81242274e+00
7,10,3,1.13761154e-05
8,10,3,2.01068928e+01
9,10,3,3.53346679e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,2.01200968e+00
13,10,3,2.60752262e+00
14,10,3,0.00000000e+00
15,10,3,3.90355419e+02
16,10,3,1.63016594e-01
17,10,3,1.01224167e+01
18,10,3,1.63834604e+01
19,10,3,2.33811549e-01
20,10,3,2.35341771e+00
21,10,3,4.00193867e+02
22,10,3,5.01559266e+00
23,10,3,4.27565178e+02
24,10,3,2.00000000e+02
25,10,3,2.00000000e+02
26,10,3,1.01008793e+02
27,10,3,3.00000000e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,0.00000000e+00
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,0.00000000e+00
7,10,4,3.92085208e-07
8,10,4,2.00000000e+01
9,10,4,3.59921614e+00
10,10,4,0.00000000e+00
11,10,4,0.00000000e+00
12,10,4,1.99241673e+00
13,10,4,9.99613360e-01
14,10,4,0.00000000e+00
15,10,4,4.35959842e+02
16,10,4,3.26624698e-01
17,10,4,1.01224167e+01
18,10,4,1.46822230e+01
19,10,4,2.54883963e-01
20,10,4,1.90479193e+00
21,10,4,4.00193867e+02
22,10,4,0.00000000e+00
23,10,4,2.80835375e+02
24,10,4,2.06294275e+02
25,10,4,2.00000000e+02
26,10,4,1.01991326e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,0.00000000e+00
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,9.81242274e+00
7,10,5,1.25188628e-05
8,10,5,2.00000093e+01
9,10,5,3.61849487e+00
10,10,5,1.47797768e-02
11,10,5,0.00000000e+00
12,10,5,1.98991811e+00
13,10,5,9.99134144e-01
14,10,5,6.24544410e-02
15,10,5,3.47406594e+02
16,10,5,3.10165214e-01
17,10,5,1.01224167e+01
18,10,5,1.38786011e+01
19,10,5,2.46475057e-01
20,10,5,1.77764270e+00
21,10,5,4.00193867e+02
22,10,5,8.84176573e+00
23,10,5,9.61757865e+01
24,10,5,2.06625853e+02
25,10,5,2.00000000e+02
26,10,5,2.00017385e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,0.00000000e+00
7,10,6,0.00000000e+00
8,10,6,2.02416956e+01
9,10,6,3.20604489e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,1.98991811e+00
13,10,6,2.99405365e+00
14,10,6,0.00000000e+00
15,10,6,3.22017931e+02
16,10,6,3.73839860e-02
17,10,6,1.01224167e+01
18,10,6,1.45637067e+01
19,10,6,2.46482145e-01
20,10,6,2.08330089e+00
21,10,6,4.00193867e+02
22,10,6,8.84176573e+00
23,10,6,2.39222405e+02
24,10,6,2.00000000e+02
25,10,6,2.00000000e+02
26,10,6,1.01004940e+02
27,10,6,3.00000000e+02
28,10,6,3.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,0.00000000e+00
8,10,7,2.00915697e+01
9,10,7,3.37052290e+00
10,10,7,0.00000000e+00
