Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,0.00000000e+00
5,10,1,0.00000000e+00
6,10,1,0.00000000e+00
7,10,1,0.00000000e+00
8,10,1,2.00305698e+01
9,10,1,1.88712684e+00
10,10,1,0.00000000e+00
11,10,1,0.00000000e+00
12,10,1,1.98991811e+00
13,10,1,2.98902692e+00
14,10,1,0.00000000e+00
15,10,1,2.66437194e+02
16,10,1,4.25320231e-01
17,10,1,1.01224167e+01
18,10,1,1.32407036e+01
19,10,1,2.83010800e-01
20,10,1,2.19408564e+00
21,10,1,4.00193867e+02
22,10,1,1.37312035e+01
23,10,1,9.10957322e+01
24,10,1,2.00000000e+02
25,10,1,2.00000000e+02
26,10,1,1.00013229e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,0.00000000e+00
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,9.81242274e+00
7,10,2,1.21340234e-05
8,10,2,2.00000000e+01
9,10,2,1.08918385e+00
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,2.01067703e+00
13,10,2,1.00304860e+00
14,10,2,0.00000000e+00
15,10,2,2.03947983e+02
16,10,2,9.61017283e-02
17,10,2,1.01224167e+01
18,10,2,1.28100061e+01
19,10,2,2.82624761e-01
20,10,2,2.00477686e+00
21,10,2,4.00193867e+02
22,10,2,5.01559266e+00
23,10,2,4.12694295e+02
24,10,2,2.03809433e+02
25,10,2,2.00000000e+02
26,10,2,1.02014569e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,9.81242274e+00
7,10,3,7.34139228e-08
8,10,3,2.00109142e+01
9,10,3,4.29993704e+00
10,10,3,4.18338751e-02
11,10,3,0.00000000e+00
12,10,3,1.98991811e+00
13,10,3,1.01554528e+00
14,10,3,6.24544410e-02
15,10,3,3.77959050e+02
16,10,3,4.50533402e-01
17,10,3,1.01224167e+01
18,10,3,1.59105860e+01
19,10,3,1.05943033e-01
20,10,3,2.15224104e+00
21,10,3,4.00193867e+02
22,10,3,5.01559266e+00
23,10,3,3.31539089e+02
24,10,3,2.00000000e+02
25,10,3,2.00000000e+02
26,10,3,2.00017385e+02
27,10,3,3.00000000e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,0.00000000e+00
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,0.00000000e+00
7,10,4,0.00000000e+00
8,10,4,2.02551661e+01
9,10,4,2.46925348e+00
10,10,4,0.00000000e+00
11,10,4,0.00000000e+00
12,10,4,9.98266882e-01
13,10,4,2.32321136e+00
14,10,4,1.24908882e-01
15,10,4,3.64237304e+02
16,10,4,4.47179497e-01
17,10,4,1.01224167e+01
18,10,4,1.37017899e+01
19,10,4,1.71785576e-01
20,10,4,1.57747676e+00
21,10,4,4.00193867e+02
22,10,4,8.84176573e+00
23,10,4,2.75447368e+02
24,10,4,2.00000000e+02
25,10,4,2.00000000e+02
26,10,4,2.00017385e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,0.00000000e+00
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,0.00000000e+00
7,10,5,1.22627015e-05
8,10,5,2.00092925e+01
9,10,5,0.00000000e+00
10,10,5,0.00000000e+00
11,10,5,0.00000000e+00
12,10,5,9.97557818e-01
13,10,5,2.83580601e+00
14,10,5,0.00000000e+00
15,10,5,3.12828508e+02
16,10,5,1.37442681e-01
17,10,5,1.01224167e+01
18,10,5,1.23648266e+01
19,10,5,2.58944811e-01
20,10,5,1.51727243e+00
21,10,5,4.00193867e+02
22,10,5,8.84176573e+00
23,10,5,4.88952559e+02
24,10,5,2.06670691e+02
25,10,5,2.04540090e+02
26,10,5,1.00003655e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,9.81242274e+00
7,10,6,2.83702448e-06
8,10,6,2.01702597e+01
9,10,6,2.90136978e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,2.00637717e+00
13,10,6,2.98509025e+00
14,10,6,0.00000000e+00
15,10,6,2.93467860e+02
16,10,6,1.81886590e-01
17,10,6,1.01224167e+01
18,10,6,1.46367391e+01
19,10,6,2.02248294e-01
20,10,6,2.14498047e+00
21,10,6,4.00193867e+02
22,10,6,1.62347130e+01
23,10,6,1.98697385e+02
24,10,6,2.06813970e+02
25,10,6,2.00000000e+02
26,10,6,2.00017385e+02
27,10,6,3.00000000e+02
28,10,6,1.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,1.22659919e-07
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,1.21468691e-05
8,10,7,2.01369832e+01
9,10,7,3.74401317e+00
10,10,7,0.00000000e+00
