Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,0.00000000e+00
5,10,1,0.00000000e+00
6,10,1,0.00000000e+00
7,10,1,3.56572970e-07
8,10,1,2.00063853e+01
9,10,1,4.15044014e+00
10,10,1,0.00000000e+00
11,10,1,0.00000000e+00
12,10,1,2.14605798e+00
13,10,1,1.99464820e+00
14,10,1,0.00000000e+00
15,10,1,3.02641261e+02
16,10,1,4.09437075e-01
17,10,1,1.01224167e+01
18,10,1,1.30840480e+01
19,10,1,2.37327655e-01
20,10,1,1.82715100e+00
21,10,1,4.00193867e+02
22,10,1,5.01559266e+00
23,10,1,2.35806016e+02
24,10,1,2.00000000e+02
25,10,1,2.00000000e+02
26,10,1,1.35820467e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,0.00000000e+00
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,0.00000000e+00
7,10,2,0.00000000e+00
8,10,2,2.02224467e+01
9,10,2,3.66213072e+00
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,1.00126804e+00
13,10,2,2.00445321e+00
14,10,2,6.24544410e-02
15,10,2,2.50336357e+02
16,10,2,3.58288744e-01
17,10,2,1.01224167e+01
18,10,2,1.36932909e+01
19,10,2,1.89604347e-01
20,10,2,1.40890350e+00
21,10,2,4.00193867e+02
22,10,2,5.01559266e+00
23,10,2,3.21681212e+02
24,10,2,2.00000000e+02
25,10,2,2.04540090e+02
26,10,2,2.00017385e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,9.81242274e+00
7,10,3,4.79511992e-07
8,10,3,2.03268704e+01
9,10,3,2.71229765e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,9.97365416e-01
13,10,3,1.99221455e+00
14,10,3,0.00000000e+00
15,10,3,1.53436083e+02
16,10,3,5.48592268e-02
17,10,3,1.01224167e+01
18,10,3,1.29807769e+01
19,10,3,2.76056964e-01
20,10,3,2.16024287e+00
21,10,3,4.00193867e+02
22,10,3,6.46185183e+00
23,10,3,1.95291180e+02
24,10,3,1.02871546e+02
25,10,3,2.04540090e+02
26,10,3,1.02007225e+02
27,10,3,3.00000000e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,0.00000000e+00
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,0.00000000e+00
7,10,4,3.50079741e-08
8,10,4,2.03013915e+01
9,10,4,2.73308611e+00
10,10,4,0.00000000e+00
11,10,4,0.00000000e+00
12,10,4,1.99837099e+00
13,10,4,9.97440573e-01
14,10,4,0.00000000e+00
15,10,4,3.54199216e+02
16,10,4,1.78244415e-01
17,10,4,1.01224167e+01
18,10,4,1.31124759e+01
19,10,4,3.02992041e-01
20,10,4,2.07574103e+00
21,10,4,4.00193867e+02
22,10,4,5.01559266e+00
23,10,4,3.48508629e+02
24,10,4,1.02851467e+02
25,10,4,2.00000000e+02
26,10,4,1.02987579e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,0.00000000e+00
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,9.81242274e+00
7,10,5,1.50552737e-06
8,10,5,2.03473210e+01
9,10,5,3.38981670e+00
10,10,5,7.39604033e-03
11,10,5,0.00000000e+00
12,10,5,2.01331031e+00
13,10,5,1.99501764e+00
14,10,5,6.24544410e-02
15,10,5,2.50458850e+02
16,10,5,3.10802613e-01
17,10,5,1.01224167e+01
18,10,5,1.42262380e+01
19,10,5,2.09574387e-01
20,10,5,2.27575595e+00
21,10,5,4.00193867e+02
22,10,5,5.01559266e+00
23,10,5,3.61797578e+02
24,10,5,2.06789793e+02
25,10,5,2.00000000e+02
26,10,5,1.04974800e+02
27,10,5,3.00000000e+02
28,10,5,1.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,9.81242274e+00
7,10,6,3.59710589e-07
8,10,6,2.02302853e+01
9,10,6,0.00000000e+00
10,10,6,7.39604033e-03
11,10,6,0.00000000e+00
12,10,6,9.97001474e-01
13,10,6,1.00590877e+00
14,10,6,0.00000000e+00
15,10,6,5.23735201e+02
16,10,6,3.76326584e-01
17,10,6,1.01224167e+01
18,10,6,1.40659208e+01
19,10,6,1.95825353e-01
20,10,6,1.72994379e+00
21,10,6,4.00193867e+02
22,10,6,0.00000000e+00
23,10,6,3.21525481e+02
24,10,6,2.00000000e+02
25,10,6,2.00000000e+02
26,10,6,2.00017385e+02
27,10,6,3.00000000e+02
28,10,6,3.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,3.59023173e-07
8,10,7,2.01591886e+01
9,10,7,2.93001490e+00
10,10,7,0.00000000e+00
