Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,1.05387220e+04
5,10,1,0.00000000e+00
6,10,1,9.81242274e+00
7,10,1,5.89671213e-04
8,10,1,2.00000000e+01
9,10,1,3.38581694e+00
10,10,1,1.46750134e-05
11,10,1,0.00000000e+00
12,10,1,3.99085260e+00
13,10,1,2.84221649e+00
14,10,1,6.24544410e-02
15,10,1,4.00186707e+02
16,10,1,3.79498489e-01
17,10,1,1.01224167e+01
18,10,1,1.63290689e+01
19,10,1,2.35151279e-01
20,10,1,2.34583243e+00
21,10,1,4.00193867e+02
22,10,1,6.46185183e+00
23,10,1,5.07928002e+02
24,10,1,2.04008282e+02
25,10,1,2.00000263e+02
26,10,1,1.05719554e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,0.00000000e+00
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,9.81242274e+00
7,10,2,3.20516267e-06
8,10,2,2.00155088e+01
9,10,2,4.66910769e-05
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,2.98658852e+00
13,10,2,7.02271856e-03
14,10,2,0.00000000e+00
15,10,2,4.49690235e+02
16,10,2,8.56526669e-02
17,10,2,1.01224167e+01
18,10,2,1.24712487e+01
19,10,2,2.70085346e-01
20,10,2,1.88734652e+00
21,10,2,4.00193867e+02
22,10,2,1.13540435e+01
23,10,2,1.20174312e+02
24,10,2,2.06789793e+02
25,10,2,2.00000000e+02
26,10,2,1.00998835e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,9.81242274e+00
7,10,3,8.57285203e-06
8,10,3,2.03858411e+01
9,10,3,4.05500295e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,2.98688716e+00
13,10,3,2.01524592e+00
14,10,3,0.00000000e+00
15,10,3,4.40665366e+02
16,10,3,3.24728550e-01
17,10,3,1.01224167e+01
18,10,3,1.57073748e+01
19,10,3,1.81379924e-01
20,10,3,2.24272556e+00
21,10,3,4.00193867e+02
22,10,3,5.01559266e+00
23,10,3,1.55188550e+02
24,10,3,2.08250849e+02
25,10,3,2.00000000e+02
26,10,3,1.03989204e+02
27,10,3,3.00000000e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,0.00000000e+00
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,9.81242274e+00
7,10,4,8.27742512e-06
8,10,4,2.02242721e+01
9,10,4,2.49348313e+00
10,10,4,7.39604033e-03
11,10,4,0.00000000e+00
12,10,4,1.01685953e+00
13,10,4,1.00604729e+00
14,10,4,0.00000000e+00
15,10,4,2.50533627e+02
16,10,4,2.71793869e-01
17,10,4,1.01224167e+01
18,10,4,1.51087001e+01
19,10,4,2.43291106e-01
20,10,4,2.16093795e+00
21,10,4,4.00193867e+02
22,10,4,0.00000000e+00
23,10,4,2.55495713e+02
24,10,4,2.00000000e+02
25,10,4,2.00000000e+02
26,10,4,2.00017385e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,0.00000000e+00
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,0.00000000e+00
7,10,5,1.37689340e-05
8,10,5,2.00000000e+01
9,10,5,1.39346564e+00
10,10,5,0.00000000e+00
11,10,5,0.00000000e+00
12,10,5,2.00803038e+00
13,10,5,4.98762999e+00
14,10,5,6.24544410e-02
15,10,5,4.73637799e+02
16,10,5,3.68139352e-01
17,10,5,1.01224167e+01
18,10,5,1.52034944e+01
19,10,5,2.15132382e-01
20,10,5,1.62923401e+00
21,10,5,4.00193867e+02
22,10,5,5.01559266e+00
23,10,5,2.89301641e+02
24,10,5,2.05835076e+02
25,10,5,2.00000000e+02
26,10,5,1.02999524e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,0.00000000e+00
7,10,6,3.20486434e-06
8,10,6,2.02934396e+01
9,10,6,3.67924667e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,1.99160976e+00
13,10,6,1.99819038e+00
14,10,6,0.00000000e+00
15,10,6,5.09718239e+02
16,10,6,1.16064745e-01
17,10,6,1.01224167e+01
18,10,6,2.02726006e+01
19,10,6,2.43145044e-01
20,10,6,1.90150294e+00
21,10,6,4.00193867e+02
22,10,6,0.00000000e+00
23,10,6,5.13456020e+02
24,10,6,2.00000000e+02
25,10,6,2.00000000e+02
26,10,6,1.03011251e+02
27,10,6,3.00000000e+02
28,10,6,3.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,5.45187490e-06
8,10,7,2.05092849e+01
9,10,7,0.00000000e+00
10,10,7,0.00000000e+00
