Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,0.00000000e+00
5,10,1,0.00000000e+00
6,10,1,0.00000000e+00
7,10,1,0.00000000e+00
8,10,1,2.00196943e+01
9,10,1,2.43675634e+00
10,10,1,0.00000000e+00
11,10,1,0.00000000e+00
12,10,1,9.98608440e-01
13,10,1,1.02666795e+00
14,10,1,0.00000000e+00
15,10,1,1.94681373e+02
16,10,1,4.23464504e-02
17,10,1,1.01224167e+01
18,10,1,1.41056049e+01
19,10,1,1.93741821e-01
20,10,1,1.72167693e+00
21,10,1,4.00193867e+02
22,10,1,5.01559266e+00
23,10,1,3.17805735e+02
24,10,1,2.00000000e+02
25,10,1,1.53474781e+02
26,10,1,1.31839232e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,0.00000000e+00
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,9.81242274e+00
7,10,2,5.06714781e-05
8,10,2,2.00992734e+01
9,10,2,3.00620941e+00
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,1.99058919e+00
13,10,2,9.97676933e-01
14,10,2,0.00000000e+00
15,10,2,1.34872932e+02
16,10,2,2.37507448e-01
17,10,2,1.01224167e+01
18,10,2,1.21969726e+01
19,10,2,1.67299348e-01
20,10,2,1.52276847e+00
21,10,2,4.00193867e+02
22,10,2,0.00000000e+00
23,10,2,2.40248479e+02
24,10,2,2.06789793e+02
25,10,2,2.00000000e+02
26,10,2,2.00017385e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,0.00000000e+00
7,10,3,3.55334476e-07
8,10,3,2.00000430e+01
9,10,3,1.77186157e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,1.99622943e+00
13,10,3,1.99388112e+00
14,10,3,6.24544410e-02
15,10,3,2.54756519e+02
16,10,3,0.00000000e+00
17,10,3,1.01224167e+01
18,10,3,1.42253011e+01
19,10,3,2.19015362e-01
20,10,3,2.05591341e+00
21,10,3,4.00193867e+02
22,10,3,5.01559266e+00
23,10,3,1.65141080e+02
24,10,3,2.06835963e+02
25,10,3,2.00000041e+02
26,10,3,1.26863879e+02
27,10,3,4.73877127e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,1.22659919e-07
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,9.81242274e+00
7,10,4,1.32699232e-07
8,10,4,2.03743189e+01
9,10,4,3.72391528e+00
10,10,4,7.39604033e-03
11,10,4,0.00000000e+00
12,10,4,2.98696004e+00
13,10,4,1.99316403e+00
14,10,4,6.24544410e-02
15,10,4,3.77713679e+02
16,10,4,2.75082076e-01
17,10,4,1.01224167e+01
18,10,4,1.27900899e+01
19,10,4,1.88761778e-01
20,10,4,2.63742492e+00
21,10,4,4.00193867e+02
22,10,4,5.01559266e+00
23,10,4,4.85874004e+02
24,10,4,2.00000000e+02
25,10,4,2.00000000e+02
26,10,4,1.01989933e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,1.22659919e-07
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,9.81242274e+00
7,10,5,0.00000000e+00
8,10,5,2.00001225e+01
9,10,5,0.00000000e+00
10,10,5,0.00000000e+00
11,10,5,0.00000000e+00
12,10,5,4.97479529e+00
13,10,5,1.99180549e+00
14,10,5,0.00000000e+00
15,10,5,1.93201067e+02
16,10,5,8.01992154e-02
17,10,5,1.01224167e+01
18,10,5,1.26631218e+01
19,10,5,1.80528598e-01
20,10,5,1.73670014e+00
21,10,5,4.00193867e+02
22,10,5,8.84176573e+00
23,10,5,1.94021747e+02
24,10,5,2.00000000e+02
25,10,5,2.00000000e+02
26,10,5,1.01993960e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,0.00000000e+00
7,10,6,0.00000000e+00
8,10,6,2.00000000e+01
9,10,6,0.00000000e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,1.99504290e+00
13,10,6,2.00035122e+00
14,10,6,0.00000000e+00
15,10,6,2.02129701e+02
16,10,6,1.26114463e-01
17,10,6,1.01224167e+01
18,10,6,1.50117579e+01
19,10,6,2.46189654e-01
20,10,6,1.96646513e+00
21,10,6,4.00193867e+02
22,10,6,5.01559266e+00
23,10,6,1.91962469e+02
24,10,6,2.07059183e+02
25,10,6,2.00000000e+02
26,10,6,2.00017385e+02
27,10,6,3.00000000e+02
28,10,6,1.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,3.66877642e-07
8,10,7,2.03727670e+01
9,10,7,2.89455908e+00
10,10,7,0.00000000e+00
