Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,1.66979339e+04
5,10,1,0.00000000e+00
6,10,1,9.81242274e+00
7,10,1,4.90001542e-07
8,10,1,2.03110287e+01
9,10,1,3.08185812e+00
10,10,1,0.00000000e+00
11,10,1,0.00000000e+00
12,10,1,1.02495745e+00
13,10,1,6.35442022e+00
14,10,1,0.00000000e+00
15,10,1,2.85780425e+02
16,10,1,1.78052471e-01
17,10,1,1.01224167e+01
18,10,1,1.38321152e+01
19,10,1,2.53089112e-01
20,10,1,1.82434139e+00
21,10,1,4.00193867e+02
22,10,1,5.01559266e+00
23,10,1,4.07251381e+02
24,10,1,2.00000000e+02
25,10,1,2.00000000e+02
26,10,1,1.03983882e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,0.00000000e+00
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,0.00000000e+00
7,10,2,3.82814518e-07
8,10,2,2.00223724e+01
9,10,2,2.98853117e+00
10,10,2,6.38895305e-02
11,10,2,0.00000000e+00
12,10,2,1.04648000e+00
13,10,2,2.10823959e+00
14,10,2,0.00000000e+00
15,10,2,2.23926407e+02
16,10,2,1.06588443e-01
17,10,2,1.01224167e+01
18,10,2,1.29940900e+01
19,10,2,2.87130406e-01
20,10,2,1.83678057e+00
21,10,2,4.00193867e+02
22,10,2,0.00000000e+00
23,10,2,2.77593212e+02
24,10,2,2.00000000e+02
25,10,2,2.00000000e+02
26,10,2,1.03979840e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,9.81242274e+00
7,10,3,3.56240808e-07
8,10,3,2.00000000e+01
9,10,3,3.07903341e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,2.99193512e+00
13,10,3,2.89028861e+00
14,10,3,0.00000000e+00
15,10,3,5.14698326e+02
16,10,3,6.68061837e-02
17,10,3,1.01224167e+01
18,10,3,1.38495143e+01
19,10,3,2.48263282e-01
20,10,3,1.38956581e+00
21,10,3,4.00193867e+02
22,10,3,8.84176573e+00
23,10,3,3.28376402e+02
24,10,3,2.06294275e+02
25,10,3,2.00000000e+02
26,10,3,2.00017385e+02
27,10,3,3.00000000e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,7.13568292e-02
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,9.81242274e+00
7,10,4,2.83615497e-06
8,10,4,2.00000000e+01
9,10,4,2.88865816e+00
10,10,4,0.00000000e+00
11,10,4,0.00000000e+00
12,10,4,2.98487717e+00
13,10,4,9.98528444e-01
14,10,4,0.00000000e+00
15,10,4,5.11671071e+02
16,10,4,4.23464504e-02
17,10,4,1.01224167e+01
18,10,4,1.61093444e+01
19,10,4,2.54583780e-01
20,10,4,1.40157049e+00
21,10,4,4.00193867e+02
22,10,4,0.00000000e+00
23,10,4,3.01490330e+02
24,10,4,2.00000000e+02
25,10,4,2.00000000e+02
26,10,4,1.00998772e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,0.00000000e+00
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,9.81242274e+00
7,10,5,3.61600300e-05
8,10,5,2.00604415e+01
9,10,5,2.66803615e+00
10,10,5,0.00000000e+00
11,10,5,0.00000000e+00
12,10,5,3.98989031e+00
13,10,5,4.00410734e+00
14,10,5,0.00000000e+00
15,10,5,2.77997369e+02
16,10,5,1.43768375e-01
17,10,5,1.01224167e+01
18,10,5,1.56378456e+01
19,10,5,2.17872341e-01
20,10,5,1.63544840e+00
21,10,5,4.00193867e+02
22,10,5,5.01559266e+00
23,10,5,2.77242479e+02
24,10,5,2.03809433e+02
25,10,5,2.00000000e+02
26,10,5,1.03991430e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,0.00000000e+00
7,10,6,0.00000000e+00
8,10,6,2.02277529e+01
9,10,6,0.00000000e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,6.96470836e+00
13,10,6,1.98991811e+00
14,10,6,0.00000000e+00
15,10,6,1.38196184e+02
16,10,6,3.13701801e-01
17,10,6,1.01224167e+01
18,10,6,1.16037072e+01
19,10,6,1.80557439e-01
20,10,6,2.62960807e+00
21,10,6,4.00193867e+02
22,10,6,8.84176573e+00
23,10,6,1.08028334e+03
24,10,6,2.00000000e+02
25,10,6,2.00000000e+02
26,10,6,1.03979840e+02
27,10,6,3.00000000e+02
28,10,6,3.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,3.20046379e-05
8,10,7,2.01797049e+01
9,10,7,6.34570343e-01
10,10,7,1.65776241e-07
