Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,3.92264644e-03
4,10,1,0.00000000e+00
5,10,1,0.00000000e+00
6,10,1,9.81242274e+00
7,10,1,2.08355737e-06
8,10,1,2.04244753e+01
9,10,1,4.45254840e+00
10,10,1,7.39604033e-03
11,10,1,0.00000000e+00
12,10,1,1.01612371e+00
13,10,1,1.00137314e+00
14,10,1,0.00000000e+00
15,10,1,4.87032431e+02
16,10,1,3.76633970e-01
17,10,1,1.01224167e+01
18,10,1,1.74909852e+01
19,10,1,1.77420462e-01
20,10,1,2.14623740e+00
21,10,1,4.00193867e+02
22,10,1,0.00000000e+00
23,10,1,4.71577426e+02
24,10,1,2.07330055e+02
25,10,1,2.00000000e+02
26,10,1,1.03994938e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,1.40689474e-07
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,9.81242274e+00
7,10,2,0.00000000e+00
8,10,2,2.03131884e+01
9,10,2,3.95784538e+00
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,1.99607176e+00
13,10,2,1.00045030e+00
14,10,2,0.00000000e+00
15,10,2,1.38850687e+02
16,10,2,3.67325641e-01
17,10,2,1.01224167e+01
18,10,2,1.28592456e+01
19,10,2,1.89274936e-01
20,10,2,3.30333489e+00
21,10,2,4.00193867e+02
22,10,2,5.01559266e+00
23,10,2,3.08524939e+02
24,10,2,2.00000000e+02
25,10,2,2.00000000e+02
26,10,2,1.00999387e+02
27,10,2,4.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,2.15280306e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,0.00000000e+00
7,10,3,3.46261796e+00
8,10,3,2.04881759e+01
9,10,3,4.85789984e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,2.99017120e+00
13,10,3,3.98533977e+00
14,10,3,0.00000000e+00
15,10,3,3.54575796e+02
16,10,3,3.01161920e-01
17,10,3,1.01224167e+01
18,10,3,1.64821049e+01
19,10,3,1.41327454e-01
20,10,3,2.90302404e+00
21,10,3,4.00193867e+02
22,10,3,1.00000000e+02
23,10,3,6.42554236e+02
24,10,3,2.06789793e+02
25,10,3,2.04540090e+02
26,10,3,1.09964403e+02
27,10,3,3.02586695e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,0.00000000e+00
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,0.00000000e+00
7,10,4,3.86150695e-08
8,10,4,2.00000000e+01
9,10,4,2.30977736e-01
10,10,4,0.00000000e+00
11,10,4,0.00000000e+00
12,10,4,2.98487717e+00
13,10,4,5.92563043e-03
14,10,4,6.24544410e-02
15,10,4,4.60433702e+02
16,10,4,1.79466869e-01
17,10,4,1.01224167e+01
18,10,4,1.27330664e+01
19,10,4,2.26941231e-01
20,10,4,1.76155335e+00
21,10,4,2.00000000e+02
22,10,4,5.01559266e+00
23,10,4,8.14377899e+02
24,10,4,2.00000000e+02
25,10,4,2.00000000e+02
26,10,4,1.02008547e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,0.00000000e+00
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,9.81242274e+00
7,10,5,8.34033329e-06
8,10,5,2.00683435e+01
9,10,5,2.26612580e+00
10,10,5,2.68264608e-07
11,10,5,0.00000000e+00
12,10,5,1.52351433e+00
13,10,5,3.45061737e+00
14,10,5,0.00000000e+00
15,10,5,2.13626178e+02
16,10,5,2.02035750e-01
17,10,5,1.01224167e+01
18,10,5,2.10305513e+01
19,10,5,2.64947164e-01
20,10,5,2.04550240e+00
21,10,5,4.00193867e+02
22,10,5,1.00000000e+02
23,10,5,3.60152426e+02
24,10,5,2.03809433e+02
25,10,5,2.04540090e+02
26,10,5,1.04141858e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,9.81242274e+00
7,10,6,1.05023004e-01
8,10,6,2.00886211e+01
9,10,6,1.96791111e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,3.97983623e+00
13,10,6,1.98991811e+00
14,10,6,3.12272205e-01
15,10,6,5.53109907e+02
16,10,6,3.49267554e-01
17,10,6,1.01224167e+01
18,10,6,1.16194269e+01
19,10,6,2.59405485e-01
20,10,6,3.06880201e+00
21,10,6,4.00193867e+02
22,10,6,1.01797837e+02
23,10,6,1.14941332e+02
24,10,6,2.00000009e+02
25,10,6,2.00000571e+02
26,10,6,1.03979837e+02
27,10,6,3.00000000e+02
28,10,6,3.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,9.81242274e+00
7,10,7,0.00000000e+00
8,10,7,2.03943741e+01
9,10,7,0.00000000e+00
10,10,7,0.00000000e+00
