Function,Dimension,Run,Error
1,10,1,0.00000000e+00
2,10,1,0.00000000e+00
3,10,1,0.00000000e+00
4,10,1,0.00000000e+00
5,10,1,0.00000000e+00
6,10,1,9.81242274e+00
7,10,1,2.84250044e-06
8,10,1,2.01261108e+01
9,10,1,2.62342007e+00
10,10,1,0.00000000e+00
11,10,1,0.00000000e+00
12,10,1,1.99757782e+00
13,10,1,9.98957124e-01
14,10,1,0.00000000e+00
15,10,1,3.58667859e+02
16,10,1,8.38453776e-02
17,10,1,1.01224167e+01
18,10,1,1.31872526e+01
19,10,1,2.33423197e-01
20,10,1,1.72133885e+00
21,10,1,4.00193867e+02
22,10,1,1.10222757e+01
23,10,1,2.80969796e+02
24,10,1,2.00000000e+02
25,10,1,2.00000000e+02
26,10,1,1.02003263e+02
27,10,1,3.00000000e+02
28,10,1,3.00000000e+02
1,10,2,0.00000000e+00
2,10,2,0.00000000e+00
3,10,2,7.13568292e-02
4,10,2,0.00000000e+00
5,10,2,0.00000000e+00
6,10,2,9.81242274e+00
7,10,2,0.00000000e+00
8,10,2,2.00097542e+01
9,10,2,3.07470193e+00
10,10,2,0.00000000e+00
11,10,2,0.00000000e+00
12,10,2,9.99644685e-01
13,10,2,2.10538911e+00
14,10,2,6.24544410e-02
15,10,2,2.80691290e+02
16,10,2,0.00000000e+00
17,10,2,1.01224167e+01
18,10,2,1.32822034e+01
19,10,2,2.03414246e-01
20,10,2,1.75075906e+00
21,10,2,4.00193867e+02
22,10,2,7.81531516e+00
23,10,2,1.70667665e+02
24,10,2,1.05654951e+02
25,10,2,2.00000000e+02
26,10,2,2.00017385e+02
27,10,2,3.00000000e+02
28,10,2,3.00000000e+02
1,10,3,0.00000000e+00
2,10,3,0.00000000e+00
3,10,3,0.00000000e+00
4,10,3,0.00000000e+00
5,10,3,0.00000000e+00
6,10,3,0.00000000e+00
7,10,3,2.47354775e-08
8,10,3,2.02178361e+01
9,10,3,4.66821662e+00
10,10,3,0.00000000e+00
11,10,3,0.00000000e+00
12,10,3,1.99413623e+00
13,10,3,1.99666461e+00
14,10,3,0.00000000e+00
15,10,3,3.27754196e+02
16,10,3,0.00000000e+00
17,10,3,1.01224167e+01
18,10,3,1.58593533e+01
19,10,3,2.45363446e-01
20,10,3,1.97171518e+00
21,10,3,4.00193867e+02
22,10,3,6.46185183e+00
23,10,3,1.51922752e+02
24,10,3,2.00000000e+02
25,10,3,2.00000000e+02
26,10,3,2.00017385e+02
27,10,3,3.00000000e+02
28,10,3,3.00000000e+02
1,10,4,0.00000000e+00
2,10,4,0.00000000e+00
3,10,4,0.00000000e+00
4,10,4,0.00000000e+00
5,10,4,0.00000000e+00
6,10,4,9.81242274e+00
7,10,4,2.81566435e-05
8,10,4,2.00000000e+01
9,10,4,1.24642907e+00
10,10,4,0.00000000e+00
11,10,4,0.00000000e+00
12,10,4,1.00244415e+00
13,10,4,3.14721510e+00
14,10,4,0.00000000e+00
15,10,4,3.65223755e+02
16,10,4,2.69922735e-01
17,10,4,1.01224167e+01
18,10,4,1.40429727e+01
19,10,4,2.66352444e-01
20,10,4,2.25710181e+00
21,10,4,4.00193867e+02
22,10,4,1.00000000e+02
23,10,4,2.64946109e+02
24,10,4,2.00000000e+02
25,10,4,2.00000000e+02
26,10,4,1.00998263e+02
27,10,4,3.00000000e+02
28,10,4,3.00000000e+02
1,10,5,0.00000000e+00
2,10,5,0.00000000e+00
3,10,5,7.13568292e-02
4,10,5,0.00000000e+00
5,10,5,0.00000000e+00
6,10,5,0.00000000e+00
7,10,5,2.85943222e-05
8,10,5,2.01659320e+01
9,10,5,2.27592314e+00
10,10,5,0.00000000e+00
11,10,5,0.00000000e+00
12,10,5,2.98965879e+00
13,10,5,1.99517431e+00
14,10,5,0.00000000e+00
15,10,5,3.71069249e+02
16,10,5,4.51308741e-01
17,10,5,1.01224167e+01
18,10,5,1.25121508e+01
19,10,5,1.83167544e-01
20,10,5,1.93593107e+00
21,10,5,4.00193867e+02
22,10,5,5.01559266e+00
23,10,5,1.06943768e+02
24,10,5,2.00000000e+02
25,10,5,2.00000000e+02
26,10,5,1.00999757e+02
27,10,5,3.00000000e+02
28,10,5,3.00000000e+02
1,10,6,0.00000000e+00
2,10,6,0.00000000e+00
3,10,6,0.00000000e+00
4,10,6,0.00000000e+00
5,10,6,0.00000000e+00
6,10,6,0.00000000e+00
7,10,6,2.83394196e-06
8,10,6,2.00000000e+01
9,10,6,0.00000000e+00
10,10,6,0.00000000e+00
11,10,6,0.00000000e+00
12,10,6,1.99181075e+00
13,10,6,1.99532447e+00
14,10,6,0.00000000e+00
15,10,6,3.34319676e+02
16,10,6,5.24079058e-01
17,10,6,1.01224167e+01
18,10,6,1.22347706e+01
19,10,6,2.48769572e-01
20,10,6,1.72892364e+00
21,10,6,4.00193867e+02
22,10,6,5.01559266e+00
23,10,6,5.22992776e+02
24,10,6,2.06881786e+02
25,10,6,2.00000000e+02
26,10,6,2.00017385e+02
27,10,6,3.00000000e+02
28,10,6,3.00000000e+02
1,10,7,0.00000000e+00
2,10,7,0.00000000e+00
3,10,7,0.00000000e+00
4,10,7,0.00000000e+00
5,10,7,0.00000000e+00
6,10,7,0.00000000e+00
7,10,7,7.53230358e-05
8,10,7,2.00161199e+01
9,10,7,7.02892059e-06
10,10,7,0.00000000e+00
