Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,0.00000000e+00
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,0.00000000e+00
7,30,1,7.78525452e-01
8,30,1,2.10246219e+01
9,30,1,2.81090666e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,5.45130997e+00
13,30,1,4.47084763e+00
14,30,1,8.32769875e-02
15,30,1,2.76286828e+03
16,30,1,9.40472331e-01
17,30,1,3.04337490e+01
18,30,1,5.27512165e+01
19,30,1,1.35689507e+00
20,30,1,9.32966821e+00
21,30,1,3.00000000e+02
22,30,1,1.06668347e+02
23,30,1,2.70691982e+03
24,30,1,2.00005158e+02
25,30,1,2.44217716e+02
26,30,1,2.00000000e+02
27,30,1,3.00000737e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,1.21744662e-08
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,2.26393291e-08
7,30,2,4.84448179e-01
8,30,2,2.09061062e+01
9,30,2,2.67306873e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,4.41751763e+00
13,30,2,5.48215970e+00
14,30,2,2.08192488e-02
15,30,2,2.70254853e+03
16,30,2,9.39230299e-01
17,30,2,3.04337483e+01
18,30,2,5.29635142e+01
19,30,2,1.14594491e+00
20,30,2,9.19442798e+00
21,30,2,3.00000000e+02
22,30,2,1.06624826e+02
23,30,2,2.69328606e+03
24,30,2,2.00013084e+02
25,30,2,2.39472803e+02
26,30,2,2.00000000e+02
27,30,2,3.00015632e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,7.63781373e-07
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,4.48870330e-01
8,30,3,2.09183778e+01
9,30,3,2.75896928e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,1.56059794e+00
13,30,3,4.27430326e+00
14,30,3,2.08192471e-02
15,30,3,2.28205410e+03
16,30,3,6.87500683e-01
17,30,3,3.04337483e+01
18,30,3,5.55522221e+01
