Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,2.06748255e-05
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,1.60587621e-07
7,30,1,4.99147092e-01
8,30,1,2.07819268e+01
9,30,1,2.60328209e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,6.29624988e+00
13,30,1,7.04284774e+00
14,30,1,2.08193547e-02
15,30,1,3.06857516e+03
16,30,1,7.74027323e-01
17,30,1,3.04337483e+01
18,30,1,5.10483369e+01
19,30,1,9.63080129e-01
20,30,1,8.99618242e+00
21,30,1,2.00000000e+02
22,30,1,1.06360272e+02
23,30,1,2.46730370e+03
24,30,1,2.00494295e+02
25,30,1,2.41088593e+02
26,30,1,2.00000000e+02
27,30,1,3.00024648e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,0.00000000e+00
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,0.00000000e+00
7,30,2,4.21651429e-01
8,30,2,2.05639731e+01
9,30,2,2.60299239e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,8.25860148e+00
13,30,2,8.13020450e+00
14,30,2,1.04096479e-01
15,30,2,3.00110893e+03
16,30,2,9.82507848e-01
17,30,2,3.04337509e+01
18,30,2,5.24296468e+01
19,30,2,1.20696612e+00
20,30,2,8.49522796e+00
21,30,2,2.00000000e+02
22,30,2,1.13491266e+02
23,30,2,2.48515205e+03
24,30,2,2.00010963e+02
25,30,2,2.43872447e+02
26,30,2,2.00000000e+02
27,30,2,3.01161278e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,1.34306646e-08
7,30,3,5.36650785e-01
8,30,3,2.06526829e+01
9,30,3,2.55836577e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,3.24699387e+00
13,30,3,3.44515666e+00
14,30,3,1.24915517e-01
15,30,3,2.53590549e+03
16,30,3,1.97790034e-01
17,30,3,3.04339072e+01
18,30,3,4.80704115e+01
