Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,3.68832987e-01
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,0.00000000e+00
7,30,1,7.41178157e-01
8,30,1,2.09436292e+01
9,30,1,2.76620902e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,2.38907367e+00
13,30,1,4.65661247e+00
14,30,1,6.24577408e-02
15,30,1,2.76796762e+03
16,30,1,8.15109497e-01
17,30,1,3.04337483e+01
18,30,1,5.25890888e+01
19,30,1,1.20823982e+00
20,30,1,9.38993457e+00
21,30,1,3.00000000e+02
22,30,1,1.06452597e+02
23,30,1,2.17151749e+03
24,30,1,2.00019179e+02
25,30,1,2.42769987e+02
26,30,1,2.00000000e+02
27,30,1,3.00066622e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,1.06802002e-03
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,2.63549548e-08
7,30,2,6.43547567e-01
8,30,2,2.08470896e+01
9,30,2,2.50765627e+01
10,30,2,1.23160725e-02
11,30,2,0.00000000e+00
12,30,2,4.45761791e+00
13,30,2,4.44392933e+00
14,30,2,2.38142093e-08
15,30,2,2.74918219e+03
16,30,2,5.52067646e-01
17,30,2,3.04337483e+01
18,30,2,5.02211726e+01
19,30,2,1.22249231e+00
20,30,2,9.77962734e+00
21,30,2,3.00000000e+02
22,30,2,1.10563011e+02
23,30,2,2.46167075e+03
24,30,2,2.01102397e+02
25,30,2,2.43963480e+02
26,30,2,2.00000000e+02
27,30,2,3.35371378e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,3.24757795e-04
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,1.61516334e-01
8,30,3,2.09903979e+01
9,30,3,2.74055816e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,5.91407789e+00
13,30,3,4.57353326e+00
14,30,3,1.45734835e-01
15,30,3,3.17194417e+03
16,30,3,8.24890855e-01
17,30,3,3.04342120e+01
18,30,3,5.07768363e+01
