Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,0.00000000e+00
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,1.07217077e-07
7,30,1,3.17380647e-01
8,30,1,2.07827578e+01
9,30,1,2.57828915e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,7.42016408e+00
13,30,1,5.31286897e+00
14,30,1,8.32770100e-02
15,30,1,3.08744779e+03
16,30,1,8.01948850e-01
17,30,1,3.04337551e+01
18,30,1,4.74952217e+01
19,30,1,1.21016718e+00
20,30,1,9.76029585e+00
21,30,1,3.00000000e+02
22,30,1,1.09851526e+02
23,30,1,2.66401672e+03
24,30,1,2.00087231e+02
25,30,1,2.30850931e+02
26,30,1,2.00000000e+02
27,30,1,3.00194507e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,1.60871633e-01
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,1.53614361e-08
7,30,2,8.28891983e-01
8,30,2,2.08179124e+01
9,30,2,2.59886147e+01
10,30,2,7.39604033e-03
11,30,2,0.00000000e+00
12,30,2,6.14773374e+00
13,30,2,9.19897658e+00
14,30,2,4.16385021e-02
15,30,2,3.17556953e+03
16,30,2,7.99602890e-01
17,30,2,3.04337483e+01
18,30,2,5.72152786e+01
19,30,2,1.39858284e+00
20,30,2,9.47503197e+00
21,30,2,3.00000000e+02
22,30,2,1.06459308e+02
23,30,2,1.92056679e+03
24,30,2,2.00334071e+02
25,30,2,2.38010683e+02
26,30,2,2.00000000e+02
27,30,2,3.01582540e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,6.49000783e-01
8,30,3,2.05242329e+01
9,30,3,2.65948634e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,4.18424045e+00
13,30,3,3.30968965e+00
14,30,3,4.16384940e-02
15,30,3,2.91128734e+03
16,30,3,7.39309022e-01
17,30,3,3.04337483e+01
18,30,3,5.69751574e+01
