Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,8.99971785e-04
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,7.00126293e-07
7,30,1,9.19090664e-01
8,30,1,2.07818637e+01
9,30,1,2.75029059e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,7.02633242e+00
13,30,1,4.07167267e+00
14,30,1,1.24915485e-01
15,30,1,2.65254985e+03
16,30,1,7.84431050e-01
17,30,1,3.04337483e+01
18,30,1,4.90475135e+01
19,30,1,1.31871327e+00
20,30,1,9.18661046e+00
21,30,1,3.00000000e+02
22,30,1,1.12526891e+02
23,30,1,2.76552850e+03
24,30,1,2.00052771e+02
25,30,1,2.42213463e+02
26,30,1,2.00000000e+02
27,30,1,3.01433665e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,1.12855204e-06
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,5.64505301e-02
7,30,2,1.42965332e+00
8,30,2,2.07712461e+01
9,30,2,2.38448965e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,3.32313564e+00
13,30,2,4.82535435e+00
14,30,2,4.16384937e-02
15,30,2,2.65261189e+03
16,30,2,7.96981668e-01
17,30,2,3.04337483e+01
18,30,2,4.93214590e+01
19,30,2,1.34882911e+00
20,30,2,1.00985322e+01
21,30,2,3.00000000e+02
22,30,2,1.08102417e+02
23,30,2,2.24714707e+03
24,30,2,2.00016027e+02
25,30,2,2.45406551e+02
26,30,2,2.00000000e+02
27,30,2,3.00284869e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,3.81653309e-01
8,30,3,2.08566800e+01
9,30,3,2.71879527e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,8.46842221e+00
13,30,3,1.36019432e+01
14,30,3,2.08192469e-02
15,30,3,2.66830945e+03
16,30,3,7.34899273e-01
17,30,3,3.04342120e+01
18,30,3,6.05074677e+01
