Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,7.37054848e+02
3,30,1,1.97010212e-02
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,4.32902967e-01
7,30,1,2.42319092e+00
8,30,1,2.09660834e+01
9,30,1,2.38559731e+01
10,30,1,9.85728461e-03
11,30,1,0.00000000e+00
12,30,1,8.17490206e+00
13,30,1,1.18945599e+01
14,30,1,6.24577406e-02
15,30,1,3.12742219e+03
16,30,1,7.72559830e-01
17,30,1,3.04337483e+01
18,30,1,5.81436200e+01
19,30,1,1.11140232e+00
20,30,1,9.60438437e+00
21,30,1,2.00000000e+02
22,30,1,1.06472024e+02
23,30,1,2.25645293e+03
24,30,1,2.00003332e+02
25,30,1,2.71829456e+02
26,30,1,2.00000208e+02
27,30,1,3.09039411e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,2.93608842e-02
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,1.28921592e-05
7,30,2,7.82778908e-01
8,30,2,2.08315077e+01
9,30,2,2.67351541e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,5.28030928e+00
13,30,2,6.80180418e+00
14,30,2,8.32782610e-02
15,30,2,2.39796293e+03
16,30,2,2.59376036e-01
17,30,2,3.04337552e+01
18,30,2,5.03423336e+01
19,30,2,1.28718549e+00
20,30,2,9.87537555e+00
21,30,2,3.00000000e+02
22,30,2,1.09834294e+02
23,30,2,2.51362749e+03
24,30,2,2.00009874e+02
25,30,2,2.52523756e+02
26,30,2,2.00000000e+02
27,30,2,3.51216287e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,1.94844690e-02
3,30,3,2.40489503e-01
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,1.77390450e-05
7,30,3,3.25957776e+00
8,30,3,2.09260776e+01
9,30,3,2.68090171e+01
10,30,3,7.39604033e-03
11,30,3,0.00000000e+00
12,30,3,4.45647941e+00
13,30,3,8.17015973e+00
14,30,3,6.24578942e-02
15,30,3,3.08315103e+03
16,30,3,7.88607270e-01
17,30,3,3.04337483e+01
18,30,3,4.78178292e+01
19,30,3,1.22101245e+00
20,30,3,9.51080367e+00
