Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,1.54780651e-04
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,0.00000000e+00
7,30,1,3.73462965e+00
8,30,1,2.08700162e+01
9,30,1,2.57108275e+01
10,30,1,1.23160725e-02
11,30,1,0.00000000e+00
12,30,1,5.59151035e+00
13,30,1,3.73075797e+00
14,30,1,6.24669122e-02
15,30,1,2.95710711e+03
16,30,1,4.01580666e-01
17,30,1,3.04337483e+01
18,30,1,5.33765963e+01
19,30,1,1.17584705e+00
20,30,1,8.62724384e+00
21,30,1,3.00000000e+02
22,30,1,1.09992199e+02
23,30,1,2.21348557e+03
24,30,1,2.00036695e+02
25,30,1,2.33923380e+02
26,30,1,2.00000000e+02
27,30,1,3.00112136e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,0.00000000e+00
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,0.00000000e+00
7,30,2,1.66718121e-01
8,30,2,2.05729124e+01
9,30,2,2.61874317e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,3.21194092e+00
13,30,2,1.15187715e+01
14,30,2,4.16384938e-02
15,30,2,2.26448070e+03
16,30,2,2.74560017e-01
17,30,2,3.04337483e+01
18,30,2,4.98634734e+01
19,30,2,1.31088303e+00
20,30,2,9.49866853e+00
21,30,2,3.00000000e+02
22,30,2,1.06769552e+02
23,30,2,2.43942093e+03
24,30,2,2.00009151e+02
25,30,2,2.43890524e+02
26,30,2,2.00000000e+02
27,30,2,3.00002402e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,1.51529676e-08
7,30,3,1.25892877e+00
8,30,3,2.08715899e+01
9,30,3,2.37299030e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,7.19899685e+00
13,30,3,5.76006159e+00
14,30,3,6.24577408e-02
15,30,3,2.69817077e+03
16,30,3,6.92326563e-01
17,30,3,3.04348826e+01
18,30,3,5.49514197e+01
